	A1	A2	A3	A4	A5	A6
T1	900	350	610	690	170	450
T2	990	640	560	990	430	170
T3	250	400	130	820	340	900
T4	110	970	390	970	160	290
T5	370	840	990	560	770	740
T6	350	660	740	880	950	470
T7	860	710	830	380	740	840
T8	880	930	420	130	220	800
T9	780	760	600	320	140	450
T10	510	260	810	300	720	760
T11	420	240	100	420	210	390
T12	850	390	600	570	740	520
T13	830	330	580	410	860	510
T14	590	500	780	390	500	960
T15	550	860	780	700	530	690
T16	440	410	720	310	620	300
T17	700	440	950	440	730	530
T18	770	860	320	510	360	460
T19	810	730	970	520	550	700
T20	170	950	240	210	890	120
T21	610	770	590	780	220	630
T22	440	440	480	150	570	440
T23	500	150	200	500	130	690
T24	850	200	300	360	280	380
T25	360	640	540	920	280	100
T26	580	510	790	500	190	560
T27	560	340	400	610	840	500
T28	180	430	240	230	140	280
T29	540	440	360	420	290	250
T30	100	630	770	260	550	760
T31	620	490	240	750	290	990
T32	710	840	790	280	380	180
T33	720	800	160	880	110	870
T34	520	790	730	700	910	100
T35	380	700	740	810	200	310
T36	900	780	290	280	970	750
T37	790	740	240	250	260	380
T38	190	820	510	810	320	780
T39	690	200	650	200	130	460
T40	100	200	170	840	710	790
T41	280	130	230	580	210	600
T42	910	330	730	100	280	560
T43	200	290	610	210	730	190
T44	660	610	310	930	150	560
T45	670	450	620	760	290	670
T46	570	590	100	760	740	410
T47	840	990	420	510	650	520
T48	270	900	500	630	420	730
T49	970	250	630	660	260	450
T50	690	460	130	570	430	200
T51	860	850	920	770	940	540
T52	210	960	600	770	310	730
T53	820	710	270	580	210	230
T54	280	980	100	290	240	760
T55	850	980	790	280	740	890
T56	840	850	150	220	450	590
T57	180	350	390	300	870	800
T58	380	150	160	130	310	170
T59	440	650	100	710	990	730
T60	200	620	200	570	820	710
T61	840	660	590	760	330	500
T62	340	100	370	620	450	760
T63	860	980	660	770	920	810
T64	720	610	530	790	460	950
T65	170	850	650	250	530	470
T66	650	200	190	590	210	780
T67	800	700	610	890	440	280
T68	480	290	560	440	450	740
T69	670	810	430	310	620	760
T70	360	130	440	780	340	180
T71	870	480	490	680	570	820
T72	110	850	960	110	850	280
T73	840	740	470	710	720	570
T74	680	540	330	600	640	130
T75	900	750	930	490	890	970
T76	710	230	340	770	910	520
T77	880	990	760	460	500	470
T78	560	730	780	480	520	550
T79	260	900	520	800	500	740
T80	650	150	680	610	150	290
T81	500	860	520	280	990	800
T82	120	420	480	920	640	820
T83	390	510	520	600	700	550
T84	190	740	250	800	730	730
T85	530	940	170	420	410	720
T86	490	250	540	350	860	580
T87	560	340	440	490	490	890
T88	500	930	590	530	980	730
T89	760	180	110	510	310	670
T90	190	340	110	810	440	350
T91	120	280	780	140	960	770
T92	970	260	970	860	800	640
T93	580	890	570	900	450	410
T94	370	670	650	940	930	970
T95	110	960	410	150	230	260
T96	900	140	570	590	810	170
T97	800	880	850	880	860	810
T98	180	750	880	990	160	730
T99	110	250	820	560	210	940
T100	980	310	450	280	560	250
T101	510	810	240	220	310	100
T102	680	340	300	730	490	510
T103	340	140	110	740	290	450
T104	990	680	150	590	800	820
T105	710	440	130	300	210	760
T106	990	740	400	810	530	230
T107	970	640	890	480	240	560
T108	920	340	400	750	860	390
T109	970	810	520	390	770	470
T110	580	760	910	990	190	840
T111	110	570	530	260	480	520
T112	240	200	410	140	490	210
T113	280	790	380	770	460	110
T114	340	110	750	930	350	410
T115	330	610	870	950	860	720
T116	740	870	740	700	420	310
T117	770	220	640	810	610	430
T118	420	710	870	320	320	540
T119	190	660	550	850	820	230
T120	500	520	930	560	220	450
T121	920	480	410	970	650	210
T122	300	610	510	930	630	160
T123	270	710	980	700	770	420
T124	100	920	670	310	700	170
T125	610	130	380	930	560	250
T126	410	960	380	660	820	390
T127	990	540	820	810	200	860
T128	600	700	320	310	940	780
