	A1	A2	A3	A4	A5	A6	A7	A8	A9
T1	640	160	510	650	330	650	230	860	150
T2	340	990	140	310	720	480	550	560	250
T3	870	430	390	550	430	370	210	910	910
T4	640	170	670	820	280	390	910	250	370
T5	810	240	350	290	680	600	260	170	600
T6	300	510	210	550	150	600	600	180	220
T7	290	860	100	210	820	690	870	230	180
T8	490	100	770	530	630	850	740	770	960
T9	310	230	320	680	460	250	480	700	130
T10	290	630	240	750	540	450	750	220	530
T11	410	800	840	140	220	120	210	670	690
T12	330	430	210	950	930	810	380	330	320
T13	620	850	600	440	100	430	240	120	680
T14	750	810	130	800	800	320	910	400	850
T15	110	260	590	580	690	100	890	980	210
T16	290	860	730	850	970	380	460	240	850
T17	350	410	830	400	490	790	890	140	510
T18	490	810	710	920	310	500	680	210	470
T19	340	900	950	570	360	190	110	940	990
T20	510	680	520	800	340	310	170	810	520
T21	210	950	140	550	460	920	800	970	650
T22	180	920	670	750	860	240	150	500	250
T23	440	310	320	260	610	240	580	210	710
T24	940	330	880	570	230	260	790	260	950
T25	940	490	550	470	320	790	930	110	510
T26	830	810	830	520	720	740	350	870	310
T27	820	340	920	280	670	190	890	520	910
T28	890	550	270	700	890	490	690	820	420
T29	630	700	620	520	740	500	170	510	140
T30	710	700	910	580	900	510	950	880	250
T31	660	640	480	230	930	180	840	470	860
T32	800	610	600	800	430	620	670	980	220
T33	880	320	150	800	630	510	140	500	730
T34	850	970	200	530	340	880	850	270	480
T35	990	370	960	440	710	440	620	700	600
T36	690	680	630	230	160	360	290	540	580
T37	310	920	830	210	280	990	350	490	950
T38	540	810	560	420	170	230	730	690	320
T39	340	300	190	540	930	650	170	890	560
T40	630	750	210	700	550	150	540	450	580
T41	660	860	840	250	190	900	660	760	260
T42	200	990	140	160	690	890	580	370	670
T43	500	480	650	160	940	910	610	640	140
T44	710	870	570	940	760	940	230	390	330
T45	870	200	810	400	620	530	620	150	300
T46	870	470	260	930	380	900	980	490	340
T47	770	820	770	260	170	320	780	960	650
T48	320	880	380	970	620	720	910	540	220
T49	680	950	910	230	330	330	150	560	870
T50	710	910	950	410	550	360	760	200	730
T51	170	140	520	160	430	990	650	410	440
T52	750	220	670	570	440	500	550	600	880
T53	370	390	340	800	100	980	850	150	100
T54	680	640	200	350	810	880	610	270	300
T55	510	640	530	570	340	480	790	580	160
T56	780	250	800	960	990	680	460	870	370
T57	350	580	570	400	250	240	250	230	610
T58	540	230	580	410	390	490	310	890	390
T59	350	310	930	330	460	460	610	830	580
T60	730	800	190	840	360	270	760	690	420
T61	390	140	640	340	400	890	220	130	760
T62	360	780	260	410	400	510	220	140	670
T63	240	580	740	880	190	670	360	350	450
T64	260	450	710	130	210	680	610	140	410
T65	950	610	750	800	780	710	700	310	870
T66	230	890	790	650	140	950	340	790	940
T67	360	400	830	400	830	850	800	280	400
T68	440	920	560	880	550	920	860	240	230
T69	680	360	510	430	220	740	280	490	280
T70	460	880	230	770	100	240	520	180	300
T71	970	440	340	890	650	370	150	640	300
T72	310	240	680	390	890	770	560	760	810
T73	760	840	290	100	840	810	260	790	390
T74	690	800	410	190	850	980	560	200	530
T75	510	720	670	550	780	850	820	120	880
T76	650	230	730	520	970	420	490	260	450
T77	620	620	480	710	830	910	770	540	970
T78	180	770	320	110	460	660	590	700	200
T79	620	250	250	890	130	870	470	250	120
T80	250	830	450	870	770	150	250	290	480
T81	510	290	310	820	730	760	510	670	910
T82	410	870	280	650	920	420	210	650	950
T83	680	840	530	440	580	270	190	950	440
T84	170	510	580	900	120	300	460	940	710
T85	250	570	310	280	680	610	430	900	930
T86	240	150	900	220	680	450	370	640	720
T87	500	520	330	330	950	280	460	130	890
T88	880	480	950	440	730	140	860	100	690
T89	260	750	350	950	170	890	140	140	290
T90	520	560	410	890	610	230	820	650	650
T91	190	780	330	930	190	260	600	240	240
T92	560	630	570	650	420	130	860	130	190
T93	990	430	680	620	720	220	150	340	910
T94	780	400	690	190	350	830	950	870	910
T95	950	210	700	100	630	940	540	340	290
T96	140	300	710	210	220	430	350	710	820
T97	260	640	950	210	180	710	390	410	240
T98	280	140	780	400	400	660	730	630	250
T99	540	210	160	400	660	560	350	450	490
T100	830	110	260	890	350	130	920	820	720
T101	310	920	270	580	710	740	120	200	590
T102	630	890	580	430	550	580	370	980	690
T103	880	440	280	870	560	160	900	500	220
T104	780	480	920	760	390	120	960	800	390
T105	910	630	190	560	980	110	260	170	300
T106	730	970	440	600	650	300	180	570	100
T107	900	410	260	610	710	260	320	210	390
T108	570	130	100	160	890	880	590	280	710
T109	580	860	540	110	840	290	160	970	660
T110	940	180	290	960	450	720	640	750	520
T111	370	310	590	160	960	770	390	930	260
T112	710	150	580	430	490	220	770	170	120
T113	790	910	350	550	220	560	780	350	270
T114	840	470	930	250	610	870	420	250	760
T115	670	190	970	840	880	440	380	160	660
T116	280	480	230	210	680	840	390	760	100
T117	120	560	240	660	930	240	840	370	950
T118	970	770	340	250	300	540	140	570	740
T119	600	390	200	260	430	720	380	750	710
T120	540	420	970	560	140	910	490	960	500
T121	300	790	840	920	120	780	590	900	570
T122	850	260	440	290	600	810	490	980	270
T123	690	270	270	760	650	910	620	550	180
T124	730	120	450	460	630	790	780	560	360
T125	840	280	550	920	410	770	710	950	950
T126	410	550	590	520	880	120	480	700	670
T127	390	700	410	660	460	140	940	170	190
T128	260	800	740	660	130	370	990	640	510
T129	600	920	580	520	530	770	520	230	520
T130	210	520	670	960	540	140	480	970	420
T131	750	310	190	480	630	500	150	160	760
T132	560	970	150	510	200	570	360	960	350
T133	100	580	360	180	230	430	340	790	940
T134	160	870	290	360	410	140	260	360	940
T135	710	280	880	550	770	700	170	120	980
T136	720	700	230	410	200	150	860	560	700
T137	410	340	750	890	270	260	820	920	260
T138	730	200	130	890	740	320	590	810	160
T139	300	790	340	940	930	840	110	530	200
T140	270	640	790	960	170	200	610	530	620
T141	470	110	810	540	810	300	320	100	260
T142	650	930	110	860	620	330	300	770	610
T143	800	290	600	970	150	780	220	960	510
T144	910	800	130	660	720	630	810	820	820
T145	400	790	870	420	700	590	240	620	120
T146	920	860	860	140	480	500	800	730	780
T147	490	880	180	850	310	750	960	170	590
T148	400	920	500	270	800	900	720	280	190
T149	970	440	540	870	610	760	910	100	800
T150	990	850	620	890	540	990	470	420	800
T151	290	760	420	490	430	920	880	750	450
T152	930	980	160	300	980	930	910	330	830
T153	430	580	840	190	420	260	170	190	590
T154	420	390	620	820	730	110	530	650	810
T155	340	430	640	740	890	700	510	460	400
T156	100	650	340	310	640	460	100	660	750
T157	610	200	410	960	940	610	130	340	910
T158	200	650	820	530	140	940	960	180	470
T159	260	290	100	240	420	510	310	970	180
T160	290	600	160	640	690	350	230	530	380
T161	150	740	930	180	480	770	320	690	340
T162	860	470	670	260	360	660	800	110	920
T163	590	160	270	610	300	400	610	470	960
T164	380	470	910	660	380	260	620	880	700
T165	970	520	250	220	550	580	270	660	770
T166	830	640	660	750	920	260	430	820	920
T167	740	140	450	800	750	180	260	840	780
T168	760	480	240	280	480	180	920	470	800
T169	150	410	880	310	140	710	510	250	840
T170	660	800	620	130	430	130	200	960	420
T171	290	550	870	370	780	690	330	120	620
T172	600	880	760	740	790	860	920	400	280
T173	330	600	980	270	150	110	870	980	610
T174	520	780	100	290	140	650	450	650	630
T175	290	800	200	360	800	760	130	530	150
T176	720	450	400	800	850	610	210	700	390
T177	130	570	670	360	770	890	610	550	250
T178	390	850	550	950	890	430	830	250	560
T179	740	860	280	490	180	440	270	470	100
T180	120	930	150	750	920	760	220	610	980
T181	200	760	410	960	940	360	290	450	110
T182	770	240	170	860	380	340	360	660	750
T183	580	500	740	660	390	350	860	680	810
T184	180	860	390	590	140	210	760	690	660
T185	840	620	310	960	650	170	320	830	860
T186	980	920	260	140	290	330	670	940	290
T187	210	990	920	770	450	660	130	300	720
T188	640	100	640	900	500	640	750	140	140
T189	730	170	140	450	740	790	200	650	850
T190	170	330	820	410	710	390	690	840	240
T191	900	120	130	200	190	550	710	960	160
T192	400	660	680	480	980	340	650	440	620
T193	440	910	890	730	740	550	370	200	950
T194	550	220	160	250	280	200	770	870	940
T195	870	510	510	450	600	850	240	920	620
T196	130	240	120	160	130	300	860	570	580
T197	560	950	110	300	110	840	270	820	520
T198	910	570	780	810	730	210	980	250	550
T199	490	860	760	540	800	660	650	100	960
T200	210	910	470	200	840	680	420	820	770
T201	180	980	490	820	720	680	490	500	660
T202	860	900	890	140	320	150	650	660	250
T203	830	250	600	850	800	800	190	550	120
T204	480	450	110	800	490	160	360	980	320
T205	600	930	870	560	600	210	260	410	260
T206	170	200	990	960	520	150	820	480	470
T207	740	920	330	930	260	960	180	560	860
T208	290	690	420	560	800	980	220	450	950
T209	790	390	400	760	990	280	680	660	850
T210	370	350	170	460	800	620	180	770	760
T211	800	160	700	130	140	880	630	950	510
T212	510	710	370	460	340	360	840	540	660
T213	260	810	170	930	930	790	960	260	270
T214	330	850	430	980	410	900	380	300	210
T215	810	160	200	160	830	490	920	640	340
T216	570	350	140	850	370	600	310	580	830
T217	360	530	890	930	230	710	300	840	860
T218	260	210	390	900	630	300	650	700	690
T219	340	750	990	420	330	270	310	660	280
T220	100	380	510	240	280	880	920	110	400
T221	270	330	720	640	200	890	330	920	400
T222	470	990	230	840	420	420	630	810	730
T223	470	290	700	410	900	750	740	820	510
T224	560	930	710	930	820	360	300	810	760
T225	510	280	910	130	480	150	130	530	720
T226	400	190	730	740	210	760	580	300	550
T227	220	480	660	920	430	390	570	100	340
T228	970	500	280	800	700	390	670	490	190
T229	150	500	690	630	480	250	250	120	690
T230	600	560	960	580	830	570	560	720	200
T231	250	970	480	700	880	790	150	990	560
T232	270	910	540	990	310	190	140	330	300
T233	630	210	500	110	550	660	200	550	880
T234	230	420	160	760	690	970	440	700	210
T235	500	780	250	470	260	900	550	720	660
T236	670	630	410	730	260	720	140	900	830
T237	580	540	990	730	150	980	350	570	600
T238	500	420	280	810	690	300	560	390	170
T239	110	920	210	480	530	170	640	830	120
T240	930	600	540	650	950	820	660	320	340
T241	680	660	720	720	570	530	770	480	810
T242	480	970	770	720	670	870	140	380	520
T243	740	240	200	110	240	370	980	320	210
T244	690	700	620	890	330	100	170	210	950
T245	930	960	740	360	100	500	150	770	760
T246	650	160	120	150	760	190	390	510	630
T247	250	780	500	340	670	670	390	960	610
T248	370	490	960	240	690	640	390	840	190
T249	420	550	110	860	710	340	420	140	380
T250	560	150	590	810	210	190	450	270	180
T251	500	670	350	270	730	240	460	410	270
T252	220	780	980	480	990	510	700	220	580
T253	450	790	970	120	350	480	590	330	390
T254	470	390	220	560	590	800	540	690	710
T255	950	860	780	210	570	980	120	890	810
T256	250	290	770	670	430	560	930	850	840
T257	570	190	310	890	500	110	120	560	920
T258	430	850	230	460	170	820	870	590	630
T259	810	400	370	790	980	430	750	120	680
T260	500	890	810	920	570	230	820	380	470
T261	150	570	650	410	740	240	820	170	100
T262	200	590	880	240	830	680	450	680	970
T263	480	230	260	490	220	110	540	210	150
T264	210	450	690	590	550	560	770	970	330
T265	460	740	880	450	110	590	280	940	200
T266	680	950	610	850	260	340	400	310	690
T267	460	580	930	540	170	270	820	120	780
T268	440	890	400	360	970	270	360	190	900
T269	580	840	770	760	280	110	700	930	770
T270	790	520	860	340	580	700	470	370	810
T271	300	110	640	250	290	900	310	720	150
T272	450	230	540	470	870	120	130	620	560
T273	540	350	350	750	470	800	140	420	960
T274	470	900	710	320	300	730	190	230	210
T275	610	250	110	640	540	800	250	650	630
T276	610	580	620	400	190	490	250	530	450
T277	980	270	850	200	860	710	280	680	850
T278	900	470	820	320	660	470	790	230	540
T279	150	720	110	210	960	180	880	980	960
T280	420	250	600	750	810	980	710	250	560
T281	500	700	550	720	760	660	100	240	310
T282	860	490	470	430	900	680	640	270	370
T283	270	270	520	220	520	120	670	200	620
T284	250	540	580	390	960	400	630	860	470
T285	260	880	890	190	890	970	470	700	460
T286	450	640	830	970	750	740	650	550	940
T287	100	560	690	620	880	450	240	560	890
T288	970	740	890	570	110	370	390	930	950
T289	480	610	560	270	660	230	310	200	280
T290	270	300	830	550	400	580	380	670	630
T291	340	910	270	480	900	550	470	440	650
T292	590	330	450	290	840	570	820	920	880
T293	630	490	420	430	360	180	950	410	230
T294	690	600	180	450	700	550	820	390	880
T295	200	700	490	530	360	120	760	880	310
T296	460	290	910	720	320	350	250	410	630
T297	300	610	470	690	470	840	670	750	190
T298	690	250	180	240	440	710	490	770	630
T299	300	290	920	750	400	530	700	350	580
T300	790	780	680	440	650	460	610	210	950
T301	410	270	370	220	420	860	500	630	910
T302	990	610	510	320	460	730	640	550	150
T303	890	430	650	610	120	610	500	420	470
T304	290	840	660	230	440	340	580	620	800
T305	310	150	500	800	310	990	560	340	750
T306	800	990	160	820	810	530	500	950	370
T307	830	600	620	960	790	170	870	560	980
T308	980	230	130	650	320	600	840	300	800
T309	930	860	570	340	400	810	670	450	300
T310	780	390	130	450	640	180	460	730	320
T311	610	760	540	140	480	680	210	940	540
T312	570	280	550	710	400	330	210	630	640
T313	250	380	350	790	550	320	450	680	390
T314	750	960	240	810	250	470	540	650	160
T315	810	300	120	380	190	880	630	990	490
T316	520	870	330	240	480	170	510	290	590
T317	980	550	670	500	650	940	120	730	460
T318	440	940	930	840	720	940	210	210	870
T319	490	720	410	180	300	990	210	810	380
T320	240	510	360	730	800	780	300	500	420
T321	160	650	410	930	450	850	440	260	670
T322	780	660	500	100	400	510	700	480	630
T323	930	250	640	560	680	870	750	370	350
T324	850	870	350	360	640	530	290	640	220
T325	900	770	480	690	430	700	860	860	900
T326	940	230	300	620	120	870	800	350	730
T327	460	120	810	610	940	220	540	740	940
T328	290	950	220	720	670	310	450	590	610
T329	890	230	470	310	250	290	900	860	800
T330	320	210	150	380	730	380	390	890	660
T331	420	920	830	690	710	970	620	460	820
T332	320	530	540	830	360	950	370	630	780
T333	380	480	530	570	960	270	780	470	170
T334	360	610	540	280	150	610	680	300	260
T335	830	630	570	110	850	470	440	480	770
T336	960	860	300	810	960	140	690	600	610
T337	240	840	410	810	750	820	190	390	270
T338	300	390	970	390	590	900	840	860	300
T339	690	680	930	450	810	850	750	940	900
T340	380	120	510	310	340	970	890	260	620
T341	430	820	120	350	160	870	680	840	260
T342	430	590	140	830	220	280	940	500	610
T343	960	190	410	990	710	160	980	480	410
T344	610	320	410	330	240	730	550	140	450
T345	310	190	570	820	170	600	590	680	140
T346	580	840	320	190	580	560	880	120	580
T347	510	100	640	330	590	660	280	240	710
T348	320	880	380	310	550	910	400	150	370
T349	520	140	180	530	820	480	480	100	120
T350	550	560	690	680	940	540	790	620	480
T351	340	960	600	860	580	460	330	830	250
T352	990	770	340	760	650	810	430	470	950
T353	570	400	390	690	690	780	150	800	520
T354	980	420	410	470	340	300	790	540	510
T355	880	820	910	680	680	740	980	770	500
T356	840	600	410	310	520	230	710	260	620
T357	200	550	600	570	380	990	190	630	630
T358	320	270	380	170	960	920	850	770	160
T359	960	640	570	590	840	400	920	520	760
T360	480	830	670	290	340	970	850	550	500
T361	570	880	940	670	780	730	220	540	750
T362	220	340	150	760	910	890	820	200	210
T363	880	750	500	160	780	420	120	890	930
T364	480	240	830	950	140	520	110	930	780
T365	930	520	240	510	530	610	500	350	330
T366	800	900	130	380	980	790	890	590	820
T367	840	830	420	580	510	450	340	920	580
T368	990	320	830	940	300	970	250	600	600
T369	160	130	630	700	810	900	490	150	900
T370	340	890	150	300	300	930	540	190	220
T371	650	310	150	120	720	710	630	440	690
T372	790	420	750	780	920	830	960	630	160
T373	770	890	260	550	870	710	720	130	440
T374	320	360	380	280	570	730	570	200	910
T375	920	260	530	760	260	480	910	930	440
T376	310	810	460	640	890	650	800	160	360
T377	510	570	400	930	440	730	800	930	270
T378	900	830	500	540	650	160	210	120	310
T379	950	570	420	430	380	170	800	350	670
T380	600	740	520	220	150	590	960	240	520
T381	780	610	430	890	760	410	160	670	880
T382	320	300	590	160	120	730	450	350	660
T383	100	940	180	440	100	750	650	830	620
T384	280	680	390	170	810	610	790	310	860
T385	640	860	470	680	530	640	350	220	730
T386	190	440	770	690	990	510	630	740	260
T387	250	280	830	290	440	620	200	740	340
T388	990	920	810	740	180	830	900	130	410
T389	960	540	770	630	940	400	400	650	300
T390	490	660	270	120	910	380	910	760	690
T391	500	910	470	980	290	710	810	820	710
T392	410	260	950	750	800	650	210	900	810
T393	110	520	180	210	130	630	530	540	340
T394	210	750	170	210	180	230	480	480	280
T395	260	760	110	170	720	760	590	990	370
T396	240	550	480	310	110	440	250	500	830
T397	360	670	670	360	930	990	260	860	970
T398	730	540	990	670	930	210	660	840	380
T399	720	320	520	710	810	590	320	770	190
T400	860	210	550	520	220	690	400	710	710
T401	260	250	260	720	680	480	720	540	440
T402	400	820	210	120	800	180	730	440	400
T403	470	910	670	320	680	520	560	620	660
T404	230	400	230	240	280	850	520	930	650
T405	170	180	260	990	290	290	440	240	200
T406	910	120	630	320	360	780	260	230	160
T407	110	740	160	740	650	170	220	470	430
T408	310	120	900	340	680	210	610	660	880
T409	280	230	700	300	620	710	780	250	730
T410	860	570	250	760	180	990	240	530	970
T411	490	940	420	850	730	660	880	180	460
T412	930	450	220	410	800	930	190	280	620
T413	330	290	910	390	330	950	610	350	690
T414	120	710	540	230	960	590	190	290	690
T415	630	980	990	900	910	130	660	750	390
T416	940	110	530	480	860	420	610	990	270
T417	290	360	120	150	270	650	840	380	550
T418	180	220	850	730	870	920	720	320	380
T419	410	640	430	110	800	310	140	220	150
