	A1	A2	A3	A4	A5	A6
T1	350	840	290	360	500	950
T2	720	810	200	940	450	970
T3	140	260	870	380	420	300
T4	940	950	730	340	770	150
T5	530	920	310	750	470	490
T6	200	540	730	390	460	720
T7	410	480	620	880	670	670
T8	320	170	740	140	350	610
T9	510	180	740	850	160	460
T10	200	690	780	290	610	450
T11	650	940	570	440	240	330
T12	360	490	500	170	780	360
T13	540	540	910	260	940	810
T14	940	200	420	680	990	520
T15	900	550	880	900	440	260
T16	700	780	120	430	420	470
T17	460	530	720	320	980	360
T18	910	750	180	200	800	560
T19	570	220	390	370	720	850
T20	400	810	990	500	840	970
T21	670	430	590	980	220	300
T22	220	770	580	830	790	260
T23	690	960	440	420	350	900
T24	390	560	660	900	210	530
T25	190	800	430	200	530	130
T26	640	190	290	250	360	460
T27	350	810	730	590	480	280
T28	290	180	920	890	850	500
T29	260	630	950	880	470	420
T30	770	360	330	150	260	490
T31	200	290	330	950	790	250
T32	860	380	150	460	820	400
T33	780	600	320	220	330	270
T34	550	640	980	120	460	200
T35	330	880	100	860	990	850
T36	640	130	130	170	170	580
T37	900	750	860	590	190	490
T38	470	980	580	140	200	700
T39	440	970	350	670	520	600
T40	170	840	410	570	860	570
T41	600	630	530	150	350	880
T42	470	580	560	700	540	450
T43	770	690	180	500	520	970
T44	770	840	810	150	180	560
T45	930	500	250	290	240	390
T46	800	690	420	780	670	980
T47	510	400	770	600	900	470
T48	360	300	540	530	890	940
T49	260	900	120	130	200	550
T50	870	400	530	840	740	120
T51	570	990	120	100	230	530
T52	230	190	610	240	710	780
T53	300	460	630	470	900	740
T54	970	260	400	670	390	700
T55	740	300	380	610	520	200
T56	770	150	730	360	950	550
T57	870	890	870	430	680	530
T58	360	960	820	450	170	210
T59	860	270	640	400	790	740
T60	600	820	500	850	650	640
T61	650	330	970	550	710	360
T62	870	440	690	250	350	670
T63	910	950	600	670	990	870
T64	870	530	520	850	340	740
T65	140	230	500	340	690	780
T66	730	860	470	950	300	620
T67	530	980	870	450	340	390
T68	220	570	430	640	200	290
T69	470	330	970	410	730	170
T70	360	190	970	290	610	620
T71	340	590	720	740	350	520
T72	520	410	820	480	690	560
T73	410	500	320	700	930	860
T74	230	970	560	120	330	950
T75	460	960	620	310	330	940
T76	230	720	530	330	850	810
T77	300	740	340	920	830	860
T78	120	210	270	520	640	450
T79	190	160	180	200	170	360
T80	290	140	220	610	270	790
T81	980	240	760	270	430	630
T82	390	700	150	160	300	440
T83	310	190	530	740	820	660
T84	810	420	790	540	520	400
T85	820	160	160	710	850	120
T86	990	210	890	320	180	630
T87	950	180	250	230	900	580
T88	580	830	370	420	700	770
T89	670	680	170	880	600	380
T90	620	580	580	220	180	740
T91	590	340	640	800	740	480
T92	820	350	460	560	820	930
T93	940	560	650	770	570	520
T94	260	420	330	280	430	570
T95	980	430	450	220	800	220
T96	430	670	100	340	900	960
T97	110	210	850	110	370	210
T98	150	280	290	270	710	180
T99	460	860	380	580	140	100
T100	440	330	670	350	550	130
T101	980	420	360	870	420	570
T102	470	860	200	790	140	520
T103	220	270	770	900	110	110
T104	750	450	350	110	180	180
T105	370	860	130	240	370	980
T106	830	630	640	150	250	350
T107	750	690	700	510	980	760
T108	920	280	940	560	280	680
T109	160	120	920	480	460	550
T110	630	930	240	910	910	430
T111	190	530	870	980	910	750
T112	290	360	990	510	370	260
T113	730	760	990	330	950	730
T114	530	830	920	570	240	140
T115	550	200	830	210	500	210
T116	740	480	690	230	780	120
T117	460	250	870	840	840	630
T118	100	840	870	880	350	420
T119	100	290	620	430	810	420
T120	730	380	600	740	640	310
T121	130	520	410	400	800	690
T122	120	290	350	530	820	750
T123	510	630	700	500	600	660
T124	270	450	640	460	290	790
T125	960	750	110	800	870	910
T126	530	340	910	470	230	300
T127	920	400	720	800	460	380
T128	490	940	420	430	600	240
