	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	100	430	530	750	470	590	980	310	260	280
T2	810	890	980	590	930	780	470	860	240	550
T3	510	320	400	400	430	660	740	750	220	850
T4	480	380	890	760	710	130	460	770	550	300
T5	300	550	990	700	780	690	170	620	500	950
T6	460	520	670	400	260	160	830	900	750	660
T7	720	670	250	630	830	890	570	760	930	210
T8	340	320	340	280	850	340	650	710	140	350
T9	800	890	650	760	370	340	910	900	810	740
T10	620	150	250	520	810	930	930	360	860	770
T11	310	150	270	770	160	390	850	280	200	500
T12	900	780	270	410	230	370	380	800	810	800
T13	250	880	340	260	250	910	480	910	500	680
T14	580	520	190	980	950	400	280	760	100	500
T15	240	660	150	410	500	250	620	390	720	320
T16	410	690	100	940	300	350	310	870	690	850
T17	830	710	950	850	610	540	980	930	860	600
T18	400	700	970	710	260	940	160	940	570	990
T19	330	730	520	430	170	440	130	230	160	360
T20	510	290	860	700	100	970	130	540	900	240
T21	760	640	550	490	520	410	740	670	210	420
T22	990	110	400	880	880	810	980	780	850	580
T23	580	390	680	480	340	910	160	620	120	250
T24	550	570	450	710	370	130	270	930	940	260
T25	830	440	190	930	760	110	190	240	630	550
T26	400	380	310	640	730	640	950	300	260	440
T27	910	120	980	170	830	800	810	170	500	990
T28	330	970	250	320	710	940	840	220	270	390
T29	410	370	200	610	150	210	130	160	230	540
T30	600	290	290	930	160	670	380	440	690	300
T31	620	420	380	890	190	540	130	170	230	590
T32	500	890	950	400	110	850	230	770	330	740
T33	190	490	870	580	250	250	930	920	630	930
T34	870	810	230	790	280	870	660	680	180	320
T35	190	770	950	880	690	920	510	140	900	460
T36	480	280	720	720	280	280	400	350	410	160
T37	700	290	330	100	360	870	800	720	880	870
T38	370	210	250	260	650	620	660	160	280	290
T39	670	110	150	660	930	740	170	200	720	570
T40	340	710	460	860	380	350	330	350	700	130
T41	380	220	420	830	830	370	390	290	510	150
T42	780	860	480	630	670	310	640	960	480	570
T43	210	650	790	760	330	750	980	310	570	980
T44	250	940	200	290	140	530	670	580	590	400
T45	320	930	300	610	950	880	320	590	240	860
T46	350	730	150	400	610	420	500	670	570	130
T47	700	610	160	630	930	480	390	460	800	710
T48	280	340	760	370	910	870	640	590	260	400
T49	430	760	370	740	680	110	770	730	520	950
T50	650	270	120	920	940	620	400	940	670	960
T51	570	690	920	860	630	230	570	620	510	290
T52	640	960	770	250	110	690	770	800	830	740
T53	640	650	350	310	230	530	990	850	500	100
T54	730	140	490	430	970	770	110	940	280	820
T55	490	180	530	900	490	570	950	280	890	950
T56	730	940	450	190	590	220	810	870	630	480
T57	340	270	160	970	660	120	340	810	110	990
T58	900	250	810	340	730	570	350	480	800	700
T59	470	390	970	980	180	230	530	440	440	520
T60	830	490	610	280	450	350	950	380	510	590
T61	960	880	910	870	240	160	850	940	510	460
T62	950	870	310	240	120	840	880	260	350	450
T63	500	160	340	360	940	230	620	790	250	580
T64	900	180	270	280	230	210	160	580	510	950
T65	690	890	700	730	390	910	820	500	380	640
T66	690	280	950	480	220	930	340	730	230	770
T67	370	920	910	170	430	490	300	910	470	700
T68	860	970	800	420	540	770	330	940	240	420
T69	260	600	920	270	780	300	590	900	210	300
T70	610	150	210	390	740	150	900	280	800	820
T71	750	350	520	320	610	520	160	850	180	560
T72	800	880	280	990	780	250	770	340	140	520
T73	250	560	370	710	330	810	570	620	980	330
T74	800	530	360	580	340	430	690	610	500	620
T75	460	480	250	920	590	770	540	100	390	620
T76	510	810	970	610	370	970	610	110	230	200
T77	310	230	130	880	210	850	430	180	830	790
T78	460	980	680	480	770	290	520	870	840	980
T79	320	950	700	760	360	230	220	160	930	480
T80	310	610	920	200	310	580	550	300	940	490
T81	440	770	790	450	480	660	930	980	660	240
T82	160	240	990	300	820	700	400	650	170	560
T83	540	950	740	240	480	790	530	460	210	300
T84	750	980	540	320	170	530	680	470	520	390
T85	600	470	160	640	150	740	420	810	730	850
T86	660	340	970	170	290	370	280	160	990	220
T87	270	260	360	450	150	800	930	710	780	640
T88	570	760	210	990	610	800	880	760	780	100
T89	690	780	920	170	770	230	280	890	360	530
T90	160	960	360	820	120	820	570	200	770	850
T91	680	350	930	150	470	970	610	260	940	650
T92	760	820	580	530	750	530	910	410	960	580
T93	930	860	330	380	280	290	340	150	160	340
T94	230	410	730	870	630	520	840	140	230	180
T95	920	180	730	950	400	930	780	120	870	710
T96	500	110	440	110	690	950	780	390	370	350
T97	520	600	930	680	510	580	190	400	810	940
T98	110	870	200	380	830	230	470	100	230	220
T99	120	730	410	960	720	640	560	430	380	100
T100	420	670	510	450	590	260	490	930	410	250
T101	200	820	680	430	390	940	520	400	660	980
T102	420	190	720	620	660	640	190	530	550	890
T103	860	380	510	520	960	970	530	720	300	650
T104	520	480	840	870	650	690	630	890	360	640
T105	180	960	870	670	950	980	700	100	190	700
T106	490	160	330	960	250	260	650	140	850	440
T107	750	190	620	220	690	560	450	930	890	960
T108	420	620	320	450	720	370	410	560	850	560
T109	420	630	270	400	520	540	260	790	710	850
T110	260	760	330	440	590	430	920	130	280	580
T111	680	670	380	500	140	700	510	430	850	780
T112	500	510	370	760	370	960	230	530	230	590
T113	690	960	700	420	890	280	760	290	280	810
T114	260	480	330	230	740	610	670	240	140	240
T115	440	120	780	300	910	180	900	220	870	170
T116	790	570	250	470	590	800	290	700	460	580
T117	310	160	820	850	190	960	230	380	680	760
T118	260	230	670	440	120	120	750	600	500	930
T119	940	130	310	590	530	120	770	990	760	880
T120	760	970	220	230	620	890	860	530	680	810
T121	200	370	310	490	110	320	390	200	220	800
T122	670	670	460	820	770	940	930	450	210	480
T123	910	400	420	530	530	680	730	140	880	460
T124	250	670	530	170	740	940	830	680	550	340
T125	110	250	190	810	890	150	340	560	480	730
T126	430	950	840	150	340	580	660	770	720	850
T127	860	470	770	490	630	260	340	300	110	240
T128	210	550	480	380	420	200	180	990	850	290
