	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	480	340	600	560	540	710	500	470	820	810
T2	700	740	840	610	780	380	570	210	400	260
T3	780	230	450	710	620	220	210	470	320	670
T4	320	830	100	930	830	840	820	940	270	260
T5	140	660	930	720	960	940	900	910	740	480
T6	410	900	130	900	510	330	520	340	320	890
T7	290	170	770	380	380	230	670	150	480	520
T8	980	350	320	480	240	550	490	180	430	620
T9	860	500	490	280	710	350	100	420	900	850
T10	110	940	210	730	780	130	870	840	850	340
T11	880	240	780	310	410	950	200	310	730	360
T12	660	850	430	310	210	360	800	140	410	380
T13	930	110	980	700	790	300	620	890	540	790
T14	400	900	320	160	480	980	410	350	890	960
T15	270	880	540	280	650	750	380	790	920	370
T16	880	360	270	270	220	380	480	240	780	440
T17	830	320	850	310	400	540	670	370	800	760
T18	890	600	570	250	910	670	510	500	830	490
T19	350	520	960	180	670	550	180	580	370	270
T20	220	410	910	130	610	990	730	210	830	650
T21	140	710	650	590	860	690	280	650	400	670
T22	230	340	510	100	790	360	990	450	500	910
T23	530	700	250	220	160	980	200	850	190	620
T24	940	330	150	500	990	520	190	370	920	580
T25	170	900	300	240	180	520	830	180	170	130
T26	460	960	460	620	870	500	950	960	710	100
T27	930	560	410	830	140	710	480	400	120	180
T28	360	820	790	670	620	530	720	570	690	950
T29	700	470	280	770	970	910	860	730	460	920
T30	910	680	600	670	420	750	640	460	760	300
T31	930	520	560	190	430	830	520	990	710	950
T32	930	620	600	880	840	140	150	500	240	670
T33	520	100	450	290	900	620	220	320	680	850
T34	270	100	280	640	250	310	970	850	210	290
T35	980	260	520	670	820	490	700	590	840	680
T36	810	800	510	940	540	360	270	150	190	300
T37	280	360	970	540	190	670	410	960	760	860
T38	920	940	610	370	460	630	320	560	560	460
T39	760	290	900	780	600	420	380	440	950	390
T40	160	270	930	410	300	550	530	580	830	120
T41	290	450	570	930	390	990	850	100	830	230
T42	730	200	170	650	970	150	810	610	730	130
T43	870	670	860	100	360	290	620	170	830	940
T44	250	450	310	130	290	660	980	870	440	690
T45	980	290	680	640	540	460	760	140	700	360
T46	830	100	170	490	200	570	470	350	480	450
T47	620	440	810	960	900	990	320	600	570	420
T48	680	270	500	990	120	520	810	290	280	830
