	A1	A2	A3	A4	A5	A6
T1	870	480	100	910	250	980
T2	810	860	270	230	450	790
T3	330	860	860	710	790	490
T4	630	370	380	340	470	880
T5	730	430	270	650	990	330
T6	790	190	490	440	600	420
T7	320	580	370	140	400	460
T8	350	200	990	700	960	390
T9	910	870	920	530	980	330
T10	890	300	580	700	750	780
T11	570	320	580	800	650	370
T12	630	610	890	660	310	440
T13	880	850	530	560	400	750
T14	730	120	610	130	720	200
T15	460	570	960	250	880	390
T16	240	500	280	490	620	540
T17	510	390	760	180	380	450
T18	230	140	300	150	240	960
T19	200	400	260	100	420	900
T20	910	990	820	560	950	290
T21	740	170	500	880	540	650
T22	690	910	420	520	940	700
T23	700	430	610	620	260	340
T24	450	660	720	250	530	160
T25	990	470	750	310	890	100
T26	410	840	350	440	410	620
T27	830	380	650	260	640	240
T28	480	350	560	490	400	220
T29	290	180	520	740	140	180
T30	710	750	860	220	460	460
T31	190	200	340	860	840	910
T32	790	320	230	180	810	780
T33	150	520	900	170	720	550
T34	160	930	490	410	550	490
T35	130	430	250	330	300	600
T36	390	500	960	870	240	160
T37	270	620	120	950	910	890
T38	990	120	630	930	830	370
T39	360	600	620	730	280	260
T40	760	360	760	660	430	730
T41	730	360	780	800	990	940
T42	730	250	900	880	790	790
T43	890	880	280	820	970	180
T44	890	290	790	340	770	990
T45	900	270	740	670	540	770
T46	830	310	380	120	150	830
T47	120	960	920	990	710	240
T48	630	450	270	270	910	510
