	A1	A2	A3	A4	A5	A6
T1	280	950	720	350	600	260
T2	650	760	540	410	360	460
T3	690	130	590	340	180	250
T4	390	600	290	530	950	990
T5	330	950	780	690	650	710
T6	900	950	450	540	270	170
T7	310	420	520	380	510	610
T8	300	690	280	940	670	620
T9	430	700	660	560	240	280
T10	490	670	250	110	380	770
T11	540	870	830	270	630	610
T12	300	770	860	770	270	470
T13	470	640	940	610	220	940
T14	880	990	120	700	660	970
T15	290	160	100	790	860	870
T16	810	650	140	480	300	140
T17	850	750	400	130	330	680
T18	480	400	290	190	620	410
T19	180	800	680	500	140	100
T20	240	780	930	270	840	860
T21	140	850	520	590	170	580
T22	450	300	890	450	290	350
T23	550	110	300	730	300	860
T24	860	580	210	830	270	920
T25	920	650	890	590	810	110
T26	200	730	240	220	920	640
T27	350	990	140	440	270	920
T28	980	130	290	340	160	400
T29	710	610	600	750	230	930
T30	770	190	800	840	510	960
T31	260	450	410	460	140	260
T32	720	730	560	600	750	680
