	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	170	200	840	690	680	930	230	740	680	180
T2	120	850	660	600	490	640	930	540	200	970
T3	960	490	720	700	120	680	630	120	410	990
T4	530	200	510	340	940	710	210	350	400	820
T5	110	570	900	740	700	490	260	550	810	610
T6	170	550	500	410	900	330	170	410	430	560
T7	770	680	210	100	970	990	200	640	610	440
T8	700	640	850	890	380	340	230	780	310	230
T9	900	260	220	920	170	210	370	850	710	920
T10	190	120	680	460	640	480	360	250	770	930
T11	590	280	280	300	510	530	720	540	620	450
T12	360	570	180	740	840	310	910	280	890	510
T13	740	230	730	480	670	140	350	640	630	860
T14	300	460	270	940	550	950	320	810	160	540
T15	300	460	870	120	510	140	690	520	630	520
T16	360	170	420	310	470	100	700	240	810	950
T17	980	900	830	570	520	880	440	730	220	340
T18	740	130	460	680	610	960	910	990	410	890
T19	580	500	220	510	580	650	280	550	430	110
T20	780	890	160	640	710	200	850	610	760	150
T21	470	290	160	750	520	860	620	850	730	500
T22	570	840	250	330	620	960	110	620	880	740
T23	380	590	890	800	810	800	850	340	550	400
T24	940	550	810	840	520	980	380	210	660	420
T25	530	380	480	470	290	350	560	720	540	680
T26	190	510	430	490	570	330	250	510	200	310
T27	980	880	650	560	750	110	250	900	500	480
T28	850	330	830	380	870	800	370	370	170	840
T29	840	410	670	440	230	250	840	130	510	110
T30	690	250	980	600	330	430	600	950	290	220
T31	160	870	840	820	610	350	820	280	450	520
T32	950	530	220	950	170	730	640	450	870	910
T33	430	300	530	990	470	440	890	470	230	230
T34	340	560	200	510	840	520	150	520	780	840
T35	310	890	440	430	640	570	830	510	180	420
T36	190	640	510	480	600	670	250	170	540	200
T37	510	200	120	600	860	550	260	170	350	340
T38	310	520	310	500	580	930	990	730	730	390
T39	520	490	250	370	430	890	200	530	750	420
T40	940	140	990	250	260	750	940	290	880	770
T41	480	660	620	260	650	150	750	950	620	830
T42	530	610	970	980	360	720	240	190	560	140
T43	550	990	510	650	660	440	270	350	160	700
T44	350	480	220	980	150	860	600	380	380	420
T45	650	230	380	410	310	500	290	760	880	690
T46	210	960	140	430	570	750	140	550	250	560
T47	460	270	930	200	400	150	170	980	360	230
T48	170	890	360	130	710	660	650	800	760	760
T49	140	600	710	130	650	210	130	270	250	830
T50	550	280	920	990	310	190	310	370	430	370
T51	980	760	340	680	280	690	690	740	360	500
T52	760	240	680	400	470	630	880	330	470	390
T53	790	340	950	900	880	450	240	260	150	780
T54	950	160	790	800	170	220	240	390	740	890
T55	530	230	180	230	150	700	950	910	100	610
T56	560	330	260	120	370	580	540	640	750	660
T57	530	820	410	940	180	360	170	740	460	860
T58	880	260	970	990	210	160	730	990	160	250
T59	680	660	290	880	250	860	350	300	300	930
T60	480	770	340	100	440	450	720	570	450	680
T61	330	290	460	310	810	270	540	100	760	930
T62	950	260	100	210	740	400	730	890	380	520
T63	830	460	180	830	850	470	670	140	600	260
T64	390	230	690	960	490	740	700	830	490	460
T65	920	220	650	830	600	710	520	750	180	320
T66	260	200	720	970	220	500	590	520	530	490
T67	480	890	370	540	310	570	550	710	980	740
T68	380	520	380	620	830	560	710	670	430	390
T69	140	190	200	210	820	590	830	730	830	730
T70	960	390	580	350	900	190	490	740	790	540
T71	960	220	380	980	960	560	330	120	860	130
T72	890	600	510	890	950	730	100	940	750	950
T73	490	720	850	710	460	490	870	710	270	400
T74	870	600	660	950	220	450	540	210	430	850
T75	460	350	930	470	350	290	100	570	780	770
T76	690	670	720	500	340	690	730	330	640	320
T77	590	520	280	220	810	260	640	860	260	810
T78	370	270	480	540	710	500	640	450	840	200
T79	800	120	270	720	730	760	470	950	680	380
T80	480	660	970	100	760	800	200	520	290	130
T81	420	910	930	770	900	840	280	210	740	540
T82	150	430	360	550	480	550	170	510	790	150
T83	870	790	490	350	250	640	530	100	220	410
T84	410	550	240	550	140	310	930	480	160	950
T85	200	260	540	480	650	650	360	950	280	430
T86	730	600	260	860	380	340	450	740	810	280
T87	780	340	900	360	440	300	210	300	830	150
T88	880	510	710	760	910	550	390	770	800	150
T89	120	610	170	630	970	680	950	140	670	220
T90	140	300	240	560	110	480	110	910	640	620
T91	210	550	860	930	130	900	310	480	920	380
T92	230	440	100	550	560	110	370	180	240	100
T93	670	330	500	760	720	780	450	710	780	640
T94	830	930	650	390	590	940	830	250	410	770
T95	440	510	890	790	490	180	930	210	540	810
T96	940	560	570	300	550	610	380	800	570	510
