	A1	A2	A3	A4	A5	A6
T1	430	780	590	870	130	890
T2	120	670	860	250	970	660
T3	240	590	160	370	240	160
T4	570	450	190	230	320	560
T5	930	600	610	750	720	680
T6	500	150	830	730	100	120
T7	820	980	340	340	550	960
T8	920	760	900	270	940	490
T9	250	380	910	160	910	630
T10	380	960	280	460	390	490
T11	690	600	520	640	400	270
T12	200	640	220	720	810	490
T13	110	670	600	160	360	920
T14	300	300	980	480	610	200
T15	420	480	860	520	560	890
T16	340	640	220	790	140	430
T17	860	440	430	700	680	810
T18	440	290	120	740	290	550
T19	600	900	350	990	220	270
T20	970	240	870	120	300	270
T21	340	410	280	780	470	110
T22	840	820	420	960	730	900
T23	880	960	170	440	230	620
T24	150	130	870	820	710	850
T25	510	770	290	510	390	220
T26	180	500	890	520	310	680
T27	910	440	150	790	610	280
T28	500	910	760	600	680	300
T29	540	770	530	100	230	210
T30	970	670	540	100	780	200
T31	290	280	920	740	110	810
T32	160	310	290	280	570	280
T33	140	340	910	540	220	560
T34	600	650	710	320	570	140
T35	400	430	530	720	500	740
T36	860	340	400	750	640	640
T37	700	540	210	520	640	760
T38	530	960	850	630	550	500
T39	280	990	400	850	710	940
T40	420	660	180	570	820	500
T41	270	290	570	270	410	830
T42	760	190	470	410	810	660
T43	500	260	540	950	130	530
T44	200	760	240	610	670	820
T45	820	780	510	960	310	440
T46	110	600	620	640	880	260
T47	590	940	430	660	810	460
T48	940	590	430	150	580	830
T49	310	950	790	400	800	340
T50	720	890	670	140	470	770
T51	650	520	720	710	260	960
T52	170	130	220	790	790	950
T53	650	690	320	390	380	560
T54	860	560	100	580	270	570
T55	440	240	310	990	570	300
T56	430	180	870	240	320	170
T57	290	540	970	820	160	370
T58	730	690	310	850	480	190
T59	900	990	570	940	230	850
T60	460	340	420	110	920	430
T61	940	950	960	510	140	140
T62	440	390	720	340	440	400
T63	550	770	740	290	850	340
T64	800	790	230	600	900	440
