	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	790	770	800	540	480	310	600	560	140	540
T2	940	780	440	530	690	170	710	320	660	640
T3	730	650	430	730	150	390	230	250	580	430
T4	860	820	510	420	600	630	810	240	880	550
T5	750	590	530	680	600	290	130	500	870	300
T6	210	790	730	880	460	630	320	220	260	510
T7	940	390	820	870	180	420	640	990	510	510
T8	820	330	460	760	190	440	640	760	640	290
T9	430	830	790	840	270	360	730	630	670	390
T10	840	580	310	550	390	850	740	110	750	680
T11	410	720	250	990	420	360	720	750	590	480
T12	840	260	280	110	900	320	420	360	830	420
T13	590	780	460	490	870	780	520	740	360	190
T14	390	360	170	950	290	830	520	650	690	770
T15	770	930	880	300	950	310	710	270	590	640
T16	450	900	940	420	380	790	500	110	370	690
T17	830	960	320	630	810	270	510	380	490	350
T18	900	240	890	410	770	690	160	400	140	460
T19	670	930	800	360	600	640	100	330	230	510
T20	120	690	260	300	540	480	900	450	350	950
T21	940	810	600	160	110	390	400	780	620	360
T22	190	430	510	570	670	730	160	880	210	390
T23	530	290	200	620	980	740	170	990	260	410
T24	370	700	930	480	850	610	380	680	120	910
T25	170	830	430	950	970	140	480	300	460	580
T26	990	930	720	100	150	940	240	340	320	160
T27	500	740	890	230	660	740	950	960	630	800
T28	630	960	210	680	300	970	560	270	360	140
T29	350	750	450	530	240	990	360	890	340	760
T30	150	120	470	290	840	200	960	500	170	330
T31	920	320	950	200	400	270	520	960	570	550
T32	140	710	890	470	100	990	720	950	800	260
T33	390	910	960	940	900	520	630	170	310	140
T34	170	470	790	840	390	800	330	660	870	210
T35	570	910	520	540	910	370	590	500	920	720
T36	500	900	850	790	950	410	350	200	810	220
T37	310	430	690	920	800	960	580	260	710	630
T38	230	310	240	870	570	900	120	180	550	250
T39	360	350	890	790	160	960	920	870	230	140
T40	960	430	850	890	970	340	810	310	920	250
T41	870	490	260	920	210	570	740	640	950	330
T42	850	370	870	280	790	840	970	620	390	720
T43	460	660	540	230	850	150	800	390	770	950
T44	400	300	500	980	610	920	320	380	190	540
T45	300	470	280	130	590	580	370	310	480	590
T46	300	230	160	100	760	600	780	670	910	640
T47	230	940	560	860	520	190	370	290	130	590
T48	960	300	870	170	820	900	120	100	980	360
T49	830	750	170	530	430	840	420	500	730	170
T50	390	410	300	760	600	110	180	500	130	720
T51	410	190	680	240	630	230	910	340	410	950
T52	750	880	950	690	260	800	510	230	880	810
T53	450	500	250	220	500	810	480	500	690	170
T54	850	440	630	590	860	190	160	130	560	290
T55	320	530	260	620	110	810	490	770	740	830
T56	150	770	840	360	460	650	730	560	150	420
T57	690	680	450	900	720	610	480	150	740	100
T58	540	130	380	590	760	920	230	520	360	840
T59	840	730	600	790	250	120	480	510	520	630
T60	940	480	740	770	540	240	690	830	690	920
T61	890	330	470	660	830	830	820	450	400	340
T62	410	870	120	590	690	730	210	110	680	700
T63	620	670	760	360	890	940	230	260	460	170
T64	750	230	640	760	380	690	930	330	110	840
T65	590	530	250	910	390	440	990	690	530	370
T66	200	170	430	370	180	560	540	320	250	820
T67	240	740	780	580	220	840	130	130	660	340
T68	580	680	830	480	280	580	830	400	530	800
T69	550	640	120	830	760	380	780	440	510	840
T70	610	630	710	200	510	150	440	800	490	530
T71	770	970	380	500	210	530	670	500	530	500
T72	540	240	450	870	140	840	280	560	850	250
T73	350	280	340	500	400	770	840	180	810	450
T74	730	600	690	510	970	740	710	540	860	350
T75	600	370	270	650	990	240	220	660	400	970
T76	810	980	540	160	500	550	630	670	700	890
T77	560	240	260	110	940	760	320	970	180	960
T78	590	190	730	280	320	690	170	940	320	240
T79	140	800	560	340	950	120	960	330	340	550
T80	280	420	550	550	130	530	970	490	830	660
T81	130	560	610	880	300	750	140	360	780	550
T82	900	510	350	960	540	460	630	160	320	520
T83	600	110	360	590	910	780	860	910	660	780
T84	430	520	850	140	350	620	870	590	920	270
T85	740	910	750	450	610	140	350	140	440	780
T86	380	690	630	740	420	630	860	610	630	400
T87	650	930	810	210	850	380	260	180	400	340
T88	620	750	420	780	340	320	800	510	560	460
T89	550	240	140	670	200	810	700	750	910	470
T90	440	520	350	610	790	810	760	930	340	720
T91	920	320	160	930	870	260	780	200	210	650
T92	840	890	980	440	210	520	980	200	970	210
T93	390	880	660	610	240	950	950	110	450	310
T94	930	380	710	670	250	910	210	920	560	570
T95	140	150	970	950	680	590	300	290	960	170
T96	450	680	770	280	570	480	880	410	140	350
T97	430	490	180	300	980	680	130	900	310	820
T98	810	870	660	140	530	740	650	440	380	520
T99	690	560	890	560	660	780	900	920	290	450
T100	990	750	120	600	600	390	930	770	500	120
T101	680	600	250	140	650	900	320	300	320	930
T102	600	660	520	150	760	900	260	970	130	380
T103	750	800	250	470	910	410	310	870	430	640
T104	480	850	890	780	860	480	850	820	640	380
T105	710	690	470	620	130	480	790	510	690	270
T106	240	770	650	770	840	400	770	140	290	340
T107	770	440	420	210	710	110	930	390	540	120
T108	820	730	640	640	840	910	520	580	560	600
T109	720	960	410	300	740	240	100	890	290	730
T110	560	110	870	170	510	440	920	900	330	780
T111	110	180	210	370	220	860	720	850	400	170
T112	360	610	100	710	390	490	740	690	310	540
T113	610	420	530	990	860	860	460	710	550	760
T114	210	270	620	970	920	700	590	440	430	550
T115	850	200	230	710	960	750	510	380	940	870
T116	470	280	580	170	520	360	180	220	450	790
T117	960	900	300	330	840	440	930	270	620	740
T118	240	260	540	400	170	170	230	640	780	300
T119	900	130	910	320	590	490	490	100	610	600
T120	390	170	720	390	310	950	600	870	350	490
T121	580	710	800	540	920	210	460	490	370	820
T122	570	940	360	220	670	800	960	770	340	130
T123	350	700	630	550	490	370	740	290	530	370
T124	330	670	970	790	190	500	170	990	850	380
T125	980	730	250	160	940	460	520	300	680	110
T126	970	660	180	770	600	330	780	720	990	890
T127	430	580	610	640	350	650	170	550	500	480
T128	970	530	620	130	860	560	850	310	250	530
