	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	700	700	610	320	900	940	940	270	280	970
T2	690	240	880	540	730	530	240	510	200	880
T3	620	910	180	880	100	460	530	230	540	890
T4	420	970	920	210	720	780	350	190	830	590
T5	460	110	630	270	460	270	450	400	920	360
T6	630	210	700	760	470	600	200	190	860	510
T7	170	980	130	920	220	520	270	100	210	250
T8	510	820	550	500	190	860	700	820	560	300
T9	270	840	890	500	810	220	170	760	530	820
T10	320	210	120	460	900	550	970	270	100	840
T11	180	950	290	150	690	800	170	970	320	980
T12	700	960	320	690	310	330	590	860	690	590
T13	100	940	810	300	480	130	630	470	740	720
T14	640	100	340	550	240	110	120	470	840	740
T15	980	930	320	160	110	250	170	510	750	960
T16	200	230	180	790	230	420	680	290	890	420
T17	870	750	880	720	440	700	310	880	810	780
T18	250	920	280	490	440	210	320	650	470	580
T19	570	150	210	920	810	950	250	700	890	550
T20	440	760	430	660	530	380	210	880	880	920
T21	780	840	440	870	550	300	110	500	610	400
T22	910	330	550	470	140	370	890	480	180	750
T23	740	770	100	510	110	690	300	570	200	790
T24	830	820	420	170	740	870	680	860	900	880
T25	540	160	430	550	590	370	280	240	980	550
T26	250	720	380	520	740	230	570	160	660	530
T27	960	180	410	340	650	850	620	620	370	940
T28	210	920	470	780	680	470	880	860	870	970
T29	560	100	600	840	300	240	800	160	350	950
T30	350	530	670	300	800	310	310	110	300	910
T31	590	700	820	790	980	960	430	830	580	590
T32	290	120	910	200	250	570	530	990	170	730
T33	540	670	410	570	230	770	150	770	330	400
T34	130	400	450	680	990	320	610	840	650	640
T35	400	180	420	300	950	860	740	510	790	340
T36	800	340	210	100	790	600	140	870	930	620
T37	690	780	760	980	470	610	860	190	510	540
T38	480	460	130	990	150	680	340	600	840	820
T39	700	670	280	520	130	760	580	220	420	960
T40	680	510	230	420	940	630	840	320	140	950
T41	380	230	640	350	100	920	580	170	580	610
T42	940	560	200	480	850	970	650	120	260	270
T43	810	210	170	940	940	890	310	530	170	190
T44	390	200	960	130	680	300	170	690	850	690
T45	810	380	270	750	190	330	670	650	700	930
T46	570	770	750	950	480	110	240	950	150	990
T47	460	320	850	810	500	920	540	550	420	890
T48	550	840	670	350	640	340	970	850	170	620
T49	690	870	660	470	110	110	720	420	820	870
T50	220	490	260	110	220	530	400	730	690	390
T51	670	760	150	120	680	840	750	980	260	480
T52	930	280	300	760	430	750	690	990	720	980
T53	180	950	720	130	480	590	880	950	180	500
T54	790	190	830	940	480	600	160	270	440	400
T55	930	510	530	210	700	210	470	360	730	950
T56	650	600	250	640	620	340	200	380	220	120
T57	920	680	930	600	670	660	560	770	720	880
T58	160	600	290	120	310	160	310	150	480	200
T59	840	190	850	410	990	620	310	130	570	580
T60	140	510	930	730	430	700	140	760	710	890
T61	510	310	580	290	890	100	840	130	130	520
T62	650	220	460	640	830	670	450	250	220	370
T63	900	250	420	310	690	450	680	490	900	710
T64	510	570	430	580	900	230	790	150	900	240
T65	300	120	580	130	770	100	900	740	230	130
T66	390	430	630	990	380	720	600	840	610	660
T67	790	770	440	560	960	830	250	990	290	590
T68	640	200	580	410	710	290	880	990	420	480
T69	840	350	680	900	620	310	500	450	890	940
T70	790	570	480	620	600	380	510	890	120	460
T71	310	940	320	590	360	410	720	210	220	550
T72	220	790	150	370	950	710	710	930	420	790
T73	600	810	690	430	960	100	900	230	800	240
T74	900	760	320	190	640	800	250	650	410	520
T75	130	140	310	500	570	850	520	370	820	530
T76	420	590	790	150	170	400	840	180	610	940
T77	750	440	740	830	540	440	160	350	620	690
T78	220	540	100	580	470	360	130	780	100	710
T79	760	940	900	840	940	510	280	490	300	900
T80	490	450	900	910	150	930	540	800	930	110
T81	640	290	150	270	770	340	330	400	750	980
T82	420	810	690	910	260	760	200	360	330	480
T83	140	540	680	410	590	920	680	300	250	710
T84	240	280	900	420	160	240	900	260	600	220
T85	760	670	160	510	310	640	300	970	750	930
T86	440	680	320	710	860	930	680	120	730	610
T87	270	720	460	100	240	300	390	900	170	420
T88	110	960	820	960	920	720	600	600	330	270
T89	570	170	680	270	800	910	240	500	570	430
T90	500	350	770	260	460	490	460	270	670	140
T91	110	180	900	290	560	460	480	750	530	370
T92	330	350	100	590	360	920	140	900	910	860
T93	310	850	440	290	770	480	330	640	450	160
T94	940	960	730	210	290	750	810	380	110	140
T95	240	930	240	110	840	380	580	120	660	340
T96	710	260	450	820	610	790	100	150	310	460
