	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	560	780	820	170	350	200	440	460	330	960
T2	500	260	290	870	950	810	840	270	930	500
T3	250	220	330	410	270	180	950	490	880	480
T4	900	700	170	200	300	390	130	460	890	630
T5	880	560	450	700	910	160	900	300	490	790
T6	470	880	280	140	190	990	700	460	590	640
T7	150	320	930	970	430	210	520	680	140	490
T8	520	460	350	470	290	930	620	780	370	360
T9	870	750	590	730	150	220	600	850	240	720
T10	740	140	740	390	940	310	310	230	690	250
T11	780	640	980	340	470	410	650	560	150	140
T12	760	280	460	270	630	960	480	570	420	200
T13	460	690	530	830	690	500	990	640	710	700
T14	950	440	870	560	860	200	690	240	720	310
T15	120	930	960	600	530	490	470	420	370	600
T16	990	330	810	210	660	670	340	930	940	600
T17	920	680	330	470	210	480	600	630	260	170
T18	240	170	180	560	570	360	610	960	290	470
T19	550	160	420	240	760	590	440	300	540	630
T20	770	650	200	310	580	410	610	760	210	660
T21	160	380	850	850	310	140	450	530	550	820
T22	140	170	810	700	820	630	800	640	100	340
T23	860	860	950	830	710	390	500	930	580	870
T24	280	880	740	960	880	450	840	170	240	940
T25	370	660	930	150	910	280	940	350	860	170
T26	270	380	790	920	350	910	590	350	850	220
T27	360	230	370	670	520	880	960	520	350	580
T28	960	400	720	660	720	410	930	160	470	750
T29	680	300	710	730	910	880	660	780	660	910
T30	220	340	310	890	920	570	210	950	840	630
T31	990	570	680	840	150	820	110	930	630	250
T32	500	890	670	240	810	200	890	650	690	400
T33	270	560	650	740	930	540	990	230	490	820
T34	620	260	480	330	310	120	960	820	810	610
T35	210	570	350	630	600	240	320	960	260	320
T36	870	910	650	220	550	690	440	490	250	280
T37	220	260	350	710	550	900	550	490	440	630
T38	380	640	680	430	590	150	280	400	370	460
T39	460	270	920	780	490	650	680	740	880	490
T40	560	810	670	390	630	590	430	350	170	700
T41	180	240	170	250	320	640	750	830	360	420
T42	760	440	760	510	650	510	340	290	170	840
T43	390	490	930	120	530	650	920	310	570	800
T44	420	740	530	890	150	340	840	290	830	850
T45	410	430	960	620	570	710	900	600	700	380
T46	190	120	400	670	180	630	910	950	850	500
T47	290	140	480	300	930	390	460	570	150	420
T48	650	520	200	380	250	550	380	460	710	190
T49	860	820	810	950	770	830	840	850	800	710
T50	270	460	780	760	890	370	320	860	860	320
T51	760	160	650	260	960	480	420	820	600	370
T52	160	280	990	540	330	690	370	970	630	970
T53	980	900	120	450	130	930	190	150	510	300
T54	460	470	970	520	350	230	280	280	520	820
T55	540	340	770	340	370	830	180	190	350	960
T56	370	620	870	600	450	240	840	460	180	250
T57	900	630	290	390	890	770	860	610	850	300
T58	770	350	320	180	800	720	830	570	240	230
T59	230	410	340	160	600	540	470	370	870	910
T60	750	440	600	820	610	120	390	730	720	600
T61	700	460	620	520	800	320	580	910	830	750
T62	410	180	900	420	160	450	320	800	100	460
T63	450	910	300	540	250	160	550	620	980	620
T64	650	520	510	690	440	400	340	130	490	160
