	A1	A2	A3	A4	A5	A6	A7	A8	A9
T1	440	510	460	500	840	880	900	840	290
T2	500	360	180	360	760	980	240	250	730
T3	130	110	560	730	400	530	790	420	600
T4	380	180	330	630	380	600	830	380	970
T5	340	120	680	380	840	470	550	760	850
T6	430	530	610	710	890	950	160	980	630
T7	860	420	960	130	840	680	360	410	260
T8	230	260	230	500	900	850	650	130	160
T9	290	910	100	440	370	870	770	550	720
T10	460	770	420	250	830	570	520	610	140
T11	130	790	690	150	610	910	940	970	660
T12	870	840	740	520	650	460	650	140	870
T13	520	270	160	580	760	780	640	810	310
T14	400	950	110	470	710	280	440	740	420
T15	840	700	960	300	820	160	740	970	290
T16	550	260	930	870	240	890	170	360	170
T17	470	160	360	730	420	160	220	200	900
T18	990	460	690	170	450	390	800	720	970
T19	350	310	410	180	380	990	450	260	540
T20	320	610	730	210	920	750	170	390	590
T21	230	210	360	740	740	300	490	250	650
T22	740	760	500	550	370	250	240	400	420
T23	780	790	910	230	940	550	500	180	190
T24	620	670	100	790	350	680	810	670	940
T25	640	400	380	340	140	200	150	500	720
T26	300	320	120	410	560	440	170	240	890
T27	440	830	930	730	380	920	350	690	140
T28	230	980	810	610	630	550	550	240	950
T29	970	490	490	870	660	260	760	520	330
T30	740	200	770	290	340	550	700	140	110
T31	750	550	170	320	930	490	420	340	790
T32	360	180	560	830	970	300	590	370	700
T33	210	350	580	560	350	360	990	610	920
T34	170	290	640	300	620	820	810	870	200
T35	280	230	670	980	930	520	670	350	810
T36	100	350	470	980	840	320	130	620	950
T37	310	650	910	540	560	630	430	740	810
T38	730	850	150	250	980	710	930	330	580
T39	190	930	810	560	410	690	790	840	540
T40	810	450	650	630	700	700	750	180	730
T41	390	800	620	200	480	540	420	380	520
T42	160	270	660	280	610	390	400	190	760
T43	390	390	960	710	220	820	200	300	340
T44	270	380	800	970	590	270	910	620	450
T45	920	740	690	730	680	980	330	880	520
T46	550	660	500	770	880	580	270	180	880
T47	950	540	150	790	160	670	940	970	220
T48	760	700	850	910	270	950	880	400	620
T49	390	170	850	630	640	180	400	790	560
T50	300	590	590	990	280	250	790	380	650
T51	880	380	540	630	110	270	800	430	360
T52	400	620	760	880	220	410	760	630	890
T53	800	610	350	210	770	330	610	800	700
T54	550	290	670	910	430	480	440	590	680
T55	170	910	110	810	850	460	120	410	440
T56	200	170	270	300	630	830	820	970	950
T57	690	630	180	690	500	690	970	400	780
T58	410	560	310	520	180	890	540	930	970
T59	720	360	670	850	570	170	800	670	980
T60	170	430	930	990	880	390	170	240	970
T61	450	630	490	600	510	170	720	550	740
T62	660	160	350	150	300	190	740	950	200
T63	920	580	890	990	650	920	530	540	940
T64	550	260	560	630	680	240	770	330	220
T65	200	620	490	480	960	910	840	340	750
T66	300	900	220	730	940	430	670	540	690
T67	960	460	660	690	210	700	320	270	410
T68	760	540	750	560	170	930	290	970	780
T69	160	260	770	140	860	750	140	870	650
T70	350	800	230	820	510	370	670	970	170
