	A1	A2	A3	A4
T1	470	490	360	860
T2	930	440	410	850
T3	930	820	750	300
T4	490	400	800	410
T5	450	910	160	880
T6	250	420	540	380
T7	370	210	280	730
T8	310	960	160	200
T9	410	870	490	210
T10	260	850	200	220
T11	890	300	140	280
T12	980	260	250	300
T13	110	340	610	830
T14	250	290	180	860
T15	500	580	190	830
T16	970	210	230	590
T17	410	280	540	770
T18	650	970	200	850
T19	470	750	480	520
T20	870	120	860	350
T21	260	590	860	790
T22	440	490	890	490
T23	310	430	110	710
T24	170	330	960	430
T25	670	210	710	570
T26	770	960	650	620
T27	470	520	970	660
T28	630	710	480	230
T29	530	620	360	500
T30	160	540	900	710
T31	650	500	630	570
T32	260	930	180	420
