	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	260	750	130	320	570	250	460	770	150	430
T2	670	370	140	840	260	220	160	530	340	980
T3	770	600	800	310	140	240	830	100	550	300
T4	640	750	960	210	660	410	130	700	790	610
T5	430	920	410	920	350	820	790	590	490	520
T6	900	520	930	270	210	460	440	510	790	480
T7	850	990	800	750	890	700	330	610	880	310
T8	290	190	100	340	590	920	870	720	630	590
T9	190	260	110	900	170	980	490	130	920	880
T10	530	170	840	140	660	730	460	320	860	230
T11	180	590	980	970	750	610	870	370	730	410
T12	560	680	950	120	370	860	640	770	270	850
T13	510	820	680	180	400	730	200	440	140	650
T14	200	760	800	260	990	210	170	130	290	730
T15	410	770	300	860	620	790	240	870	680	780
T16	750	590	190	590	790	450	240	520	170	180
T17	850	400	160	250	720	380	740	230	760	580
T18	550	910	890	590	980	120	420	410	260	750
T19	880	940	610	650	360	340	190	990	300	980
T20	300	230	160	560	460	790	790	720	240	670
T21	500	370	280	930	950	370	660	740	340	870
T22	370	790	970	450	660	300	520	300	570	630
T23	250	800	790	560	990	120	100	520	290	250
T24	770	890	980	950	310	670	390	670	560	320
T25	940	770	370	400	620	170	330	940	270	180
T26	780	320	110	490	560	470	420	550	870	500
T27	180	930	560	600	110	460	680	160	320	570
T28	910	450	120	870	590	740	930	260	840	500
T29	740	630	800	150	220	900	910	340	230	200
T30	590	790	510	470	820	370	460	200	790	260
T31	930	560	540	460	970	750	130	410	680	180
T32	950	180	470	700	310	970	920	390	890	570
T33	380	150	600	240	660	160	800	720	230	800
T34	260	880	110	830	320	150	110	870	580	840
T35	520	200	990	840	720	510	580	510	970	340
T36	980	120	330	410	190	430	330	720	800	790
T37	380	160	480	760	960	910	380	410	990	140
T38	840	340	610	270	100	360	130	800	650	340
T39	920	620	880	230	990	260	550	340	140	100
T40	510	840	760	690	670	650	380	950	500	890
T41	200	370	830	630	650	860	940	580	680	580
T42	960	700	500	780	370	110	550	760	360	340
T43	970	340	570	680	150	790	660	540	550	520
T44	320	220	870	220	770	400	730	250	980	210
T45	400	350	110	960	650	390	670	770	920	870
T46	970	520	240	220	520	990	430	180	720	460
T47	250	830	960	770	350	940	840	870	910	240
T48	170	340	350	910	200	970	250	240	800	300
T49	740	930	130	780	480	820	740	800	440	700
T50	870	160	830	850	680	140	960	700	900	460
T51	290	300	550	220	130	190	350	460	710	620
T52	370	420	790	810	940	870	750	250	690	640
T53	260	960	310	610	180	440	450	310	100	350
T54	100	720	680	440	340	310	570	350	390	470
T55	820	270	860	860	350	120	760	680	630	930
T56	610	400	580	480	140	750	690	440	900	790
T57	820	500	620	100	950	100	970	470	990	420
T58	590	450	780	430	330	840	800	920	340	660
T59	570	430	820	820	920	220	570	890	490	880
T60	470	890	990	940	620	900	800	700	980	150
T61	710	350	500	930	130	560	490	970	820	250
T62	280	480	450	420	210	380	120	610	680	240
T63	330	100	960	340	810	740	810	760	320	640
T64	510	290	830	140	470	360	110	840	560	350
T65	900	120	340	720	430	740	800	590	650	770
T66	620	760	200	300	450	750	790	970	390	560
T67	650	290	260	570	350	810	330	660	700	140
T68	970	360	220	740	190	230	530	890	300	440
T69	790	280	140	670	820	240	980	650	470	940
T70	310	260	470	320	180	500	400	360	130	100
T71	110	420	410	500	810	640	320	550	750	220
T72	520	640	450	750	760	280	650	820	190	800
T73	530	590	810	480	150	170	790	560	150	770
T74	180	640	580	560	500	530	310	620	860	390
T75	700	850	110	870	810	890	190	570	260	430
T76	500	420	900	910	890	620	630	620	700	210
T77	580	240	810	300	220	300	200	490	930	980
T78	330	890	440	520	740	960	960	400	450	830
T79	410	240	930	540	140	920	970	620	180	510
T80	390	840	330	660	920	540	490	100	180	340
T81	740	800	880	650	240	300	760	550	350	490
T82	740	310	830	120	670	700	920	800	820	920
T83	550	810	110	760	530	760	210	200	990	980
T84	100	950	710	200	740	570	630	720	860	400
T85	110	240	380	660	720	220	790	740	850	520
T86	110	940	660	100	410	670	180	120	910	840
T87	110	610	170	940	650	940	260	240	340	620
T88	360	580	900	190	230	720	320	950	630	370
T89	530	940	500	660	650	680	500	380	300	980
T90	810	180	260	800	250	210	920	760	190	240
T91	750	560	950	510	470	780	220	380	430	450
T92	520	780	400	720	610	120	960	960	670	700
T93	680	910	640	920	730	170	850	170	640	380
T94	320	280	900	230	480	310	510	590	290	510
T95	990	740	360	410	790	410	730	650	830	120
T96	180	180	220	580	520	560	540	820	690	380
T97	270	140	220	520	230	880	110	900	550	210
T98	810	650	970	630	900	640	510	510	680	130
T99	640	850	780	720	340	850	620	730	580	460
T100	280	620	540	920	700	230	210	300	930	940
T101	160	980	920	180	530	880	720	360	160	340
T102	950	280	680	150	590	250	430	980	730	190
T103	720	890	800	810	710	310	650	770	290	240
T104	520	130	420	280	430	140	440	900	160	450
T105	740	620	740	870	730	760	150	470	300	170
T106	200	680	670	800	930	490	590	930	780	540
T107	160	480	800	920	820	250	940	330	380	290
T108	900	770	170	360	310	270	590	130	680	760
T109	570	120	770	210	470	850	420	280	430	320
T110	670	170	780	480	560	340	430	860	440	400
T111	630	280	190	150	340	400	210	210	570	730
T112	180	850	910	570	320	100	900	600	310	150
T113	590	200	430	470	830	510	200	680	490	840
T114	320	910	920	590	770	420	390	680	250	810
T115	250	950	200	640	290	690	290	880	680	890
T116	830	730	460	650	650	770	680	680	890	300
T117	180	490	330	580	480	170	990	920	990	970
T118	340	290	690	390	110	730	200	420	760	340
T119	680	360	750	950	710	880	610	310	410	870
T120	310	300	300	970	370	950	290	270	790	690
T121	450	120	680	670	550	830	300	370	380	180
T122	490	260	290	540	430	450	290	430	700	670
T123	700	420	120	580	800	410	540	590	400	150
T124	590	500	180	790	540	390	110	350	380	660
T125	770	760	450	750	730	410	220	950	570	700
T126	690	250	750	290	960	680	790	510	200	270
T127	170	410	190	850	480	740	470	840	580	730
T128	350	120	540	880	550	800	250	660	200	280
T129	100	300	470	280	880	210	330	730	580	190
T130	890	210	370	680	640	180	720	200	770	980
T131	560	480	420	610	140	450	160	250	970	980
T132	820	240	740	460	400	880	890	680	210	720
T133	130	970	930	540	550	130	310	360	420	410
T134	590	700	990	710	290	210	880	840	560	970
T135	750	870	200	140	750	800	140	810	820	650
