	A1	A2	A3	A4	A5	A6
T1	560	400	150	930	700	630
T2	410	950	750	790	300	590
T3	680	370	180	600	110	660
T4	840	270	470	680	250	280
T5	400	400	900	560	860	830
T6	590	420	480	100	920	100
T7	650	350	210	680	670	200
T8	140	670	660	880	200	870
T9	150	910	840	900	990	880
T10	300	650	280	570	230	860
T11	330	260	290	800	720	950
T12	210	350	680	960	960	730
T13	570	360	940	850	690	560
T14	620	540	380	280	370	980
T15	110	250	790	740	160	790
T16	560	740	380	270	890	770
T17	580	410	360	480	810	610
T18	980	320	650	650	670	540
T19	570	370	580	320	960	450
T20	310	940	420	940	100	210
T21	150	660	480	740	960	610
T22	750	710	470	530	520	390
T23	320	330	260	300	330	700
T24	710	180	880	260	770	920
T25	660	120	670	190	390	150
T26	720	470	910	290	230	760
T27	560	300	540	680	790	760
T28	390	560	550	600	990	890
T29	760	130	500	150	230	400
T30	770	210	690	730	720	620
T31	850	890	900	750	990	230
T32	900	810	190	410	980	450
T33	470	660	680	480	240	310
T34	210	590	110	490	610	190
T35	340	920	600	250	950	280
T36	540	640	310	440	800	840
T37	450	720	480	480	630	170
T38	390	680	970	250	550	670
T39	850	900	640	420	400	210
T40	790	880	150	660	590	470
T41	380	190	950	550	540	310
T42	880	140	910	950	730	200
T43	920	900	270	330	710	990
T44	360	520	630	110	400	890
T45	460	260	570	870	660	850
T46	260	490	780	150	100	640
T47	980	510	750	380	620	460
T48	360	650	900	720	470	510
T49	920	100	260	210	210	600
T50	200	730	160	900	530	610
T51	800	460	430	930	680	440
T52	150	120	890	990	660	690
T53	960	770	460	610	960	380
T54	580	380	130	320	590	990
T55	170	170	330	880	610	500
T56	560	830	720	540	900	840
T57	580	460	660	470	260	540
T58	310	810	440	680	510	290
T59	330	110	190	570	710	970
T60	320	100	260	790	850	340
T61	430	150	910	880	680	250
T62	830	900	500	740	320	180
T63	540	810	160	430	150	440
T64	470	920	750	970	340	980
T65	390	200	740	430	180	410
T66	250	180	700	520	920	310
T67	870	370	190	950	240	860
T68	510	900	700	850	730	220
T69	780	860	580	180	330	290
T70	330	400	900	230	520	590
T71	290	570	430	600	580	280
T72	250	780	490	700	510	430
T73	450	520	970	920	220	870
T74	680	760	570	900	770	690
T75	440	480	280	820	650	140
T76	360	840	780	180	920	840
T77	260	310	490	480	200	700
T78	910	720	110	820	920	150
T79	380	350	440	840	650	680
T80	580	550	100	980	590	570
T81	470	240	490	160	830	260
T82	770	530	810	320	890	900
T83	580	910	480	790	840	120
T84	870	860	590	910	290	380
T85	950	350	700	380	390	920
T86	550	790	650	970	950	140
T87	860	130	440	410	260	550
T88	160	310	110	900	160	300
T89	740	670	510	920	320	920
T90	880	130	930	430	870	860
T91	190	590	330	170	140	640
T92	640	150	490	830	580	560
T93	120	780	770	590	400	640
T94	420	860	580	970	570	250
T95	950	560	460	920	470	960
T96	970	960	940	310	750	930
T97	310	900	670	620	310	670
T98	640	610	750	240	870	860
T99	940	820	570	600	280	200
T100	700	450	380	350	380	120
T101	380	220	600	800	240	200
T102	800	160	430	860	550	950
T103	210	620	870	580	970	220
T104	880	130	380	610	240	340
T105	680	460	320	830	240	630
T106	210	520	440	490	510	390
T107	410	890	250	780	200	320
T108	560	160	340	950	670	510
T109	990	670	830	880	350	700
T110	520	960	630	200	800	720
T111	420	660	370	910	650	310
T112	360	750	620	310	490	690
T113	360	520	670	390	740	100
T114	340	240	560	520	180	220
T115	860	250	940	190	140	520
T116	810	400	220	190	290	180
T117	400	240	710	990	600	320
T118	770	680	120	290	890	290
T119	690	920	380	410	810	880
T120	340	830	210	290	470	240
T121	130	170	350	310	260	270
T122	480	780	640	140	110	830
T123	180	910	170	280	740	640
T124	770	750	650	900	580	840
T125	520	540	130	250	750	580
T126	460	250	440	530	410	240
T127	490	680	560	250	180	130
T128	210	230	850	500	180	480
