	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	330	140	470	520	430	400	460	450	310	990
T2	260	190	540	550	180	430	830	960	940	880
T3	460	480	140	120	100	200	660	600	810	290
T4	700	810	300	420	810	910	630	230	800	420
T5	950	350	720	890	970	170	690	760	910	120
T6	180	200	130	290	820	360	460	690	870	710
T7	590	950	780	400	370	720	960	250	510	530
T8	940	340	140	370	520	710	110	860	200	670
T9	290	250	470	260	300	660	210	980	160	290
T10	460	190	700	940	980	120	850	860	460	390
T11	940	650	430	160	310	160	810	620	610	630
T12	990	280	570	870	370	250	510	280	560	960
T13	650	490	690	720	900	920	100	530	300	660
T14	520	990	950	480	990	620	830	730	840	180
T15	100	950	490	750	660	860	670	300	310	830
T16	700	560	980	570	850	980	960	220	520	760
T17	430	420	740	580	150	580	460	270	440	320
T18	520	480	470	650	550	640	770	700	310	800
T19	410	570	990	750	560	170	210	640	270	800
T20	530	190	370	870	110	630	930	550	480	340
T21	870	660	960	190	560	740	370	580	930	610
T22	360	350	180	280	310	200	650	790	680	390
T23	540	290	740	490	990	580	470	440	300	780
T24	160	700	790	640	520	380	610	280	550	810
T25	950	170	540	100	270	170	670	590	470	350
T26	730	630	570	260	520	750	160	180	560	820
T27	400	530	780	300	530	570	260	530	960	980
T28	700	510	380	470	800	700	160	460	250	100
T29	770	730	780	950	430	410	700	490	460	810
T30	520	740	860	220	930	210	370	730	200	460
T31	910	270	980	480	580	420	350	390	630	420
T32	110	390	840	580	400	990	850	460	440	830
T33	620	500	340	690	210	220	270	460	390	320
T34	490	720	740	680	600	660	140	520	590	240
T35	320	420	470	390	520	720	580	330	860	260
T36	360	650	380	700	880	560	800	330	130	800
T37	130	230	870	920	320	180	820	650	460	700
T38	860	850	390	830	420	750	500	660	910	540
T39	590	210	870	340	910	330	100	820	420	840
T40	500	920	540	880	780	690	360	170	620	400
T41	830	480	890	430	350	360	520	690	980	740
T42	120	700	390	560	160	540	600	560	260	400
T43	390	460	150	130	500	650	480	680	640	650
T44	740	190	100	240	560	210	580	390	850	140
T45	820	580	400	300	340	770	130	850	360	980
T46	200	280	980	620	410	820	650	320	220	330
T47	500	530	140	380	420	910	290	600	720	860
T48	580	340	830	490	830	790	340	380	410	980
T49	690	740	350	660	770	100	660	880	680	580
T50	940	630	680	160	340	950	790	630	510	180
T51	130	570	930	530	920	110	250	330	630	380
T52	670	140	370	350	100	190	380	610	570	410
T53	810	350	540	930	680	240	740	390	990	150
T54	350	570	730	260	130	280	750	670	170	880
T55	410	920	290	850	890	290	850	160	830	850
T56	560	860	780	100	480	320	960	440	650	130
T57	270	970	870	300	230	860	220	630	280	370
T58	570	230	670	270	400	250	450	580	320	950
T59	530	360	590	810	620	610	960	580	240	990
T60	800	960	910	270	280	830	250	960	250	830
T61	670	950	580	510	290	590	840	430	120	670
T62	230	790	420	690	320	310	600	210	580	350
T63	370	550	880	620	110	730	980	810	870	390
T64	490	830	700	630	630	390	900	900	260	430
T65	790	390	120	940	800	770	200	350	490	280
T66	710	570	370	410	140	300	620	360	630	220
T67	270	360	910	690	710	800	100	930	770	850
T68	270	520	280	100	860	840	310	810	210	850
T69	840	340	480	550	140	930	660	870	960	370
T70	360	350	400	450	720	850	270	680	920	770
T71	160	370	760	980	400	720	430	660	310	570
T72	580	370	700	930	790	110	580	820	930	670
T73	100	290	930	580	170	130	220	720	950	450
T74	850	670	490	270	350	960	640	110	330	850
T75	490	570	100	570	190	320	860	200	290	440
T76	920	100	170	200	950	980	150	180	110	670
T77	950	460	380	770	320	140	610	440	410	480
