	A1	A2	A3	A4	A5	A6
T1	150	140	210	570	150	980
T2	240	520	200	810	430	450
T3	190	290	440	480	200	330
T4	670	610	260	910	260	200
T5	120	790	280	990	440	880
T6	620	200	360	370	730	510
T7	610	150	230	260	370	750
T8	950	770	720	110	860	260
T9	490	320	500	910	890	660
T10	190	590	450	970	240	860
T11	850	920	330	810	190	550
T12	190	210	640	880	780	110
T13	940	450	380	350	160	150
T14	160	390	510	640	970	100
T15	720	760	190	370	350	840
T16	440	660	730	890	350	950
T17	750	880	530	750	170	710
T18	440	350	720	930	690	990
T19	110	140	460	300	720	400
T20	430	850	510	960	960	260
T21	150	740	260	550	480	820
T22	900	530	260	440	440	500
T23	460	710	140	210	380	460
T24	220	420	460	970	380	350
T25	380	550	770	960	890	180
T26	870	390	230	180	420	970
T27	310	810	170	510	430	270
T28	350	220	240	830	590	780
T29	990	940	680	560	680	870
T30	810	520	740	900	770	380
T31	740	470	200	970	590	910
T32	180	160	440	980	110	260
