	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	480	510	280	220	390	150	480	430	790	740
T2	870	840	800	710	910	110	630	270	330	870
T3	740	510	700	170	430	450	440	740	790	280
T4	380	320	900	470	160	360	710	950	250	360
T5	360	400	600	910	980	650	290	670	560	350
T6	810	330	160	650	260	850	350	660	380	450
T7	700	480	580	450	780	290	170	140	440	530
T8	660	410	790	820	150	200	970	190	260	170
T9	980	780	300	130	670	260	540	370	510	140
T10	140	550	140	390	200	890	870	760	160	910
T11	260	790	780	770	830	280	900	590	130	990
T12	220	490	820	440	480	670	920	820	520	570
T13	710	890	160	250	800	720	200	720	960	200
T14	980	810	590	310	920	760	190	510	770	920
T15	220	320	940	450	630	740	400	890	670	920
T16	500	270	190	330	710	280	190	270	390	300
T17	760	800	450	770	210	220	270	700	490	980
T18	810	740	590	640	170	980	740	450	780	990
T19	640	800	290	830	930	790	230	680	940	760
T20	710	240	760	500	280	880	520	200	560	740
T21	920	250	730	650	200	170	280	740	630	110
T22	600	530	220	270	150	810	830	950	430	610
T23	900	350	350	710	240	780	760	580	130	630
T24	610	500	830	520	990	330	380	310	610	100
T25	690	850	640	270	470	460	560	670	380	280
T26	820	670	950	710	470	330	510	180	250	980
T27	470	660	300	390	250	150	130	910	810	730
T28	810	500	770	250	880	340	680	540	880	560
T29	420	150	570	420	630	550	370	730	910	990
T30	610	790	670	780	380	730	340	380	880	520
T31	280	260	370	120	220	700	860	170	880	690
T32	750	770	760	320	830	370	600	440	180	140
T33	200	490	630	760	350	270	960	210	680	630
T34	860	400	900	330	380	550	740	950	330	830
T35	270	460	750	160	650	280	300	860	150	780
T36	200	280	520	520	250	910	280	860	110	560
T37	430	650	680	790	440	490	710	540	180	130
T38	300	830	150	670	380	300	390	350	690	640
T39	310	670	470	300	380	670	690	270	140	330
T40	180	740	430	390	450	160	320	520	500	920
T41	680	870	190	570	670	630	540	450	310	650
T42	250	230	980	670	100	880	420	950	170	760
T43	590	810	980	190	650	100	850	370	910	960
T44	870	330	140	790	240	730	320	550	120	170
T45	330	270	220	610	230	870	250	380	800	500
T46	160	950	170	740	550	930	760	280	210	860
T47	430	330	600	890	590	660	610	470	120	510
T48	480	990	290	810	730	490	610	800	860	790
T49	840	520	460	450	430	250	970	680	830	150
T50	600	160	640	330	330	370	260	520	700	610
T51	190	530	570	330	320	480	560	460	560	260
T52	190	450	750	450	420	480	420	130	190	850
T53	540	970	920	240	890	700	900	770	540	570
T54	570	440	430	210	690	590	120	470	830	620
T55	330	900	190	180	680	130	470	640	190	150
T56	430	840	730	480	510	450	930	210	290	920
T57	830	640	630	930	550	210	880	790	810	630
T58	910	480	570	120	560	840	780	100	920	620
T59	650	950	980	630	360	900	640	890	650	730
T60	620	880	220	140	360	340	310	500	870	620
T61	670	640	410	460	810	590	750	290	780	260
T62	910	870	290	470	630	370	530	740	530	320
T63	940	430	650	310	370	410	440	440	350	380
T64	990	790	980	110	650	650	560	770	740	650
T65	650	990	760	890	210	550	700	960	390	270
T66	960	450	650	170	750	100	420	630	400	780
T67	370	170	340	300	590	520	750	160	150	790
T68	610	520	390	930	270	470	960	920	520	160
T69	580	830	960	110	340	620	650	620	730	680
T70	950	550	710	620	740	320	390	550	500	480
T71	660	390	550	850	390	670	410	900	260	410
T72	270	210	280	390	890	310	530	910	850	840
T73	950	950	800	980	150	140	990	360	270	460
T74	490	910	650	400	110	660	300	370	410	750
T75	140	950	560	240	540	260	880	390	650	520
T76	730	460	940	980	330	780	830	130	270	130
T77	200	430	410	200	140	640	500	400	980	630
T78	870	100	820	600	840	370	160	410	210	940
T79	350	320	860	620	700	710	980	200	840	700
T80	790	620	810	310	250	250	800	920	470	310
T81	530	380	640	840	210	300	830	180	250	330
T82	980	360	700	390	900	430	800	680	510	760
T83	570	920	560	410	930	660	610	180	910	890
T84	210	170	260	440	960	440	930	800	260	750
T85	840	340	580	180	540	700	670	930	950	680
T86	760	450	240	940	490	360	920	310	640	720
T87	830	630	620	240	800	780	430	200	970	470
T88	240	400	470	680	120	410	190	800	180	730
T89	880	540	430	610	670	780	190	560	700	370
T90	520	890	340	140	850	840	740	610	640	790
T91	490	980	770	440	100	630	660	490	770	770
T92	860	150	930	700	220	480	940	200	120	800
T93	810	860	400	690	920	240	310	950	500	820
T94	810	720	230	170	270	170	230	330	560	820
T95	120	950	440	870	910	380	730	160	870	740
T96	620	820	890	400	440	890	720	580	490	930
