	A1	A2	A3	A4	A5	A6
T1	140	500	660	490	730	200
T2	600	670	730	220	880	440
T3	190	450	740	180	280	580
T4	610	420	280	470	230	980
T5	410	280	560	250	940	300
T6	910	380	380	620	730	440
T7	480	300	220	670	930	970
T8	660	950	610	420	420	410
T9	200	470	830	270	800	250
T10	940	460	770	120	780	650
T11	790	780	680	590	670	920
T12	230	900	980	880	830	210
T13	880	320	640	720	750	290
T14	970	540	490	830	990	430
T15	320	960	980	160	270	390
T16	500	490	920	480	830	610
T17	880	400	730	110	590	960
T18	960	620	100	250	580	600
T19	460	110	160	950	390	960
T20	450	380	720	140	430	200
T21	580	320	210	150	130	990
T22	320	130	450	370	800	500
T23	630	910	580	700	650	900
T24	400	350	960	130	250	460
