	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	860	900	620	640	100	630	280	460	480	820
T2	830	620	100	400	150	150	150	680	160	400
T3	280	900	940	230	690	100	730	150	250	260
T4	620	580	790	560	480	550	460	730	760	160
T5	940	670	970	690	160	470	750	260	460	360
T6	970	630	270	740	870	600	600	520	380	860
T7	180	550	750	580	930	390	280	620	400	940
T8	520	510	710	470	440	520	310	380	900	780
T9	240	370	160	960	410	960	260	900	150	260
T10	470	500	130	840	130	300	380	980	450	920
T11	770	220	800	120	440	450	490	200	100	750
T12	800	880	900	380	230	580	290	150	580	280
T13	240	220	610	520	130	900	890	450	720	910
T14	560	610	620	300	270	630	140	370	230	630
T15	930	920	320	520	290	650	630	970	340	180
T16	970	950	720	760	940	810	750	270	150	320
T17	460	560	760	860	940	270	890	440	560	630
T18	210	810	340	560	130	890	850	160	160	360
T19	240	510	760	870	500	330	730	170	570	750
T20	220	460	670	990	400	820	460	400	930	900
T21	890	420	260	370	800	900	850	690	630	660
T22	100	230	150	180	490	330	190	600	480	510
T23	420	960	450	460	650	770	570	430	240	380
T24	750	550	400	630	490	140	150	180	430	970
T25	300	790	480	190	660	130	880	170	500	350
T26	790	770	970	630	280	460	210	340	310	580
T27	340	230	920	230	380	550	470	300	320	670
T28	700	560	750	350	290	660	940	300	830	250
T29	840	390	590	130	570	900	660	820	560	840
T30	830	130	190	650	410	540	660	550	700	330
T31	530	950	450	820	850	250	130	460	870	900
T32	140	870	230	940	110	640	440	850	920	800
T33	840	820	100	530	520	550	240	980	450	210
T34	980	720	990	930	120	120	270	460	120	270
T35	680	370	430	640	100	220	710	920	970	150
T36	430	740	850	790	450	460	670	650	890	570
T37	860	180	110	220	700	630	640	490	960	630
T38	620	660	780	760	430	150	390	890	820	870
T39	710	980	920	350	350	950	800	280	930	400
T40	390	940	320	820	790	860	180	910	500	820
T41	180	940	360	210	350	700	760	800	390	790
T42	210	770	280	290	730	610	910	270	470	730
T43	930	880	170	400	200	680	370	420	890	880
T44	300	630	270	880	330	720	440	320	720	160
T45	430	570	500	670	590	790	620	820	650	150
T46	890	610	390	800	630	690	420	830	550	180
T47	390	410	280	400	980	110	580	400	690	570
T48	410	200	910	980	300	540	940	550	830	840
