	A1	A2	A3	A4	A5
T1	820	210	530	330	530
T2	520	860	150	200	640
T3	840	290	360	520	460
T4	180	760	310	770	720
T5	440	140	150	130	920
T6	710	320	720	690	380
T7	590	820	450	160	870
T8	670	770	610	400	860
T9	140	790	950	980	890
T10	940	670	680	770	270
T11	700	920	630	420	590
T12	250	680	660	230	880
T13	590	810	230	100	980
T14	910	770	730	600	770
T15	830	450	110	310	230
T16	200	290	170	120	640
T17	330	300	330	450	700
T18	300	260	410	570	610
T19	320	790	350	420	660
T20	300	350	580	740	890
T21	660	490	100	270	970
T22	370	130	410	940	460
T23	370	330	330	990	990
T24	930	580	540	240	440
T25	760	230	290	200	980
T26	720	830	210	420	450
T27	570	600	100	860	480
T28	210	920	970	700	970
T29	970	820	310	430	880
T30	920	820	770	400	560
T31	880	930	740	360	630
T32	900	890	230	340	870
T33	220	390	440	310	880
T34	470	160	670	720	360
T35	900	270	790	680	580
T36	900	640	820	420	840
T37	230	320	730	740	860
T38	850	250	340	140	670
T39	240	870	170	170	320
T40	200	790	240	890	850
T41	960	460	450	330	140
T42	480	840	830	830	910
T43	390	150	140	590	100
T44	150	690	540	240	400
T45	370	990	260	700	970
T46	720	350	610	870	100
T47	980	330	430	730	920
T48	930	860	850	220	910
T49	720	800	800	190	150
T50	980	310	230	180	700
T51	740	540	120	460	960
T52	250	970	290	190	760
T53	640	670	810	590	720
T54	790	870	560	440	980
T55	590	940	460	590	630
T56	280	780	940	690	660
T57	850	430	310	880	960
T58	590	350	560	740	740
T59	500	430	230	570	520
T60	110	340	470	610	570
T61	780	790	570	330	350
T62	630	430	320	400	700
T63	810	490	400	190	820
T64	800	960	800	330	990
T65	330	540	130	240	790
T66	420	910	240	240	360
T67	910	840	380	850	140
T68	170	210	730	470	860
T69	150	320	760	920	630
T70	730	130	670	130	560
T71	300	900	360	380	100
T72	680	930	210	740	600
T73	350	590	590	640	610
T74	450	340	850	400	150
T75	450	330	270	680	730
