	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	720	570	810	740	910	500	240	690	650	520
T2	650	680	310	300	690	550	780	880	880	590
T3	310	610	900	260	720	930	980	900	350	370
T4	850	250	560	900	340	860	330	910	880	690
T5	720	580	670	840	650	960	530	810	380	320
T6	970	870	460	120	680	820	640	990	440	800
T7	930	140	610	220	180	590	240	360	960	950
T8	990	600	390	790	250	870	840	470	530	310
T9	690	660	860	870	730	700	700	810	380	970
T10	420	460	520	510	930	310	920	640	640	560
T11	840	640	750	940	150	350	600	880	700	270
T12	180	960	470	640	220	920	950	340	860	720
T13	100	490	550	410	110	780	900	390	920	180
T14	850	780	890	520	120	220	100	530	260	500
T15	240	610	880	180	780	110	540	470	830	480
T16	700	230	370	710	150	360	240	210	350	240
T17	850	620	510	140	450	220	170	200	380	860
T18	680	370	610	980	290	920	990	530	650	870
T19	760	630	890	360	370	270	860	780	530	700
T20	170	160	760	720	210	540	360	260	690	240
T21	430	340	230	810	360	780	720	240	110	420
T22	700	780	110	330	850	210	640	390	240	920
T23	560	220	260	850	350	920	460	510	860	530
T24	330	970	140	440	750	370	830	840	400	990
T25	430	890	210	330	650	520	580	950	580	380
T26	270	720	260	500	990	180	800	680	670	410
T27	750	370	750	450	280	440	280	710	240	920
T28	830	290	280	760	960	850	860	790	970	600
T29	850	600	680	850	190	130	480	880	240	480
T30	880	330	980	440	450	110	850	120	300	700
T31	220	350	370	950	750	670	920	480	380	780
T32	300	560	600	520	550	680	960	120	640	290
T33	240	840	330	760	970	310	650	150	590	100
T34	430	620	920	790	730	740	800	180	890	140
T35	700	100	240	500	350	350	660	660	570	210
T36	760	600	290	170	830	800	190	630	840	850
T37	230	200	400	420	730	570	540	780	450	110
T38	180	150	570	640	880	150	220	810	480	940
T39	530	590	860	810	500	590	470	100	910	940
T40	410	810	170	770	940	980	780	530	910	690
T41	410	960	820	500	160	900	690	430	830	630
T42	730	840	260	950	840	490	880	700	550	910
T43	570	380	840	820	230	240	160	270	350	550
T44	970	260	410	660	320	460	490	840	350	950
T45	760	590	350	760	460	350	940	650	830	760
T46	110	360	180	550	510	690	640	520	280	180
T47	170	900	800	970	330	290	660	870	600	540
T48	650	190	900	630	230	810	220	650	220	270
T49	970	460	650	830	460	570	510	760	240	100
T50	440	540	470	940	140	480	220	500	460	410
T51	130	540	380	290	320	280	360	800	470	760
T52	190	150	450	810	390	410	780	330	480	160
T53	390	510	630	760	820	440	500	430	500	380
T54	870	330	510	790	330	960	340	980	900	850
T55	880	480	990	440	670	190	650	480	390	240
T56	970	400	290	500	930	280	390	570	850	170
T57	460	650	140	690	710	780	850	480	840	180
T58	270	290	900	990	780	630	440	360	180	950
T59	400	710	310	680	820	890	800	970	940	600
T60	560	920	450	630	390	840	140	500	680	840
T61	680	340	620	240	990	560	430	200	310	730
T62	600	380	210	710	980	730	420	670	830	920
T63	150	750	590	210	330	670	350	670	460	840
T64	980	180	220	140	840	510	850	150	760	610
T65	670	610	610	210	540	100	870	370	300	360
T66	750	880	550	710	800	830	770	210	990	760
T67	280	300	130	160	460	240	870	100	650	520
T68	250	900	320	820	750	960	260	950	100	280
T69	360	540	370	100	960	580	680	810	380	610
T70	510	850	260	870	400	260	510	490	540	970
T71	710	440	680	430	110	390	570	810	610	310
T72	650	520	560	980	980	620	100	340	920	570
T73	940	950	360	880	690	210	670	310	720	310
T74	130	630	580	760	510	440	790	190	320	430
T75	530	430	500	770	500	370	400	760	650	560
T76	590	780	540	110	670	680	550	780	530	620
T77	240	510	220	890	190	510	340	350	750	140
T78	540	940	790	770	490	830	580	620	480	880
T79	610	430	100	160	650	500	760	320	480	930
T80	510	930	600	960	270	600	140	260	120	290
T81	770	170	820	600	680	780	710	630	800	960
T82	620	550	670	790	800	320	790	870	560	730
T83	850	300	700	340	180	800	760	490	900	730
T84	950	810	610	860	930	370	840	240	690	740
T85	490	740	490	980	590	550	810	780	490	140
T86	480	350	960	820	120	430	770	370	440	620
T87	590	690	770	930	710	220	930	400	250	980
T88	730	800	870	500	170	320	560	290	370	180
T89	340	880	290	550	470	140	910	650	720	350
T90	970	330	530	120	260	810	400	120	490	110
T91	130	730	130	530	300	490	430	180	930	980
T92	380	790	890	400	420	820	870	330	250	240
T93	210	950	250	940	230	430	170	270	300	970
T94	820	380	340	670	430	670	600	740	760	230
T95	360	160	950	290	610	970	420	480	570	670
T96	580	900	580	490	500	730	230	270	860	700
