	A1	A2	A3	A4	A5	A6	A7
T1	980	410	800	640	960	760	640
T2	950	430	240	690	290	470	270
T3	180	620	950	870	950	690	840
T4	530	920	240	130	940	170	410
T5	840	280	720	130	160	110	580
T6	930	130	970	600	680	760	290
T7	360	710	880	820	300	200	310
T8	920	350	220	730	560	510	310
T9	620	270	980	980	400	510	660
T10	600	680	100	410	850	680	890
T11	420	850	250	690	360	300	580
T12	600	310	330	630	370	710	400
T13	680	790	450	590	400	390	600
T14	600	540	530	230	350	400	370
T15	380	740	670	540	200	920	650
T16	900	500	850	280	560	630	750
T17	820	250	470	250	140	880	970
T18	210	220	800	910	880	920	730
T19	330	880	490	640	410	660	250
T20	350	330	460	660	670	920	530
T21	900	610	460	200	400	680	690
T22	700	210	700	240	250	710	780
T23	910	920	900	120	730	950	330
T24	770	600	800	700	980	480	150
T25	460	410	720	390	460	800	440
T26	600	270	360	230	750	790	600
T27	660	680	620	510	370	230	600
T28	100	860	280	620	990	210	420
T29	680	100	120	820	780	660	870
T30	190	320	430	330	680	640	780
T31	980	560	370	400	490	330	320
T32	820	360	100	280	830	290	960
T33	350	780	160	510	200	350	750
T34	630	360	580	390	460	670	630
T35	390	830	530	940	780	190	270
T36	200	860	890	550	740	130	490
T37	270	460	210	290	370	740	840
T38	960	740	450	400	710	350	230
T39	230	420	230	930	530	100	450
T40	340	690	110	600	950	550	990
T41	880	110	910	990	440	300	530
T42	780	930	910	460	680	520	820
T43	940	730	710	480	850	770	550
T44	700	800	930	880	410	400	450
T45	530	450	910	670	680	530	880
T46	330	370	730	730	430	540	430
T47	190	790	490	550	990	380	140
T48	710	590	180	660	340	310	560
T49	460	960	590	580	640	320	320
T50	710	780	910	590	760	720	620
T51	350	220	850	410	960	890	820
T52	990	870	750	150	270	880	500
T53	530	680	620	200	510	640	280
T54	620	770	600	420	370	460	710
T55	290	310	790	980	630	750	620
T56	560	570	340	190	950	500	650
T57	520	800	700	920	800	330	290
T58	470	950	900	630	600	360	410
T59	690	810	470	200	650	820	940
T60	800	300	200	290	130	960	240
T61	710	330	620	580	550	270	240
T62	980	520	240	620	510	250	780
T63	460	560	850	180	930	950	500
T64	420	740	550	120	600	150	700
T65	590	350	280	970	500	620	740
T66	330	800	530	530	640	340	720
T67	280	530	780	280	350	470	890
T68	950	120	540	630	910	420	250
T69	920	390	370	150	310	280	950
T70	440	810	300	160	840	370	530
T71	620	190	230	400	960	260	540
T72	470	660	760	850	890	910	700
T73	730	110	690	930	230	820	230
T74	230	230	690	120	640	970	700
T75	790	360	300	830	630	220	600
T76	410	150	960	780	760	830	410
T77	150	510	380	500	120	240	320
T78	910	140	730	170	790	260	880
T79	820	480	900	440	950	790	470
T80	430	580	960	100	910	930	720
T81	810	350	780	180	220	510	680
T82	180	390	520	200	500	940	890
T83	390	570	750	770	280	490	600
T84	970	680	980	860	340	680	450
T85	170	990	640	500	280	560	560
T86	500	410	400	480	160	790	760
T87	130	120	880	790	230	120	380
T88	620	950	270	610	410	760	910
T89	940	980	420	850	200	490	640
T90	450	180	700	450	900	470	680
T91	660	270	300	410	280	660	630
T92	440	250	670	170	620	940	780
T93	420	310	930	700	820	150	310
T94	160	610	990	560	950	800	910
T95	260	830	110	650	350	160	400
T96	530	920	790	980	260	120	950
T97	780	220	760	620	920	190	730
T98	570	160	290	710	720	540	540
T99	360	920	710	110	140	240	350
T100	240	990	800	670	530	500	890
T101	150	450	650	380	380	790	280
T102	660	580	920	250	130	410	950
T103	350	410	910	390	500	940	540
T104	700	910	400	500	770	950	550
T105	850	920	100	210	170	380	340
T106	230	660	290	380	560	470	180
T107	110	990	170	770	640	760	390
T108	920	620	560	520	830	570	710
T109	920	780	580	440	900	680	270
T110	880	310	700	580	830	710	330
T111	780	150	360	150	450	240	560
T112	320	100	810	200	560	500	240
T113	240	740	160	810	100	800	560
T114	500	640	620	930	980	860	800
T115	180	380	720	250	350	680	580
T116	710	480	190	740	290	750	170
T117	960	930	880	910	860	830	660
T118	590	940	320	250	150	370	910
T119	910	850	480	800	670	280	790
T120	800	350	360	750	840	800	770
T121	580	170	950	500	390	730	600
T122	780	360	470	110	510	390	790
T123	530	200	170	150	160	120	990
T124	190	580	210	220	910	310	620
T125	530	590	350	500	290	310	670
T126	210	530	740	230	150	990	480
T127	360	140	530	520	440	610	990
T128	880	210	250	270	660	410	520
T129	240	370	860	910	870	320	600
T130	170	220	760	580	300	850	470
T131	380	820	590	690	530	290	630
T132	140	330	860	660	400	780	540
T133	690	840	600	890	870	880	250
T134	440	260	140	830	750	880	490
T135	790	260	520	670	690	600	900
T136	690	300	360	770	660	100	620
T137	460	290	670	880	690	700	720
T138	720	670	460	660	570	920	380
T139	810	870	690	620	640	780	130
T140	820	870	710	460	680	160	390
T141	120	360	910	460	520	740	240
T142	370	940	160	170	930	650	750
T143	890	630	140	460	750	980	580
T144	510	480	780	950	380	540	250
T145	830	130	860	500	480	640	860
T146	970	970	200	490	400	730	380
T147	360	980	590	100	350	850	940
T148	900	930	230	530	780	580	410
T149	680	710	790	500	460	640	170
T150	120	500	370	330	550	830	470
T151	190	780	830	990	640	980	940
T152	110	550	260	480	200	210	870
T153	450	780	370	370	780	290	800
T154	990	570	720	180	740	610	380
T155	890	640	820	550	440	150	770
T156	720	340	890	370	710	400	210
T157	440	380	520	720	880	270	860
T158	820	430	150	780	890	220	350
T159	840	530	630	400	170	660	270
T160	800	700	970	420	560	110	710
T161	870	420	850	650	790	790	270
T162	690	910	960	770	200	480	360
T163	560	360	400	900	710	140	900
T164	490	690	800	520	790	650	560
T165	170	740	380	890	580	840	450
T166	730	240	920	660	110	860	480
T167	260	700	570	830	240	470	460
T168	390	240	230	720	170	760	870
T169	320	230	390	580	760	940	250
T170	540	900	270	870	880	440	490
T171	360	760	380	420	550	940	790
T172	990	240	400	860	790	620	650
T173	250	860	750	700	790	550	170
T174	730	500	350	670	520	890	990
T175	730	590	660	720	280	730	990
T176	450	160	710	320	340	310	460
T177	510	330	200	460	470	830	650
T178	660	130	270	820	950	370	660
T179	190	590	220	570	290	750	750
T180	840	900	300	630	190	120	350
T181	470	440	480	910	310	670	980
T182	710	860	710	480	230	410	810
T183	980	720	980	290	860	630	670
T184	710	800	240	900	200	890	760
T185	220	200	540	230	250	340	160
T186	980	730	720	520	920	750	220
T187	830	150	300	930	960	740	410
T188	530	870	950	230	470	190	460
T189	790	910	590	270	440	990	120
T190	690	640	600	480	290	690	370
T191	630	350	910	310	960	320	620
T192	550	650	720	910	840	610	920
T193	490	730	620	460	130	410	430
T194	820	870	970	820	640	780	270
T195	350	740	870	400	580	930	160
T196	690	810	710	320	620	250	570
T197	530	140	940	770	220	120	550
T198	310	850	190	800	430	750	250
T199	670	630	700	110	230	160	880
T200	660	940	620	840	730	290	900
T201	100	280	570	690	360	820	850
T202	300	320	380	870	440	510	340
T203	120	820	910	760	870	160	140
T204	550	570	860	160	170	320	470
T205	530	200	690	490	450	730	160
T206	270	360	350	290	940	750	520
T207	950	600	390	830	990	590	610
T208	100	520	670	530	480	720	130
T209	660	250	410	250	530	830	720
T210	590	940	250	480	570	860	930
T211	310	540	250	850	510	540	120
T212	510	940	750	750	200	330	880
T213	120	690	690	220	530	820	390
T214	160	660	330	110	590	420	500
T215	590	590	120	820	710	640	470
T216	180	920	590	790	340	180	390
T217	950	360	790	390	590	730	390
T218	680	330	430	850	200	800	880
T219	550	210	540	840	100	130	900
T220	930	970	120	810	200	540	990
T221	450	410	480	380	620	310	250
T222	220	880	600	610	360	980	190
T223	390	890	160	650	250	260	190
T224	180	210	520	480	210	270	280
T225	210	760	730	690	560	220	130
T226	950	230	220	720	180	390	460
T227	940	230	800	280	630	160	120
T228	400	670	900	620	730	750	450
T229	350	750	820	850	360	270	510
T230	220	490	580	450	780	400	930
T231	650	880	590	790	220	610	920
T232	430	850	490	800	880	810	610
T233	660	890	520	820	930	550	280
T234	500	570	350	490	370	790	180
T235	520	970	370	910	670	610	790
T236	720	220	610	210	570	500	490
T237	730	540	790	600	980	130	980
T238	370	190	680	240	870	380	940
T239	110	900	200	140	820	840	350
T240	130	960	220	110	180	800	860
T241	150	180	970	740	760	930	790
T242	550	790	750	600	320	180	220
T243	930	850	660	560	910	900	340
T244	100	410	790	610	830	410	860
T245	730	860	910	530	220	450	520
T246	620	400	830	570	350	340	420
T247	430	360	900	730	820	130	730
T248	500	860	460	980	710	310	840
T249	400	690	550	590	720	750	410
T250	220	120	290	220	920	450	520
T251	380	820	690	570	830	340	900
T252	620	450	590	570	770	610	640
T253	510	580	960	720	840	830	380
T254	450	140	160	140	690	590	900
