	A1	A2	A3	A4	A5	A6
T1	200	750	380	340	840	460
T2	410	470	450	570	310	960
T3	830	770	860	530	940	810
T4	640	300	180	960	660	210
T5	300	220	860	840	110	950
T6	680	460	850	480	600	270
T7	410	690	650	100	590	640
T8	100	270	360	140	220	170
T9	930	300	320	520	390	380
T10	190	540	420	140	630	960
T11	520	150	610	130	230	540
T12	560	430	320	910	100	360
T13	840	880	830	160	840	960
T14	380	580	810	820	600	780
T15	690	190	550	660	240	850
T16	580	520	460	600	850	690
T17	570	620	420	880	420	220
T18	680	500	640	570	990	330
T19	440	870	750	790	140	380
T20	650	120	390	730	730	800
T21	680	390	160	930	460	440
T22	580	870	230	370	770	710
T23	130	630	380	770	410	680
T24	330	950	100	190	340	380
T25	380	380	570	940	330	600
T26	370	310	690	900	560	290
T27	280	490	550	170	480	830
T28	650	820	480	840	430	790
T29	840	470	470	120	100	290
T30	160	330	900	330	250	190
T31	300	110	730	660	260	170
T32	700	590	470	280	720	900
T33	280	210	800	460	210	300
T34	370	350	910	190	490	680
T35	170	550	660	270	620	590
T36	900	850	570	550	980	340
T37	320	950	610	950	370	960
T38	450	180	990	820	150	700
T39	530	110	880	390	120	280
T40	280	510	680	370	580	970
T41	540	490	660	270	170	670
T42	360	670	790	130	480	140
T43	360	610	800	370	970	150
T44	590	880	920	970	360	490
T45	470	370	340	230	860	180
T46	390	290	820	180	120	860
T47	590	670	310	940	430	210
T48	700	860	120	670	750	340
T49	340	470	270	950	490	610
T50	240	450	310	340	220	920
T51	850	920	740	780	710	900
T52	260	930	570	280	290	140
T53	220	420	650	100	860	410
T54	640	460	190	520	320	390
T55	480	740	510	980	440	220
T56	770	930	220	510	400	900
T57	590	470	760	880	280	500
T58	950	620	630	260	930	850
T59	520	920	670	100	410	880
T60	940	610	200	130	460	490
T61	510	650	330	430	660	890
T62	650	200	280	700	350	880
T63	600	250	510	930	360	550
T64	550	370	430	160	950	170
T65	340	260	950	680	190	860
T66	210	200	710	730	990	240
T67	890	650	680	460	400	700
T68	860	100	760	760	740	880
T69	360	960	840	700	590	350
T70	420	760	380	210	370	510
T71	670	980	440	170	530	220
T72	510	480	130	230	780	950
T73	980	410	900	470	210	650
T74	610	700	890	770	540	850
T75	740	860	180	150	490	310
T76	110	130	140	380	530	310
T77	230	490	350	360	650	810
T78	280	250	240	950	200	630
T79	600	980	740	920	280	190
T80	590	650	990	500	140	390
T81	340	270	500	650	490	790
T82	270	760	240	510	820	400
T83	400	750	770	310	810	480
T84	660	190	790	990	370	550
T85	460	110	370	950	200	140
T86	660	730	550	230	120	620
T87	610	350	430	200	610	940
T88	460	430	750	680	680	400
T89	370	870	160	620	330	420
T90	470	220	660	410	180	310
T91	550	890	900	120	600	730
T92	990	160	180	640	890	630
T93	250	740	280	210	470	630
T94	880	120	590	990	220	460
T95	950	800	900	960	120	540
T96	900	360	490	550	230	280
