	A1	A2	A3	A4
T1	580	480	260	770
T2	610	140	340	300
T3	420	700	700	120
T4	880	350	200	210
T5	110	120	470	120
T6	970	190	490	220
T7	730	560	540	210
T8	120	310	690	680
T9	380	250	490	290
T10	310	410	410	780
T11	880	910	270	940
T12	700	500	380	300
T13	690	350	960	570
T14	850	210	520	520
T15	170	510	170	160
T16	160	630	470	740
T17	620	780	550	680
T18	970	180	630	730
T19	770	130	560	930
T20	590	220	260	150
T21	690	340	950	900
T22	430	600	740	320
T23	720	700	310	560
T24	320	780	860	980
T25	460	170	260	860
T26	290	780	260	590
T27	600	200	680	690
T28	490	870	890	440
T29	490	280	720	800
T30	640	890	350	970
T31	630	260	420	560
T32	180	840	970	910
