	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	900	440	190	270	900	300	760	760	810	540
T2	120	390	500	710	110	980	520	220	840	150
T3	530	990	170	840	120	670	180	940	570	420
T4	880	430	490	570	790	970	670	150	160	490
T5	240	190	390	860	780	280	170	350	580	500
T6	350	710	280	630	180	790	990	210	990	660
T7	200	470	350	380	540	400	320	820	870	800
T8	740	590	710	430	850	350	320	800	520	720
T9	570	320	690	130	610	870	310	270	820	600
T10	640	380	490	530	190	740	760	490	180	500
T11	960	570	620	890	250	710	110	880	760	500
T12	400	790	720	970	610	400	490	840	660	120
T13	490	660	910	170	420	920	980	570	670	170
T14	280	510	400	400	990	160	820	790	960	200
T15	500	120	880	230	120	480	790	780	870	370
T16	710	200	240	600	380	590	910	290	970	350
T17	890	680	870	820	790	830	200	340	480	280
T18	420	620	240	800	860	500	620	680	790	520
T19	140	360	270	770	890	270	680	680	770	920
T20	710	230	720	240	560	820	270	340	520	950
T21	500	410	520	930	500	630	110	610	430	970
T22	560	690	420	960	590	670	960	690	540	540
T23	760	330	520	420	890	700	640	280	940	570
T24	880	410	510	790	390	710	920	500	470	230
T25	850	230	440	370	510	790	170	640	790	670
T26	850	320	730	160	650	640	710	410	240	340
T27	320	390	270	580	340	280	950	270	880	190
T28	140	470	110	130	200	820	770	540	350	370
T29	470	160	340	530	500	500	870	950	670	560
T30	390	400	480	360	520	250	100	620	740	550
T31	870	670	310	500	510	150	920	860	340	860
T32	200	710	650	950	580	410	160	580	630	670
T33	230	810	380	380	560	760	900	710	650	150
T34	750	650	760	450	230	870	910	320	540	860
T35	660	410	270	720	730	530	810	950	320	740
T36	790	210	540	740	120	100	590	250	380	470
T37	610	490	970	950	700	760	730	290	980	780
T38	920	560	450	480	630	740	830	770	400	280
T39	370	630	660	270	310	210	120	920	350	720
T40	290	890	360	560	150	480	600	960	160	380
T41	510	370	590	230	940	280	380	620	930	990
T42	580	150	710	490	400	350	790	550	740	360
T43	800	720	270	150	390	790	180	650	820	460
T44	410	750	150	530	810	590	690	390	640	380
T45	310	540	260	150	280	790	970	830	130	480
T46	360	580	890	980	460	910	680	850	480	670
T47	980	120	230	450	130	730	800	210	790	750
T48	230	390	210	660	490	680	560	460	690	510
T49	190	420	400	360	420	790	290	290	320	600
T50	280	590	850	670	300	190	790	220	850	820
T51	190	500	180	100	170	530	890	390	670	580
T52	160	630	990	600	670	720	540	290	430	420
T53	750	300	780	860	860	590	390	760	200	620
T54	430	410	690	780	500	210	210	760	810	230
T55	450	470	130	900	740	420	140	400	300	610
T56	230	420	970	850	740	780	120	700	540	830
T57	300	330	560	210	500	180	950	190	560	530
T58	330	690	840	560	510	950	770	970	150	250
T59	240	530	650	990	110	240	390	920	620	300
T60	930	720	330	640	440	720	140	340	300	360
T61	980	670	370	880	480	340	570	440	880	370
T62	990	230	840	480	930	670	160	770	970	930
T63	850	200	790	660	480	780	550	560	320	990
T64	450	610	610	620	140	420	970	130	840	990
T65	550	230	280	570	760	310	250	810	800	180
T66	890	800	650	670	700	180	710	890	430	310
T67	590	330	610	300	550	560	580	160	370	480
T68	440	250	380	260	360	470	440	120	590	690
T69	190	570	780	330	980	980	350	260	640	980
T70	190	580	180	250	460	440	690	110	500	470
T71	820	560	490	260	620	610	620	590	920	870
T72	650	460	120	860	260	290	650	570	930	170
T73	950	500	580	270	800	530	500	740	150	220
T74	570	900	200	460	730	620	980	810	610	240
T75	240	730	310	600	100	130	630	170	650	540
T76	400	500	870	260	360	100	290	960	170	830
T77	540	710	440	960	770	390	890	540	490	150
T78	660	580	240	560	360	560	520	460	790	610
T79	350	360	570	370	980	870	890	950	910	490
T80	730	940	870	900	330	310	170	380	290	510
T81	750	290	890	580	850	780	180	210	870	980
T82	480	580	520	180	380	970	880	160	900	480
T83	420	510	100	600	550	790	850	190	260	300
T84	790	440	830	630	440	200	390	750	120	680
T85	150	100	180	400	210	470	880	260	790	430
T86	540	890	800	130	740	560	280	850	400	800
T87	680	980	450	960	710	740	580	300	960	480
T88	740	480	390	300	620	910	910	790	680	140
T89	630	100	510	450	320	660	350	640	250	360
T90	180	980	860	510	340	480	490	780	510	510
T91	380	870	800	330	900	150	670	740	320	400
T92	200	820	670	640	300	560	710	650	790	910
T93	230	580	150	280	550	300	110	220	510	790
T94	160	490	790	230	360	350	630	480	420	780
T95	330	150	770	930	110	950	770	990	370	900
T96	970	450	450	330	760	600	590	410	730	580
T97	450	120	930	710	220	900	110	100	240	970
T98	300	710	740	210	310	420	970	260	260	340
T99	810	580	320	860	290	650	130	760	770	950
T100	130	430	460	320	660	370	410	550	620	280
T101	400	630	240	320	900	650	480	310	520	640
