	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	450	880	390	760	560	140	430	590	750	430	360	120	140	950
T2	510	730	500	780	620	880	270	370	850	570	230	730	660	850
T3	150	820	120	600	670	290	620	700	120	240	180	770	250	780
T4	910	440	280	720	710	180	910	150	510	920	600	840	740	890
T5	750	370	760	950	570	880	630	220	460	280	220	450	270	810
T6	120	820	680	260	720	360	330	310	990	510	650	620	490	670
T7	320	630	550	910	590	440	200	290	270	180	710	370	780	360
T8	550	730	160	530	640	200	100	560	610	310	690	490	850	250
T9	550	150	840	340	270	970	170	420	800	480	970	610	620	920
T10	360	100	600	160	740	720	540	220	620	610	510	400	910	120
T11	260	670	660	640	680	730	320	230	730	580	630	140	640	450
T12	570	910	520	540	530	130	320	400	180	590	210	350	650	160
T13	610	960	910	890	660	790	640	290	460	410	940	500	380	570
T14	720	780	910	250	680	710	760	220	170	690	710	920	110	290
T15	320	520	470	110	140	350	800	540	510	520	890	390	330	430
T16	440	990	200	890	940	380	590	310	320	670	340	520	900	720
T17	440	790	560	780	420	320	260	840	230	910	660	740	230	870
T18	840	550	440	980	540	580	750	930	860	160	130	560	450	100
T19	120	550	610	700	340	580	380	830	960	650	480	600	720	690
T20	320	260	350	480	650	120	230	820	770	490	840	560	430	860
T21	300	300	290	750	460	660	370	590	750	760	640	220	810	280
T22	290	880	520	230	760	800	620	910	880	140	640	630	170	740
T23	550	220	240	140	670	660	190	160	280	310	330	570	470	330
T24	340	590	590	460	380	380	360	810	100	620	480	180	150	390
T25	600	400	590	300	850	770	580	960	530	680	100	190	750	720
T26	360	160	150	470	780	360	690	530	770	990	180	650	340	660
T27	760	630	630	480	910	990	100	390	770	870	940	470	390	890
T28	420	290	220	520	720	480	990	280	580	990	740	930	850	160
T29	330	300	650	820	350	700	360	120	510	920	620	660	150	400
T30	350	950	350	740	860	160	210	400	400	210	850	430	580	520
T31	500	630	370	820	110	110	600	640	310	410	760	650	710	670
T32	160	400	240	970	120	930	270	640	660	200	410	890	560	660
T33	510	660	510	930	950	110	880	420	520	290	370	270	110	390
T34	460	630	610	860	700	940	920	950	380	760	920	930	230	690
T35	150	490	640	330	560	710	270	780	790	170	100	610	170	370
T36	790	560	570	470	700	740	290	680	460	460	680	660	800	290
T37	410	200	460	800	190	630	770	470	230	220	600	740	280	680
T38	770	880	940	770	190	780	660	820	660	270	180	270	520	960
T39	810	430	560	740	700	680	920	640	290	730	150	830	190	630
T40	340	810	230	270	780	840	950	130	370	990	710	500	110	380
T41	560	630	910	300	210	190	250	810	640	940	990	320	620	910
T42	200	610	610	240	750	320	780	570	530	410	630	340	420	290
T43	770	940	360	880	170	450	900	490	910	200	510	710	990	240
T44	280	850	530	330	220	250	220	120	150	950	600	990	920	950
T45	850	350	240	980	940	470	720	290	250	680	480	390	570	320
T46	750	330	170	660	110	570	270	640	610	330	750	330	890	600
T47	870	310	770	160	660	880	600	200	690	570	190	630	980	950
T48	160	480	640	280	120	910	220	440	600	280	150	980	880	740
T49	620	470	480	700	600	890	490	290	500	940	940	450	450	710
T50	300	230	730	430	160	960	130	700	460	670	230	120	520	640
T51	900	590	600	560	890	110	610	390	410	720	660	790	930	250
T52	420	200	440	890	240	780	510	310	660	260	590	490	640	120
T53	440	550	960	440	420	640	290	890	530	110	280	920	530	450
T54	800	530	150	270	590	650	860	420	200	870	760	130	810	910
T55	910	950	300	850	530	940	350	950	370	950	450	720	120	680
T56	300	580	260	920	420	140	560	630	950	440	190	720	290	270
T57	420	520	620	980	560	350	790	270	670	790	390	920	100	280
T58	730	660	960	940	920	600	670	120	560	990	550	200	610	750
T59	540	870	950	670	650	160	910	410	760	330	670	990	800	250
T60	730	410	170	570	660	930	950	820	860	100	660	380	410	300
T61	990	910	930	700	510	880	190	440	270	630	830	360	350	330
T62	810	120	610	580	550	450	390	100	230	290	410	680	620	100
T63	480	850	610	120	350	350	960	750	980	670	150	910	430	570
T64	380	600	340	690	470	170	860	150	660	200	810	440	430	770
T65	950	180	120	890	510	350	480	780	530	580	800	360	360	140
T66	550	820	220	100	270	820	510	490	490	490	780	640	250	880
T67	320	650	880	560	490	700	910	200	840	560	540	570	980	320
T68	740	310	140	990	630	690	240	180	920	610	900	610	630	770
T69	800	750	720	600	910	710	480	880	920	740	690	750	260	530
T70	980	300	800	930	880	950	970	670	980	370	500	660	240	930
T71	960	530	520	790	830	370	530	770	130	720	280	520	690	970
T72	330	930	570	180	920	200	510	860	550	840	700	860	390	910
T73	430	370	710	510	640	400	240	360	710	550	970	940	700	740
T74	300	890	110	450	470	950	710	570	410	160	200	380	710	750
T75	440	290	600	360	170	710	300	490	260	660	510	930	340	530
T76	210	450	740	720	950	540	210	590	780	130	470	600	530	330
T77	150	980	380	820	570	240	150	540	970	660	630	510	210	340
T78	110	580	160	330	310	720	260	190	230	320	630	860	490	110
T79	540	470	180	190	220	520	690	440	700	410	230	180	250	180
T80	710	830	540	840	360	310	400	590	480	650	840	290	710	420
T81	580	220	110	670	390	880	900	910	720	550	190	300	460	590
T82	210	630	170	270	990	610	910	530	160	210	440	900	830	220
T83	860	750	620	610	790	570	220	460	710	260	780	490	240	570
T84	370	370	440	120	360	690	640	460	820	980	880	150	120	850
T85	780	830	410	970	170	400	530	630	160	740	210	280	100	420
T86	140	760	210	250	460	520	860	190	800	420	770	470	230	840
T87	110	460	950	830	820	300	640	550	730	600	900	700	540	850
T88	500	260	890	330	380	760	710	760	280	120	160	350	670	940
T89	650	800	960	770	520	240	940	610	920	860	320	800	250	820
T90	730	790	620	490	360	950	460	100	850	850	640	790	540	910
T91	480	930	460	480	700	520	400	360	830	470	810	960	190	870
T92	430	520	500	880	300	440	160	430	330	610	830	210	220	400
T93	480	170	690	640	880	580	580	230	840	850	900	500	310	710
T94	420	700	530	180	140	260	660	170	960	560	130	750	360	140
T95	780	800	420	940	840	190	530	880	670	910	170	130	640	380
T96	920	790	370	510	650	980	560	600	500	870	290	130	160	640
T97	420	650	220	410	840	960	260	440	730	240	280	390	350	920
T98	600	960	470	470	900	570	440	370	690	360	100	410	300	500
T99	180	920	980	310	960	570	390	610	150	770	110	300	640	820
T100	710	770	410	460	300	700	630	300	330	390	910	630	820	200
T101	910	130	160	920	340	660	140	100	430	880	950	310	280	950
T102	930	320	640	390	940	470	400	810	140	920	980	430	300	680
T103	370	390	280	920	470	850	460	720	770	340	920	640	270	320
T104	840	310	770	120	130	200	580	810	620	630	510	690	280	660
T105	880	850	930	650	860	850	940	440	480	920	260	530	890	320
T106	490	570	380	250	590	870	610	830	180	220	990	230	500	730
T107	720	640	820	560	410	520	660	530	530	780	900	880	400	790
T108	900	620	530	960	310	320	900	170	260	930	320	550	400	100
T109	800	420	270	260	880	850	900	430	110	720	410	440	760	740
T110	810	640	570	520	570	220	700	860	390	850	670	220	470	430
T111	850	760	320	160	630	220	550	480	790	980	100	650	220	360
T112	790	720	920	630	600	690	670	800	700	610	160	550	210	720
T113	310	520	700	590	110	630	720	510	710	130	160	140	860	260
T114	180	910	270	960	170	950	300	860	830	720	110	750	460	190
T115	800	490	900	540	540	950	260	570	180	150	300	280	500	340
T116	570	510	970	730	950	920	880	830	430	240	240	660	710	560
T117	300	200	830	560	800	920	780	330	730	210	950	420	880	970
T118	810	920	280	810	790	820	880	690	300	980	240	830	280	700
T119	600	280	750	330	640	140	820	490	680	940	230	470	670	570
T120	110	720	170	680	770	670	420	780	180	330	490	900	890	740
