	A1	A2	A3	A4	A5	A6
T1	590	830	450	470	550	800
T2	570	830	690	600	720	900
T3	490	450	860	860	700	300
T4	170	220	920	690	920	390
T5	680	180	890	920	840	160
T6	310	360	690	570	430	840
T7	730	790	210	400	100	150
T8	180	590	140	240	370	370
T9	210	320	590	830	730	490
T10	910	460	360	370	810	750
T11	370	120	460	770	370	150
T12	900	970	280	400	710	780
T13	990	370	130	980	830	700
T14	260	980	140	230	920	990
T15	430	880	440	250	170	790
T16	600	540	750	940	830	960
T17	460	960	950	750	890	850
T18	900	160	360	510	940	700
T19	200	520	210	130	600	170
T20	200	320	430	500	910	520
T21	620	640	420	190	410	110
T22	630	910	790	860	500	290
T23	430	130	700	980	890	830
T24	150	360	910	930	840	550
T25	960	730	960	730	730	430
T26	880	260	470	180	500	840
T27	460	900	400	920	670	870
T28	640	860	360	710	530	820
T29	500	440	460	740	630	670
T30	310	340	750	870	710	630
T31	140	790	540	190	220	390
T32	430	540	750	410	120	970
T33	560	480	100	710	610	560
T34	590	430	580	450	670	980
T35	360	840	640	690	880	890
T36	960	710	890	890	810	240
T37	450	420	710	350	400	780
T38	680	400	170	650	170	980
T39	460	540	630	900	880	950
T40	190	990	240	780	540	630
T41	510	190	630	140	910	340
T42	980	370	180	450	530	980
T43	750	910	980	390	340	220
T44	220	780	960	190	380	950
T45	990	690	170	620	960	760
T46	340	660	350	340	370	150
T47	640	220	870	880	130	400
T48	220	940	860	430	200	430
T49	660	810	720	640	500	410
T50	790	760	600	520	650	520
T51	850	260	500	200	320	580
T52	760	260	350	840	610	310
T53	880	180	440	780	650	510
T54	900	780	770	390	100	390
T55	760	200	290	700	790	150
T56	400	240	420	790	380	990
T57	620	120	240	830	610	250
T58	740	890	350	300	610	860
T59	490	830	280	680	980	120
T60	620	200	890	530	120	330
T61	220	730	390	300	230	400
T62	540	720	250	200	430	920
T63	180	940	950	620	390	580
T64	800	360	430	150	590	820
