	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	790	400	370	560	960	930	940	970	810	420
T2	220	920	360	970	350	480	340	380	550	940
T3	130	340	530	470	960	280	730	840	480	920
T4	690	470	490	700	600	530	980	390	280	180
T5	550	940	480	930	610	260	480	970	930	580
T6	590	880	470	140	690	720	700	630	970	130
T7	640	740	290	520	310	130	550	790	320	300
T8	560	430	840	680	510	120	530	270	610	280
T9	950	880	920	610	100	240	730	500	210	480
T10	870	400	560	640	870	960	300	470	600	580
T11	790	990	500	430	220	500	180	770	200	150
T12	950	400	740	870	620	160	680	680	650	820
T13	920	210	170	630	410	280	800	170	680	270
T14	260	190	250	840	690	150	250	460	690	950
T15	800	920	480	230	380	570	950	820	510	260
T16	920	560	550	590	690	840	790	630	780	450
T17	430	880	290	940	220	670	320	270	290	710
T18	270	610	100	460	530	320	390	730	310	330
T19	790	630	760	340	240	380	880	510	120	750
T20	580	900	230	640	180	980	490	690	410	450
T21	190	210	210	130	400	600	150	690	340	310
T22	530	330	820	100	760	730	310	550	670	230
T23	590	800	550	180	380	910	910	760	820	620
T24	840	320	470	130	790	120	570	570	660	840
T25	580	110	290	880	260	830	860	550	280	700
T26	190	280	220	610	410	790	450	280	170	330
T27	140	390	480	860	520	750	530	450	580	320
T28	710	740	570	940	650	300	750	690	440	180
T29	190	520	740	790	350	670	190	530	420	290
T30	950	760	230	650	330	940	870	580	760	290
T31	480	850	340	200	270	640	530	240	380	230
T32	200	340	330	300	710	190	510	200	350	680
T33	770	390	650	400	300	930	330	140	250	290
T34	720	200	260	590	790	550	600	840	380	840
T35	580	570	260	780	500	970	980	210	650	610
T36	100	670	220	860	910	500	340	970	400	360
T37	500	400	580	430	450	310	660	260	260	120
T38	700	840	350	980	400	480	870	710	550	760
T39	160	650	380	480	290	320	580	530	560	700
T40	770	230	780	840	170	740	330	190	880	830
T41	240	180	220	610	370	560	810	870	580	320
T42	210	160	110	870	280	710	260	460	880	440
T43	330	760	600	110	780	400	610	100	230	230
T44	260	140	620	780	240	630	560	410	330	240
T45	340	260	430	270	940	750	330	760	590	200
T46	540	280	300	590	800	420	990	900	660	580
T47	940	610	930	230	340	920	200	150	800	830
T48	330	170	950	460	170	560	840	700	720	700
T49	450	260	470	880	390	660	690	180	300	760
T50	700	100	220	350	520	700	750	430	150	590
T51	110	730	270	440	300	490	170	710	360	120
T52	220	790	250	460	630	580	340	700	650	510
T53	780	280	240	330	200	160	100	980	710	380
T54	970	810	860	600	240	970	150	450	710	660
T55	340	100	510	330	480	340	350	420	340	220
T56	180	290	570	750	680	940	740	420	970	470
T57	380	930	720	400	340	750	360	920	700	790
T58	670	480	820	930	270	640	250	420	250	910
T59	690	780	600	540	750	450	340	290	480	280
T60	900	780	960	740	590	310	230	920	510	160
T61	730	690	200	700	290	720	850	680	760	200
T62	500	410	380	540	280	970	660	990	390	560
