	A1	A2	A3	A4	A5	A6	A7
T1	820	710	460	950	760	180	830
T2	660	730	430	420	560	530	360
T3	680	910	580	880	760	480	770
T4	520	290	850	330	730	620	580
T5	740	960	200	780	120	200	370
T6	870	700	510	370	490	600	950
T7	130	780	980	700	250	290	180
T8	280	440	370	320	170	150	360
T9	790	270	850	360	830	820	360
T10	400	650	890	880	150	100	170
T11	280	440	180	590	190	120	420
T12	150	130	210	480	470	230	790
T13	720	470	900	530	650	700	720
T14	540	680	600	990	570	830	680
T15	510	710	780	760	120	600	600
T16	390	220	460	270	130	730	160
T17	930	800	100	140	670	140	210
T18	660	590	150	430	500	980	260
T19	150	140	930	660	990	450	200
T20	320	340	610	120	600	730	650
T21	410	530	780	560	590	600	740
T22	290	290	450	140	500	450	830
T23	410	290	330	280	760	890	400
T24	400	570	380	450	800	290	280
T25	540	590	620	240	260	230	360
T26	920	870	850	720	850	960	540
T27	980	350	560	770	470	180	200
T28	830	400	310	140	650	460	950
T29	560	260	530	900	510	280	260
T30	820	640	110	520	980	960	940
T31	230	330	770	230	900	700	100
T32	530	660	590	950	680	470	990
T33	540	120	350	510	440	330	370
T34	500	270	850	570	430	390	290
T35	190	970	200	510	610	250	620
T36	390	500	700	560	850	380	230
T37	200	980	380	900	810	690	660
T38	270	100	450	890	820	970	130
T39	890	870	810	540	830	960	970
T40	600	180	730	670	460	340	930
T41	560	960	480	980	820	120	990
T42	600	340	560	500	710	540	120
T43	220	570	240	120	420	990	170
T44	430	970	710	670	540	480	190
T45	610	160	670	380	720	320	650
T46	950	980	970	260	190	510	620
T47	170	770	800	260	270	720	160
T48	850	580	340	780	790	420	480
T49	970	810	640	870	290	120	630
T50	910	210	490	240	900	490	120
T51	240	220	600	360	900	200	850
T52	920	460	280	540	360	930	960
T53	390	710	540	350	300	520	840
T54	870	590	860	760	160	370	490
T55	240	350	540	390	310	910	270
T56	400	620	400	810	870	260	110
T57	560	300	330	700	150	210	270
T58	190	710	100	470	590	860	540
T59	860	470	280	780	480	680	400
T60	360	310	300	290	280	220	820
T61	200	780	120	490	170	240	760
T62	530	540	660	310	650	400	180
T63	930	770	500	160	590	420	570
T64	420	730	200	860	930	940	690
T65	480	140	130	550	340	390	710
T66	250	830	690	620	730	810	100
T67	150	240	380	650	860	930	380
T68	580	970	910	200	440	220	430
T69	410	920	320	860	380	950	760
T70	830	770	310	600	380	920	190
T71	810	260	340	240	110	670	350
T72	220	160	240	490	620	570	590
T73	430	470	510	290	160	630	280
T74	470	710	770	440	690	190	600
T75	720	590	760	360	670	610	590
T76	480	530	470	320	620	460	290
T77	300	120	700	530	140	110	210
T78	850	430	160	290	580	960	330
T79	990	570	430	610	360	470	710
T80	560	260	830	230	540	410	120
T81	890	390	850	840	930	690	190
T82	690	830	150	840	270	250	960
T83	760	690	130	740	550	610	970
T84	120	480	810	140	300	630	270
T85	120	890	740	490	210	610	760
T86	620	110	560	770	740	680	850
T87	180	390	690	700	630	790	240
T88	780	770	840	330	520	420	130
T89	630	940	170	880	280	750	370
T90	690	740	770	460	730	640	190
T91	320	900	970	850	400	830	970
T92	820	480	900	920	410	350	340
T93	170	660	840	790	630	830	990
T94	730	660	340	980	930	410	520
T95	600	920	580	420	140	120	790
T96	470	120	910	580	200	100	900
T97	810	410	440	260	850	100	910
T98	490	850	550	420	660	140	910
T99	660	360	310	940	840	750	640
T100	360	230	140	970	620	340	890
T101	500	270	640	690	750	220	620
T102	390	510	420	980	580	750	760
T103	740	390	140	490	410	390	240
T104	420	140	520	260	730	830	560
T105	510	150	370	880	370	460	180
T106	590	600	100	960	170	750	860
T107	830	890	580	670	550	500	790
T108	820	960	870	820	580	630	700
T109	350	630	490	530	950	960	540
T110	800	440	330	860	320	590	980
T111	240	440	310	450	660	660	400
T112	150	680	610	690	820	940	280
T113	570	190	870	660	730	530	940
T114	700	780	750	550	200	650	100
T115	890	350	550	690	680	570	970
T116	920	230	800	860	840	890	640
T117	580	360	930	840	990	840	990
T118	880	960	890	560	930	140	420
T119	150	930	850	400	400	970	790
T120	740	170	650	890	550	870	530
T121	970	690	580	230	890	300	300
T122	320	970	430	710	280	920	300
T123	430	110	870	790	640	750	520
T124	380	450	980	740	660	720	890
T125	920	210	500	120	660	320	370
T126	980	740	860	510	510	640	300
T127	970	980	550	140	260	100	500
T128	510	730	760	640	260	430	790
T129	400	150	200	170	630	480	650
T130	480	140	340	120	350	690	770
T131	340	120	960	230	100	970	100
T132	860	200	690	570	480	440	240
T133	410	880	190	690	980	540	990
T134	790	790	990	940	380	530	320
T135	430	680	160	390	960	140	570
T136	840	840	280	330	520	730	630
T137	760	350	940	810	460	490	920
T138	430	610	230	600	490	190	970
T139	580	860	740	810	750	600	340
T140	940	890	480	470	380	180	900
T141	870	840	390	950	570	200	580
T142	730	710	160	870	300	600	550
T143	320	150	700	960	850	300	720
T144	910	470	960	210	510	880	870
T145	860	850	980	380	140	600	620
T146	810	100	550	410	690	800	870
T147	210	380	380	160	520	830	680
T148	900	610	960	490	450	600	450
T149	230	720	720	800	240	640	200
T150	760	370	660	250	630	720	360
T151	620	700	970	270	460	400	490
T152	660	750	490	320	230	750	950
T153	620	250	210	890	720	570	140
T154	760	480	320	270	560	990	100
T155	760	260	320	210	560	300	690
T156	860	730	650	110	850	310	200
T157	880	300	300	570	200	740	220
T158	840	430	720	580	210	470	780
T159	800	400	540	360	610	200	450
T160	990	820	570	840	280	800	370
T161	360	290	610	280	580	970	950
T162	170	500	380	300	700	390	200
T163	250	580	910	610	620	990	350
T164	910	440	750	950	860	230	840
T165	490	640	480	460	790	980	440
T166	120	630	420	350	650	990	930
T167	410	200	200	790	310	980	270
T168	500	240	530	950	200	820	130
T169	640	860	390	170	100	900	900
T170	620	630	220	810	510	980	120
T171	570	920	970	610	480	430	620
T172	720	920	130	700	660	390	720
T173	910	180	400	530	190	960	910
T174	380	960	700	510	730	980	570
T175	730	640	190	100	530	940	280
T176	910	750	350	470	330	630	980
T177	350	940	530	310	530	320	760
T178	850	840	690	650	900	900	730
T179	830	180	900	320	150	890	720
T180	250	340	150	730	820	910	480
T181	850	100	190	280	810	510	150
T182	170	140	830	940	430	130	780
T183	120	600	240	180	570	700	280
T184	680	230	730	860	630	340	670
T185	280	350	690	980	610	690	510
T186	130	340	500	520	700	680	960
T187	410	510	290	770	700	810	970
T188	250	710	950	520	870	930	250
T189	680	750	820	890	920	660	380
T190	120	120	800	860	560	310	490
T191	510	610	710	320	470	750	530
T192	830	310	410	300	870	970	580
T193	350	220	940	340	910	980	640
T194	850	410	250	180	470	690	570
T195	260	310	560	290	930	220	300
T196	990	910	330	820	260	600	480
T197	760	510	570	880	430	890	260
T198	470	930	240	280	870	600	160
T199	480	360	170	530	410	720	720
T200	640	820	230	750	800	870	870
T201	590	360	600	160	120	180	490
T202	280	540	180	960	160	630	390
T203	320	450	390	320	440	910	550
T204	840	260	700	390	370	550	590
T205	810	740	750	340	710	710	950
T206	340	490	460	750	190	820	370
T207	580	830	220	110	360	890	360
T208	240	720	570	860	150	270	100
T209	980	110	370	590	940	320	870
T210	460	960	630	110	180	830	270
T211	420	680	660	750	780	120	290
T212	210	380	110	160	120	680	690
T213	990	660	300	780	180	180	980
T214	560	450	420	920	950	860	480
T215	940	120	720	180	370	210	270
T216	900	680	490	470	340	300	930
T217	690	610	400	330	350	500	290
T218	780	670	750	730	930	560	300
T219	530	480	360	780	480	880	980
T220	950	390	430	140	280	430	180
T221	390	480	120	650	350	160	760
T222	340	810	630	950	770	860	210
T223	250	970	550	490	780	980	150
T224	340	890	770	460	990	960	580
T225	540	420	420	640	730	140	480
T226	830	980	140	870	440	670	430
T227	950	140	520	270	150	570	260
T228	730	800	470	340	970	280	580
T229	850	690	840	120	940	470	430
T230	180	400	140	980	790	390	960
T231	560	920	930	940	640	400	750
T232	500	230	830	660	390	930	780
T233	650	370	940	420	190	420	690
T234	840	970	740	320	860	220	320
T235	770	800	810	670	780	500	100
T236	920	140	990	640	970	440	170
T237	640	610	280	750	940	940	990
T238	640	150	130	560	360	300	160
T239	300	510	480	360	170	600	480
T240	430	590	940	850	370	310	840
T241	430	840	840	960	460	390	630
T242	910	290	600	680	180	170	530
T243	270	510	710	970	210	150	720
T244	710	800	580	620	230	900	720
T245	320	210	310	920	480	220	580
T246	230	780	400	320	730	760	560
T247	260	610	210	930	290	280	140
T248	290	760	880	720	340	770	720
T249	860	600	280	170	250	650	850
T250	460	550	330	610	930	360	630
T251	200	860	840	840	660	480	810
T252	450	740	390	370	510	620	260
T253	120	150	890	410	380	410	930
T254	780	170	750	490	250	650	660
T255	600	830	930	190	630	950	770
T256	410	910	550	200	630	560	530
T257	400	550	170	120	810	230	430
T258	360	630	620	760	710	130	140
T259	970	690	320	790	540	360	460
T260	380	220	510	100	690	450	310
T261	920	250	520	450	700	400	690
T262	970	730	350	290	950	770	380
T263	590	290	880	720	570	430	880
T264	970	920	600	210	460	600	840
T265	500	710	930	960	290	560	520
T266	360	850	250	710	580	300	720
T267	660	860	240	670	870	590	680
T268	890	250	590	500	190	870	490
T269	760	990	160	100	120	160	420
T270	700	870	480	750	270	780	820
T271	340	940	750	460	530	940	560
T272	760	820	940	960	870	860	120
T273	390	170	620	900	230	720	470
T274	150	760	370	390	170	690	800
T275	640	560	300	330	140	480	890
T276	680	280	680	210	110	730	670
T277	100	560	220	950	860	790	190
T278	290	710	600	640	690	970	820
T279	880	480	160	970	860	860	700
T280	960	940	100	600	570	580	830
T281	210	700	500	160	750	460	110
T282	770	550	250	200	410	910	280
T283	260	490	430	530	700	680	830
T284	590	330	190	620	590	860	310
T285	350	470	440	140	680	870	800
T286	690	130	110	620	340	380	940
T287	110	580	930	700	510	800	930
T288	100	620	390	720	180	910	820
T289	240	310	310	360	700	110	490
T290	370	620	430	200	950	290	850
T291	730	950	510	850	940	670	120
T292	160	370	820	570	420	260	210
T293	120	160	910	850	400	860	650
T294	140	400	730	500	270	730	510
T295	580	800	400	250	110	950	740
T296	820	570	100	560	130	440	900
T297	590	650	160	540	180	340	960
T298	810	100	410	200	660	410	930
T299	830	740	830	710	900	450	380
T300	510	310	830	560	680	320	490
T301	840	200	880	420	670	200	170
T302	710	440	400	580	530	280	600
T303	280	980	810	760	230	940	210
T304	850	570	450	680	780	560	950
T305	820	150	230	400	260	980	640
T306	620	180	600	740	460	510	500
T307	640	170	760	100	730	330	180
T308	320	160	770	110	510	650	370
T309	920	230	830	180	530	120	100
T310	380	960	630	600	210	550	670
T311	930	660	260	260	620	210	270
T312	700	140	750	870	990	650	490
T313	440	270	930	630	240	640	390
T314	410	970	510	940	940	870	490
T315	380	110	860	310	250	370	410
T316	670	520	930	850	980	550	650
T317	890	380	650	500	100	980	470
T318	300	160	510	870	450	460	520
T319	530	100	610	100	140	200	880
T320	620	440	280	440	120	790	120
T321	910	590	460	220	120	880	170
T322	520	570	330	220	490	540	740
T323	130	420	870	320	150	110	920
T324	750	230	950	610	170	650	150
T325	370	690	380	790	810	370	480
T326	790	660	960	950	150	110	650
T327	590	290	830	270	940	920	220
T328	990	940	530	170	190	630	460
T329	410	840	490	140	670	440	170
T330	680	450	820	680	150	170	690
T331	600	630	980	870	670	580	660
T332	960	520	280	220	140	920	170
T333	470	480	630	790	270	760	310
T334	490	870	650	220	640	950	630
T335	170	940	170	210	210	830	960
