	A1	A2	A3	A4	A5	A6	A7
T1	980	950	740	300	570	750	490
T2	300	300	450	190	300	310	140
T3	160	450	550	220	490	660	270
T4	620	540	480	830	940	120	800
T5	110	460	490	380	990	860	880
T6	720	350	980	660	910	530	480
T7	970	820	460	440	230	990	240
T8	700	500	740	300	620	560	700
T9	160	850	480	720	470	430	960
T10	430	360	550	950	470	790	300
T11	810	370	610	130	720	410	350
T12	770	710	410	430	300	320	250
T13	540	670	710	990	860	810	510
T14	110	490	650	290	940	800	210
T15	820	860	640	150	550	130	310
T16	270	730	750	440	960	420	840
T17	110	270	140	200	610	190	130
T18	860	890	250	440	100	550	980
T19	370	560	910	180	530	470	450
T20	520	900	390	300	700	160	320
T21	400	970	130	930	130	270	480
T22	510	230	710	800	980	440	490
T23	130	930	580	140	900	470	230
T24	370	610	430	850	750	140	580
T25	780	110	580	660	520	430	970
T26	290	300	360	740	170	960	790
T27	130	970	870	260	580	270	620
T28	860	490	600	360	420	270	270
T29	900	350	630	810	540	280	410
T30	770	390	680	330	330	700	990
T31	730	820	600	830	920	810	670
T32	540	780	990	150	840	590	690
T33	670	900	270	320	860	820	210
T34	650	760	580	730	590	480	640
T35	150	460	260	880	120	460	180
T36	150	730	730	250	770	950	600
T37	240	820	360	820	220	470	740
T38	600	470	970	150	570	370	860
T39	630	350	780	850	570	600	480
T40	290	530	410	630	770	730	500
T41	240	890	920	200	980	380	520
T42	820	880	920	860	510	650	730
T43	230	310	760	520	590	850	150
T44	180	720	760	710	230	230	500
T45	890	140	700	410	970	600	150
T46	450	270	380	500	130	710	910
T47	420	210	490	530	720	210	170
T48	990	840	400	140	680	160	680
T49	610	600	420	800	540	750	190
T50	230	880	210	860	930	830	340
T51	990	110	250	480	660	610	560
T52	310	880	890	670	730	340	510
T53	730	130	210	610	970	410	590
T54	530	390	350	640	770	180	700
T55	110	340	690	880	640	970	340
T56	580	310	140	440	500	380	390
T57	520	970	930	540	970	520	690
T58	870	360	220	910	900	880	110
T59	380	170	440	460	360	740	700
T60	570	740	980	490	350	560	950
T61	150	120	550	630	460	130	950
T62	920	150	790	280	170	740	190
T63	620	630	250	210	710	310	460
T64	600	260	560	500	700	310	120
T65	710	140	590	200	590	730	470
T66	990	900	980	730	400	470	530
T67	940	720	440	910	680	910	360
T68	280	170	860	920	930	900	190
T69	960	330	390	690	260	780	530
T70	150	720	570	110	710	750	220
T71	150	500	650	760	160	290	900
T72	950	540	150	100	550	470	740
T73	760	870	840	790	170	490	100
T74	210	840	320	370	910	740	620
T75	650	930	680	640	870	930	690
T76	910	910	160	110	100	640	810
T77	970	500	610	690	730	590	210
T78	900	640	260	300	470	350	120
T79	710	230	220	740	340	520	880
T80	330	340	840	140	540	940	550
T81	160	700	830	160	730	870	290
T82	730	420	540	880	200	220	330
T83	240	150	260	180	470	480	720
T84	140	250	780	220	910	100	410
T85	420	190	270	810	130	360	360
T86	330	560	180	410	590	200	930
T87	560	350	150	900	390	680	750
T88	500	940	790	720	830	950	840
T89	790	200	610	120	720	990	130
T90	740	960	890	270	860	960	200
T91	100	970	470	170	640	780	560
T92	820	180	830	240	670	380	740
T93	790	850	630	960	310	230	650
T94	280	510	530	400	360	910	560
T95	510	690	310	320	900	390	450
T96	610	100	850	990	100	800	120
T97	780	650	250	170	100	810	990
T98	760	590	960	240	200	360	400
T99	570	780	850	900	180	210	390
T100	430	910	260	580	150	900	460
T101	820	510	980	100	670	800	820
T102	480	820	480	860	200	600	490
T103	870	640	510	910	730	340	480
T104	590	690	850	570	500	340	530
T105	310	380	190	800	640	910	190
T106	820	130	480	400	930	340	280
T107	940	560	860	240	460	410	760
T108	150	610	780	650	610	100	710
T109	750	230	710	110	890	240	720
T110	710	530	460	840	270	550	610
T111	520	500	220	180	560	480	960
T112	890	750	650	210	220	500	380
T113	710	750	990	110	940	640	800
T114	160	320	460	470	760	170	600
T115	160	660	800	670	430	340	260
T116	380	780	110	150	500	690	250
T117	150	700	410	850	930	900	850
T118	900	350	450	180	990	890	450
T119	980	320	660	720	120	470	850
T120	670	460	830	950	800	300	310
T121	370	100	510	730	740	860	690
T122	600	770	520	640	820	840	710
T123	210	830	190	140	330	640	500
T124	270	870	340	550	840	670	880
T125	190	790	730	150	360	670	950
T126	270	930	420	710	370	640	460
T127	500	510	240	410	260	670	870
T128	240	870	930	310	880	680	650
T129	110	550	300	400	210	370	130
T130	290	450	270	310	440	810	920
T131	620	270	260	780	570	570	890
T132	580	270	620	240	400	120	260
T133	840	640	850	660	190	190	360
T134	390	650	780	950	610	500	800
T135	660	770	520	680	710	570	860
T136	710	470	950	490	130	310	320
T137	430	390	450	710	910	620	860
T138	650	960	890	630	640	690	760
T139	130	650	390	430	500	380	460
T140	440	220	710	940	720	340	880
T141	220	510	930	750	590	620	600
T142	800	300	110	200	700	400	600
T143	830	760	590	310	420	840	400
