	A1	A2	A3	A4
T1	190	830	820	850
T2	640	540	310	930
T3	640	420	850	400
T4	760	360	470	540
T5	220	970	580	110
T6	330	140	110	100
T7	810	290	200	310
T8	110	250	770	990
T9	870	950	980	820
T10	520	960	280	920
T11	250	630	170	600
T12	100	100	680	500
T13	100	710	910	230
T14	170	380	190	170
T15	970	660	180	570
T16	180	230	400	160
T17	260	860	540	510
T18	800	740	280	600
T19	520	600	390	500
T20	930	380	710	760
T21	970	670	260	400
T22	600	920	230	720
T23	110	510	820	210
T24	580	160	560	570
T25	360	450	320	530
T26	610	190	280	840
T27	340	930	820	970
T28	620	210	810	450
T29	580	670	450	630
T30	310	320	240	220
T31	230	720	920	490
T32	950	170	210	530
