	A1	A2	A3	A4	A5	A6
T1	240	330	360	380	380	950
T2	920	220	740	670	880	710
T3	620	960	240	790	320	570
T4	890	360	620	470	710	800
T5	750	860	370	170	850	560
T6	650	120	400	560	550	280
T7	820	480	130	900	890	740
T8	600	670	280	810	490	180
T9	450	340	420	540	710	390
T10	540	930	840	650	740	820
T11	970	450	520	750	360	460
T12	770	320	120	680	860	940
T13	270	900	940	800	660	220
T14	830	710	460	340	840	640
T15	870	360	240	840	560	910
T16	440	370	560	540	360	750
T17	720	400	760	530	750	200
T18	470	740	690	880	260	360
T19	850	680	520	200	590	720
T20	880	860	270	860	520	310
T21	980	210	550	710	330	900
T22	790	780	470	390	870	510
T23	200	620	550	830	700	700
T24	260	260	380	320	620	260
T25	460	850	850	270	790	800
T26	870	560	140	150	260	300
T27	190	290	700	760	670	310
T28	150	260	920	510	630	170
T29	740	510	370	940	550	120
T30	930	970	140	720	410	120
T31	370	790	890	760	640	380
T32	810	250	120	430	100	240
T33	760	670	230	180	180	610
T34	360	850	360	710	680	440
T35	280	740	820	100	960	920
T36	950	150	650	810	360	410
T37	150	950	820	210	220	260
T38	500	970	730	590	100	970
T39	310	300	800	950	300	100
T40	570	390	790	410	670	420
T41	130	460	560	520	170	510
T42	390	810	350	730	330	180
T43	340	630	460	420	200	890
T44	450	130	900	720	840	460
T45	910	590	620	830	960	270
T46	830	130	520	920	970	520
T47	800	840	250	640	880	480
T48	230	970	250	620	650	930
T49	900	580	340	480	940	900
T50	300	730	670	860	800	180
T51	950	160	400	360	970	670
T52	850	200	290	320	180	780
T53	230	440	220	470	110	280
T54	940	590	590	960	270	130
T55	740	390	260	130	540	220
T56	620	550	400	220	900	650
T57	380	820	440	670	420	260
T58	760	540	510	760	690	380
T59	350	450	690	230	910	700
T60	480	150	140	170	190	590
T61	200	460	960	110	690	250
T62	250	560	430	360	820	670
T63	120	780	520	540	430	790
T64	600	300	270	910	230	490
