	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	910	670	760	760	940	400	220	580	150	630	700	250	900	120
T2	550	150	700	300	960	300	950	650	180	230	360	330	360	380
T3	920	530	410	490	880	960	290	250	300	640	910	900	500	950
T4	920	490	200	670	470	730	470	310	910	660	610	390	930	880
T5	740	630	560	800	580	150	840	240	290	820	140	100	760	190
T6	300	680	930	110	210	400	500	850	700	670	530	160	710	700
T7	410	330	770	990	630	850	760	710	670	410	790	970	640	340
T8	240	560	240	990	640	620	900	550	150	270	110	370	110	190
T9	160	400	680	580	550	270	610	730	740	660	930	850	330	250
T10	320	540	640	830	640	200	990	950	900	660	380	560	820	430
T11	100	610	440	990	870	490	860	700	660	510	120	720	750	320
T12	790	510	930	640	330	430	440	420	620	560	730	150	430	380
T13	650	620	520	750	130	730	900	490	550	360	490	790	690	670
T14	430	610	560	870	120	790	740	530	420	340	280	630	820	120
T15	550	430	960	550	920	480	740	620	490	630	280	720	490	690
T16	980	900	120	280	220	540	760	790	570	170	550	650	310	960
T17	600	150	380	230	780	540	710	770	430	650	190	870	270	790
T18	530	480	450	280	590	670	540	410	310	450	340	160	400	600
T19	140	860	390	600	790	680	750	890	720	160	390	550	190	470
T20	920	850	260	570	340	310	130	850	670	820	340	460	670	100
T21	360	860	490	390	530	790	940	880	350	460	480	990	200	770
T22	100	840	570	170	520	200	990	250	630	970	560	930	360	510
T23	400	670	240	820	770	710	810	350	830	800	840	170	720	770
T24	590	980	670	700	270	210	900	500	400	850	600	180	490	640
T25	300	940	560	770	620	830	980	140	460	900	410	330	510	410
T26	240	430	380	180	630	790	980	400	420	920	740	490	360	330
T27	870	460	750	580	250	500	870	440	320	480	530	120	140	770
T28	690	930	710	400	160	480	190	200	940	310	850	620	150	750
T29	210	660	990	630	170	660	500	390	460	300	510	790	420	260
T30	210	250	170	830	840	810	660	860	170	240	650	260	570	150
T31	270	600	890	310	240	420	730	130	990	220	930	680	600	390
T32	850	880	670	280	740	740	590	420	670	200	540	670	760	810
T33	550	860	270	370	130	100	970	430	330	980	770	750	950	840
T34	360	570	460	930	710	690	250	260	780	350	660	340	350	600
T35	900	970	340	680	270	390	380	250	400	780	350	260	710	400
T36	100	880	130	540	270	850	370	440	150	430	630	320	490	620
T37	360	490	450	250	120	930	790	870	430	360	460	530	440	160
T38	910	450	490	300	790	640	890	650	400	720	630	250	610	300
T39	950	720	820	250	960	840	530	640	300	810	480	780	200	140
T40	310	240	240	620	760	280	160	790	750	870	960	520	230	590
T41	700	220	310	410	700	550	280	600	320	230	130	220	870	430
T42	720	640	520	420	880	510	250	880	970	580	890	440	480	460
T43	360	160	370	930	120	720	300	760	620	460	570	880	770	890
