	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	710	700	860	840	400	510	900	670	550	940
T2	300	230	790	130	210	100	750	710	530	470
T3	280	790	360	930	100	870	970	460	410	340
T4	800	290	490	510	760	380	130	260	680	110
T5	450	340	360	870	910	520	470	480	890	320
T6	640	940	260	370	330	550	250	830	290	360
T7	320	730	130	600	750	140	940	270	390	160
T8	860	540	740	930	240	530	300	350	830	970
T9	270	340	800	950	110	550	900	700	540	690
T10	670	990	560	130	600	860	850	130	580	230
T11	520	470	240	210	460	720	330	620	510	620
T12	700	130	510	450	730	850	730	650	850	710
T13	750	830	800	320	960	260	310	680	220	540
T14	640	350	490	600	700	620	760	730	880	480
T15	410	930	730	990	120	680	900	750	600	590
T16	550	990	500	770	100	660	220	800	350	670
T17	560	690	230	650	280	660	520	850	540	160
T18	570	990	740	780	840	360	850	100	320	600
T19	900	810	660	350	910	740	550	770	900	690
T20	230	530	470	340	340	730	250	320	840	580
T21	430	360	420	930	520	570	560	910	530	360
T22	430	810	730	880	960	930	860	850	730	130
T23	520	180	630	340	860	320	450	910	110	850
T24	760	670	640	890	550	740	130	590	610	180
T25	830	610	470	190	480	490	630	810	910	270
T26	280	790	710	140	210	980	310	120	330	580
T27	210	850	200	710	870	660	700	380	130	820
T28	780	400	550	100	560	680	320	860	200	400
T29	550	350	470	440	880	330	270	600	280	880
T30	370	910	280	150	870	530	210	560	670	950
T31	470	930	970	540	650	570	770	260	710	150
T32	340	420	200	210	450	200	920	640	270	960
T33	120	270	970	100	970	410	990	160	900	300
T34	760	390	970	170	730	390	880	470	270	990
T35	370	720	670	660	950	170	340	120	590	210
T36	900	580	770	790	820	380	300	690	800	990
T37	160	210	280	590	300	410	640	770	480	670
T38	700	610	940	370	740	360	950	740	680	750
T39	640	300	110	930	630	110	950	120	250	120
T40	510	630	710	140	970	630	990	110	970	770
T41	350	550	630	350	380	320	810	950	170	880
T42	300	280	890	920	710	390	100	680	430	990
T43	180	660	670	860	130	700	180	120	780	650
T44	620	860	480	500	990	920	280	550	780	740
T45	890	460	900	500	330	100	560	560	620	350
T46	200	890	430	510	990	280	820	320	810	340
T47	770	260	160	870	390	160	420	580	100	650
T48	750	310	740	110	820	210	640	810	850	390
T49	640	210	670	680	160	820	420	790	730	410
T50	870	350	470	430	240	100	990	860	700	920
T51	800	830	250	560	550	490	290	540	450	570
T52	280	490	580	100	800	630	570	680	290	970
T53	420	270	230	630	800	550	690	270	390	130
T54	200	640	370	530	590	550	940	490	280	130
T55	690	660	140	450	840	170	120	450	550	970
T56	550	620	140	960	520	990	310	830	230	930
T57	350	260	960	930	510	170	490	710	790	610
T58	650	590	700	790	630	780	650	490	100	630
T59	700	150	170	240	940	940	780	510	940	290
T60	370	310	920	760	500	610	220	940	710	850
T61	730	610	740	590	130	430	940	620	390	890
T62	120	180	350	890	980	310	120	470	110	140
T63	890	930	420	120	940	230	960	380	840	180
T64	470	520	300	180	950	100	180	690	110	970
