	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	570	460	660	880	500	770	680	360	530	450	220	480	100	400
T2	520	580	570	540	520	180	380	790	900	390	680	510	690	840
T3	410	160	340	200	980	250	400	390	800	550	470	260	530	340
T4	480	520	760	600	330	980	190	530	990	810	280	440	900	920
T5	780	900	300	510	630	310	820	190	730	680	970	380	870	640
T6	140	590	740	350	780	670	970	100	410	230	560	420	500	320
T7	250	140	700	690	340	900	670	550	730	290	320	280	670	200
T8	150	890	780	490	710	480	820	440	280	320	930	800	240	830
T9	470	960	130	380	630	640	800	250	860	600	740	300	300	560
T10	380	510	750	730	570	950	380	550	410	600	430	810	200	840
T11	500	480	540	170	980	610	330	580	180	970	170	520	740	320
T12	900	750	700	800	600	680	890	860	990	870	450	470	560	300
T13	440	610	670	830	810	570	250	220	180	700	720	430	980	590
T14	470	530	690	160	100	960	790	180	950	680	430	340	270	360
T15	770	640	850	100	790	250	940	230	540	320	610	320	490	330
T16	940	160	140	500	970	790	860	360	360	290	810	900	780	150
T17	280	260	970	480	410	990	740	640	810	730	280	360	800	200
T18	410	760	850	650	110	110	840	460	210	200	420	190	820	420
T19	660	190	740	810	310	660	660	760	410	770	840	730	790	210
T20	550	600	200	980	300	540	200	200	510	430	490	650	590	590
T21	130	680	320	820	110	520	840	230	650	590	320	480	750	280
T22	650	680	290	890	160	220	300	780	600	370	140	700	530	820
T23	110	430	700	330	620	860	590	670	990	830	590	980	510	390
T24	440	240	420	300	300	120	330	530	150	640	230	520	150	960
T25	350	300	490	620	560	830	570	730	310	680	150	370	680	830
T26	300	590	990	500	160	790	280	340	250	720	450	890	140	190
T27	240	800	880	240	200	950	920	520	230	870	750	520	740	400
T28	260	530	520	630	860	620	770	550	430	550	420	920	130	260
T29	710	100	280	320	940	160	920	750	450	580	690	670	110	450
T30	580	150	560	210	180	780	520	620	230	360	800	840	980	210
T31	190	990	500	680	280	360	780	930	260	220	250	220	950	660
T32	190	500	830	990	560	150	110	750	560	320	840	570	180	690
T33	640	870	600	390	510	450	640	950	200	620	200	960	430	330
T34	790	570	710	780	500	850	690	590	780	230	430	540	200	270
T35	380	550	320	230	710	830	120	720	280	970	250	790	800	550
T36	920	590	490	430	850	450	520	390	610	630	460	860	830	390
T37	860	100	630	830	940	480	150	240	810	140	430	230	230	290
T38	150	690	950	730	350	260	640	460	570	560	810	250	360	630
T39	370	440	160	470	650	710	330	370	980	840	450	720	200	480
T40	120	560	230	160	210	640	920	530	180	320	620	680	230	770
T41	400	390	950	980	530	810	980	140	670	410	180	550	880	320
T42	910	170	940	330	610	140	710	220	110	170	550	270	800	170
T43	330	890	730	930	890	380	730	410	610	510	470	610	900	880
T44	500	410	310	590	720	130	760	130	940	720	840	730	590	310
T45	780	800	390	530	550	580	910	560	270	780	190	180	740	800
T46	800	260	790	460	650	810	920	330	550	600	520	480	340	610
T47	190	330	980	160	860	240	880	110	950	180	810	850	640	200
T48	110	950	530	670	260	920	350	990	100	440	410	550	380	500
T49	350	750	930	380	560	710	200	340	410	890	680	970	930	750
T50	420	300	830	140	910	760	430	550	490	760	180	730	470	560
T51	130	760	450	360	380	230	410	170	150	380	560	150	930	820
T52	960	550	180	590	670	200	960	790	550	880	910	940	620	440
T53	740	240	430	720	680	800	210	510	710	650	920	790	790	860
T54	910	710	490	620	910	220	640	170	190	910	590	790	470	240
T55	490	330	480	270	900	800	570	360	340	670	760	200	900	610
T56	200	630	230	820	730	620	560	200	240	270	500	670	890	980
T57	910	160	860	460	180	950	240	770	210	830	270	410	750	830
T58	570	200	290	470	710	410	500	140	170	990	470	570	800	440
T59	300	270	170	490	110	760	120	830	900	660	690	220	850	890
T60	790	290	270	730	680	810	410	790	480	660	430	100	720	760
T61	230	640	200	880	680	230	600	990	570	410	780	920	310	860
T62	580	500	310	170	570	950	310	680	970	700	720	660	440	900
T63	940	160	930	190	990	870	300	230	370	750	500	250	980	630
T64	880	750	150	340	700	810	740	410	140	420	530	680	750	100
T65	690	550	520	310	920	610	660	760	390	740	810	210	580	860
T66	100	280	960	760	240	830	780	320	160	860	280	120	730	790
T67	450	100	500	870	840	160	370	180	800	110	460	790	100	120
T68	740	890	460	650	880	500	340	720	910	930	470	420	750	770
T69	670	590	740	960	920	770	570	340	500	840	580	200	340	800
T70	810	780	820	850	260	630	360	200	660	830	140	570	840	320
T71	910	360	290	850	440	350	200	760	810	770	350	840	660	340
T72	520	500	460	780	850	880	280	950	580	870	570	190	810	730
T73	520	550	440	140	300	550	110	790	400	140	840	930	280	890
T74	690	500	390	240	340	140	310	900	240	590	890	660	300	380
T75	180	830	340	290	320	380	270	380	890	340	500	950	720	510
T76	230	320	940	320	750	720	970	990	350	820	380	100	760	220
T77	320	320	680	920	740	400	920	440	140	210	510	590	850	900
T78	990	670	240	790	710	720	670	430	530	930	160	510	390	560
T79	890	740	890	150	550	860	410	370	710	360	450	320	650	710
T80	510	880	270	830	580	840	100	970	850	310	740	860	670	250
T81	880	950	440	520	650	890	850	530	350	930	450	610	120	850
T82	190	290	640	790	770	950	580	630	840	690	770	350	730	940
T83	890	690	260	230	450	200	310	980	620	320	410	500	240	840
T84	790	290	460	290	120	260	470	690	560	380	480	930	200	190
T85	550	100	570	310	390	730	740	390	500	800	680	520	930	270
T86	790	700	540	790	690	830	360	160	130	870	580	420	640	780
T87	700	430	230	440	240	330	390	500	290	550	160	440	350	620
T88	840	480	590	310	500	390	310	340	310	980	650	380	460	250
T89	920	450	430	290	350	770	600	890	450	510	810	140	750	230
T90	700	720	830	210	210	860	780	600	580	740	420	190	220	680
T91	320	880	130	880	640	410	840	620	550	510	180	980	630	990
T92	650	170	440	590	880	890	660	990	720	770	500	810	480	880
T93	580	220	740	610	530	900	550	280	620	600	720	460	120	420
T94	270	900	450	400	150	540	540	620	540	870	490	650	590	560
T95	340	970	320	950	440	350	230	540	650	330	240	590	250	770
T96	540	870	440	850	130	520	300	600	620	570	190	280	560	540
T97	580	960	330	140	100	230	390	140	990	280	150	100	680	920
T98	290	650	180	350	230	730	140	860	690	690	630	510	310	770
T99	120	860	850	710	880	220	610	560	550	170	590	130	390	360
T100	550	630	300	120	930	830	550	240	950	640	790	740	210	790
T101	270	480	350	680	750	140	660	460	660	290	390	540	180	810
T102	630	180	790	220	940	510	690	120	400	130	270	350	330	350
T103	710	660	690	960	560	330	620	410	560	600	580	750	670	480
T104	830	560	920	720	900	200	570	540	100	530	980	380	610	840
T105	840	200	980	590	540	390	700	830	190	730	950	730	490	330
T106	570	600	510	970	940	140	890	600	240	390	500	990	360	300
T107	780	330	790	350	320	140	150	680	610	320	780	310	810	680
T108	130	120	260	420	680	160	410	400	400	920	660	900	140	850
T109	780	110	430	930	410	630	180	660	970	530	900	720	660	580
T110	660	720	710	950	880	250	710	390	930	490	600	240	130	410
T111	400	180	840	110	540	320	170	100	510	560	700	860	610	650
T112	760	540	120	770	810	320	690	260	680	990	360	140	210	700
T113	210	870	280	730	870	690	900	190	550	220	900	530	940	750
T114	200	960	350	930	100	420	560	620	780	330	780	640	690	900
T115	150	980	240	300	350	310	770	710	920	560	530	820	770	400
T116	310	110	560	160	170	310	470	340	480	910	790	190	310	230
T117	380	700	810	690	940	400	230	380	110	130	910	620	820	700
T118	300	210	640	410	930	170	330	130	410	310	900	370	730	750
T119	430	710	850	580	840	390	460	230	110	170	950	160	320	490
T120	490	710	830	190	670	660	540	300	770	770	340	520	990	680
T121	500	510	170	440	410	690	390	380	770	500	910	260	750	240
T122	460	450	620	830	380	720	480	340	780	620	210	480	290	900
T123	380	150	630	970	360	810	380	660	850	950	360	710	980	430
T124	100	710	480	150	410	290	480	950	660	730	450	830	980	320
T125	170	950	200	310	440	650	610	680	200	470	400	750	880	590
T126	850	850	660	830	180	400	830	360	910	180	820	930	260	100
T127	700	230	140	780	130	150	100	970	320	360	670	890	750	290
T128	700	920	600	960	400	180	290	510	630	530	510	190	200	910
T129	510	160	230	590	750	720	120	790	390	380	330	170	360	280
T130	530	990	700	330	110	310	490	410	190	670	260	520	760	660
T131	330	140	610	500	280	720	100	810	240	380	650	280	530	450
