	A1	A2	A3	A4	A5	A6
T1	930	760	460	310	440	660
T2	320	600	340	170	250	250
T3	280	710	930	720	220	790
T4	580	280	570	690	550	100
T5	800	660	810	720	380	720
T6	170	280	870	550	700	640
T7	620	510	820	740	950	700
T8	340	670	250	350	550	930
T9	950	890	720	620	840	430
T10	910	560	560	290	770	140
T11	460	230	830	410	480	460
T12	730	930	620	380	260	120
T13	630	250	250	110	820	820
T14	700	320	670	490	610	670
T15	510	670	320	630	790	650
T16	270	190	530	740	280	590
T17	280	560	760	130	240	470
T18	310	820	700	770	600	250
T19	260	150	710	470	300	920
T20	240	410	830	400	510	690
T21	190	410	470	940	180	710
T22	660	710	640	820	160	910
T23	800	160	350	820	250	490
T24	780	720	340	630	440	820
T25	790	930	480	530	360	660
T26	120	650	220	570	910	780
T27	830	330	800	670	770	760
T28	990	540	560	900	580	780
T29	200	850	870	240	590	340
T30	250	440	460	210	710	530
T31	380	570	580	140	670	940
T32	910	200	170	670	720	390
