	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	900	950	670	470	480	520	530	590	400	300
T2	910	380	630	680	880	620	850	720	120	320
T3	510	990	490	100	900	260	680	460	550	500
T4	320	140	630	390	370	870	140	230	910	540
T5	740	870	670	640	220	630	900	490	890	850
T6	830	210	580	630	920	910	320	190	510	860
T7	390	800	550	720	620	290	820	150	650	260
T8	240	670	140	300	670	970	560	970	970	690
T9	880	210	100	910	740	190	150	570	720	960
T10	700	180	800	470	700	250	400	790	740	830
T11	150	560	100	730	400	650	290	930	470	840
T12	940	110	930	490	480	330	760	480	250	870
T13	430	150	430	170	530	780	230	210	110	550
T14	740	660	560	790	900	590	160	770	250	340
T15	260	770	110	460	900	430	280	490	470	160
T16	710	160	270	780	650	910	660	770	250	160
T17	540	720	730	710	230	150	890	700	190	750
T18	230	590	210	640	740	480	150	680	100	390
T19	750	160	180	680	440	210	530	880	910	330
T20	810	260	610	860	290	940	990	900	840	810
T21	490	850	330	860	670	860	580	200	130	770
T22	530	910	750	350	380	900	500	890	250	870
T23	240	760	350	490	590	500	280	600	320	940
T24	710	990	330	850	940	300	970	390	220	560
T25	560	760	130	980	970	980	930	910	500	490
T26	700	790	640	120	290	370	190	130	460	480
T27	100	370	910	270	510	950	930	890	730	370
T28	490	220	350	940	710	270	730	160	180	190
T29	180	670	970	150	750	410	520	780	540	180
T30	490	330	600	170	810	580	250	970	960	460
T31	480	920	160	950	260	160	580	300	820	260
T32	890	470	850	910	260	600	610	540	170	770
T33	780	830	170	130	140	260	220	800	410	120
T34	990	960	400	980	720	360	150	410	310	250
T35	140	900	150	610	400	170	850	350	340	120
T36	350	470	940	480	770	590	890	250	370	290
T37	750	380	190	940	160	370	510	950	470	920
T38	570	100	710	870	620	270	410	830	890	640
T39	880	290	410	380	220	970	630	430	750	490
T40	380	690	610	360	610	340	300	860	540	770
T41	690	970	530	780	100	240	870	740	550	260
T42	620	140	720	680	380	260	330	760	560	660
T43	880	550	460	180	860	980	920	620	580	630
T44	920	940	150	190	370	980	100	570	520	830
T45	800	920	750	540	870	930	350	730	660	540
T46	730	680	420	110	560	880	210	590	670	510
T47	650	100	430	910	910	950	510	800	790	310
T48	670	360	930	880	700	630	160	680	890	450
