	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	700	590	530	360	210	270	430	940	420	270
T2	550	400	400	570	570	400	500	530	110	550
T3	600	670	620	490	150	790	990	160	510	600
T4	320	370	110	770	540	480	660	520	740	740
T5	580	290	570	790	710	850	440	300	760	690
T6	890	260	380	860	530	390	960	590	520	800
T7	920	160	380	720	170	500	920	430	390	150
T8	790	640	320	380	800	450	850	210	250	190
T9	100	120	840	150	120	600	540	610	620	270
T10	760	610	420	550	280	100	540	610	830	980
T11	970	440	220	490	180	120	410	970	570	710
T12	870	400	320	420	110	930	530	640	260	660
T13	550	810	630	380	600	290	520	260	860	540
T14	580	720	660	330	100	560	670	290	350	450
T15	520	880	860	220	420	870	550	220	840	680
T16	710	700	430	170	360	670	200	220	380	500
T17	620	170	610	160	100	820	140	320	520	400
T18	700	190	340	160	530	190	900	530	790	510
T19	790	790	650	110	450	410	180	890	750	910
T20	920	330	390	240	970	830	570	210	160	810
T21	940	980	660	750	840	890	340	200	650	950
T22	990	550	190	190	930	440	720	480	580	160
T23	680	720	520	100	450	900	290	910	200	950
T24	350	100	170	220	160	380	390	180	960	230
T25	770	580	820	340	920	730	870	170	140	560
T26	170	790	370	820	300	460	810	730	940	460
T27	980	660	290	640	640	240	330	860	670	180
T28	140	300	860	700	650	920	160	640	790	910
T29	480	880	110	710	560	290	530	260	100	940
T30	870	450	850	210	820	550	970	350	570	960
T31	910	720	200	710	940	340	720	940	490	240
T32	560	320	690	840	520	940	980	440	750	860
T33	810	540	780	870	100	660	360	440	570	210
T34	490	690	920	260	610	410	300	360	940	960
T35	250	390	760	180	850	810	220	280	560	510
T36	120	270	640	980	820	520	750	350	740	170
T37	410	750	350	500	760	400	940	100	360	950
T38	780	460	680	210	810	290	550	980	560	720
T39	360	470	450	460	430	810	380	100	260	270
T40	620	980	260	120	140	350	700	690	110	130
T41	510	570	670	160	960	170	490	350	580	830
T42	450	570	170	900	530	810	450	280	620	430
T43	350	370	170	390	230	180	330	490	990	420
T44	640	830	180	880	110	470	330	920	470	470
T45	440	110	100	480	370	450	700	470	690	970
T46	320	910	650	580	410	500	900	960	270	350
T47	810	140	900	320	830	940	460	300	260	360
T48	320	460	670	630	610	580	970	870	560	820
T49	170	430	880	830	380	720	510	560	790	920
T50	660	920	210	430	650	570	400	830	780	460
T51	620	710	940	550	770	920	680	980	430	600
T52	530	310	410	440	880	330	850	590	480	120
T53	170	790	420	680	280	150	750	350	620	950
T54	240	320	180	160	420	910	990	410	890	310
T55	170	390	910	560	340	220	110	840	230	990
T56	350	790	510	520	330	570	500	130	610	140
T57	350	200	190	560	380	350	630	410	140	200
T58	670	280	210	660	990	210	280	910	810	630
T59	250	250	400	800	440	840	730	880	900	750
T60	420	930	440	380	520	680	530	550	410	740
T61	240	250	500	980	620	660	140	230	340	140
T62	190	640	600	240	620	150	310	610	100	410
T63	870	130	690	180	270	250	870	690	760	910
T64	620	850	570	640	330	940	330	570	240	260
T65	140	790	120	910	330	550	490	510	880	600
T66	940	540	530	980	510	590	680	450	570	640
T67	670	820	460	210	900	490	140	500	390	950
T68	790	300	340	230	440	470	480	470	560	410
T69	960	930	380	570	480	880	600	770	280	530
T70	450	390	850	650	600	490	360	130	360	210
T71	540	810	160	130	610	580	750	510	460	470
T72	920	330	980	340	820	620	950	130	690	730
T73	950	850	200	530	420	840	600	640	460	670
T74	370	370	290	580	340	340	240	680	250	910
T75	100	410	250	830	450	390	690	850	840	680
T76	850	260	760	610	980	890	360	630	330	530
T77	930	720	640	960	110	520	420	890	630	460
T78	170	950	830	810	920	470	280	740	980	230
T79	100	330	280	800	940	190	830	860	620	650
T80	450	620	720	320	390	610	760	120	710	200
T81	560	830	620	750	710	750	290	540	320	920
T82	690	700	140	690	130	440	450	300	360	480
T83	350	320	140	890	810	670	910	560	550	300
T84	130	940	680	430	790	710	960	170	680	920
T85	270	260	920	240	670	290	310	550	490	440
