	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	990	660	610	500	230	780	310	980	670	340	820	580	850	640
T2	890	660	280	520	120	660	890	300	880	350	870	340	630	150
T3	570	780	650	510	860	440	250	350	300	190	270	470	600	570
T4	810	210	690	120	280	890	710	820	340	920	500	750	440	740
T5	580	790	140	200	270	640	260	700	730	930	480	690	400	460
T6	650	530	140	140	880	310	940	150	900	560	200	670	420	430
T7	920	900	630	510	310	940	270	350	980	860	290	730	710	530
T8	850	770	160	770	840	380	370	670	670	320	430	240	640	420
T9	660	340	620	830	790	150	860	740	630	530	670	580	310	370
T10	370	930	550	660	110	660	460	850	820	880	570	940	890	130
T11	500	110	460	430	760	330	770	340	120	640	240	450	380	850
T12	620	630	440	850	630	500	200	380	540	840	970	930	640	840
T13	570	600	300	530	130	270	210	360	710	600	290	300	750	310
T14	910	790	890	730	690	670	340	240	930	220	750	580	770	850
T15	450	220	940	520	440	190	910	600	650	520	360	570	730	200
T16	690	780	570	380	550	850	540	530	120	420	360	950	180	390
T17	930	900	500	580	970	360	240	440	440	150	580	360	700	890
T18	760	730	150	110	150	820	650	380	640	230	810	420	780	820
T19	140	850	390	530	920	420	590	460	140	180	970	490	310	190
T20	530	620	630	930	950	180	750	610	780	660	910	100	910	420
T21	740	430	200	200	570	430	150	120	430	350	560	860	420	960
T22	250	830	330	220	730	160	400	390	830	700	100	950	520	360
T23	100	650	170	840	980	490	770	650	360	270	980	350	800	830
T24	910	580	830	270	900	590	800	970	340	930	590	430	830	350
T25	350	920	210	550	950	760	760	690	650	990	460	540	450	140
T26	770	260	650	490	330	370	980	360	930	860	410	470	530	800
T27	460	840	820	660	950	720	730	750	380	350	340	840	330	520
T28	820	540	490	110	410	330	240	420	970	910	760	290	810	470
T29	480	650	670	340	340	110	670	760	740	670	190	590	330	580
T30	750	300	700	750	430	780	740	540	660	170	410	410	530	240
T31	610	410	250	650	750	650	510	340	280	360	720	140	450	940
T32	180	270	840	990	890	290	530	900	300	230	950	880	310	610
T33	280	110	520	440	560	250	730	830	220	270	760	120	420	300
T34	470	410	700	700	910	920	770	860	300	880	290	660	590	400
T35	990	410	110	560	110	760	440	100	360	190	860	470	850	990
T36	800	650	820	630	880	910	430	460	830	100	880	150	250	430
T37	360	610	550	380	910	110	740	880	880	720	500	430	950	220
T38	490	100	960	120	840	910	170	650	310	100	510	700	560	150
T39	710	210	660	270	740	620	740	850	570	460	960	980	780	950
T40	230	470	110	240	710	890	650	840	640	670	440	470	320	930
T41	150	400	980	820	360	660	260	860	920	270	210	690	640	140
T42	810	830	900	380	680	170	280	790	410	830	960	170	640	130
T43	190	840	440	890	100	450	980	450	120	730	450	310	320	820
T44	710	630	230	880	290	740	270	490	910	210	240	330	610	440
T45	120	250	460	470	800	840	320	600	370	230	360	720	230	990
T46	320	540	520	470	220	640	570	230	450	930	440	910	900	780
T47	450	400	240	680	580	510	280	560	460	160	320	920	980	640
T48	150	320	190	140	240	240	940	190	110	560	810	510	850	260
T49	660	550	340	560	990	510	700	180	920	380	940	250	550	150
T50	260	800	580	840	230	670	680	440	340	160	490	210	700	840
T51	260	710	680	210	650	710	170	610	560	470	360	680	250	840
T52	970	360	650	230	650	350	880	810	610	460	240	640	190	310
T53	600	830	450	960	340	460	590	540	780	990	680	260	440	210
T54	820	440	130	660	230	900	490	290	140	770	400	240	370	650
T55	300	870	170	950	320	370	350	230	530	500	160	750	450	470
T56	210	970	340	830	180	970	740	340	680	270	740	640	420	500
T57	610	850	700	780	860	840	720	840	390	560	100	420	320	990
T58	640	390	670	390	450	260	860	430	790	580	440	640	880	130
T59	210	990	250	260	910	900	800	800	140	830	800	430	290	140
T60	460	460	770	400	860	230	590	360	740	120	220	420	680	640
T61	510	640	480	880	170	770	560	940	550	930	740	450	180	260
T62	420	220	690	260	340	620	270	170	490	440	610	670	250	330
T63	140	840	170	410	660	130	580	950	520	550	780	440	590	610
T64	170	840	810	130	670	880	500	550	410	220	460	200	280	960
T65	300	460	630	600	230	330	140	790	280	130	780	900	720	480
T66	330	200	250	820	410	170	450	620	270	600	440	420	450	490
T67	690	220	700	520	100	690	510	750	440	200	740	170	240	190
T68	700	830	670	830	120	250	410	190	620	190	240	200	310	510
T69	910	960	540	690	580	850	230	730	850	890	540	880	240	320
T70	120	540	550	480	290	670	250	130	260	640	630	220	430	930
T71	780	220	300	260	950	100	910	980	610	230	770	480	490	150
T72	680	370	520	660	250	750	560	970	190	740	340	820	440	570
T73	580	610	760	550	100	310	280	360	950	640	990	180	670	990
T74	130	100	180	770	170	290	860	420	150	780	330	460	120	550
T75	880	870	360	130	620	170	240	960	910	150	990	240	660	700
T76	790	710	200	730	610	230	810	690	730	390	870	590	470	140
T77	980	360	650	910	700	450	660	280	360	150	240	960	420	480
T78	120	110	430	650	500	130	730	950	900	670	580	870	610	480
T79	980	130	980	580	550	120	300	630	350	330	650	960	760	810
T80	860	140	280	520	290	670	430	670	320	870	540	540	980	960
T81	420	440	890	370	580	420	660	460	790	220	750	290	550	560
T82	540	460	740	470	340	890	320	460	410	200	750	510	990	130
T83	750	610	570	310	770	660	910	120	520	670	770	830	550	830
T84	280	240	660	480	710	990	460	650	230	860	130	730	190	650
T85	800	500	220	170	670	130	340	950	290	960	120	310	650	130
T86	210	230	550	170	530	480	680	160	190	470	630	120	320	130
T87	310	830	220	880	130	410	790	390	490	610	350	870	620	610
