	A1	A2	A3	A4	A5	A6
T1	380	740	440	160	220	930
T2	870	120	690	250	830	850
T3	750	970	770	390	400	630
T4	410	830	370	830	210	940
T5	390	430	350	880	760	130
T6	200	670	550	480	310	610
T7	960	790	560	210	660	470
T8	990	240	950	550	350	860
T9	180	580	970	910	770	490
T10	960	700	120	960	750	700
T11	580	190	720	880	890	290
T12	750	550	770	180	340	190
T13	190	190	280	150	230	690
T14	890	230	580	550	230	420
T15	620	100	500	680	240	590
T16	520	250	770	840	870	500
T17	550	280	840	830	650	390
T18	980	960	190	460	700	240
T19	320	360	760	360	870	480
T20	600	520	410	150	340	740
T21	150	770	250	380	350	270
T22	200	230	240	650	740	220
T23	960	660	630	290	500	110
T24	940	300	460	900	430	840
T25	900	130	600	210	300	690
T26	450	950	510	420	300	890
T27	970	200	620	220	920	580
T28	910	970	380	530	660	830
T29	720	110	700	320	750	930
T30	320	610	270	590	670	900
T31	800	170	770	890	870	530
T32	140	630	460	480	450	660
T33	930	520	440	500	790	600
T34	470	290	110	810	990	180
T35	770	900	220	130	980	490
T36	580	970	430	230	230	860
T37	820	830	290	910	370	780
T38	960	170	500	290	860	400
T39	180	300	890	440	850	990
T40	140	900	660	100	750	990
T41	720	160	410	140	540	200
T42	740	700	700	440	370	640
T43	610	930	720	910	560	980
T44	250	740	890	460	460	940
T45	320	550	690	960	910	770
T46	820	220	840	370	830	270
T47	890	370	720	920	870	410
T48	720	890	730	120	210	540
