	A1	A2	A3	A4	A5	A6
T1	730	410	430	970	770	790
T2	770	280	640	790	630	590
T3	960	960	370	210	160	760
T4	520	990	310	710	530	820
T5	990	740	220	690	370	140
T6	920	380	110	540	520	650
T7	580	300	440	310	230	120
T8	540	680	650	530	220	470
T9	490	130	900	580	230	790
T10	220	520	400	240	700	360
T11	370	700	700	800	610	760
T12	600	310	860	920	390	780
T13	250	490	520	690	650	490
T14	110	800	640	980	360	510
T15	410	290	340	470	950	450
T16	530	680	630	930	200	510
T17	750	790	600	170	940	600
T18	690	750	340	380	230	100
T19	140	220	880	320	320	500
T20	590	300	370	760	450	370
T21	410	140	320	610	710	290
T22	580	880	700	890	570	630
T23	290	140	230	610	890	680
T24	930	740	850	610	230	270
T25	380	220	190	880	860	250
T26	950	880	750	730	480	530
T27	770	890	540	330	810	750
T28	420	420	620	800	910	460
T29	160	140	640	850	890	660
T30	610	930	210	250	310	840
T31	450	860	790	110	240	910
T32	770	180	700	430	570	450
T33	500	820	460	950	590	200
T34	960	150	120	960	190	150
T35	360	520	590	760	150	400
T36	650	680	670	240	770	930
T37	340	970	230	760	620	190
T38	250	540	100	840	750	760
T39	720	170	410	290	400	950
T40	510	330	780	530	490	780
T41	670	200	540	240	440	960
T42	250	430	720	400	360	980
T43	130	760	290	660	510	390
T44	600	390	810	540	820	480
T45	220	930	140	580	690	360
T46	480	790	110	280	660	830
T47	620	860	910	570	310	990
T48	710	200	660	420	690	810
