	A1	A2	A3	A4
T1	450	480	250	410
T2	290	890	980	790
T3	320	280	310	360
T4	240	180	280	130
T5	860	960	590	530
T6	960	930	730	100
T7	170	360	130	690
T8	270	380	280	440
T9	270	950	620	830
T10	230	580	330	790
T11	380	240	830	480
T12	470	790	780	250
T13	790	230	530	330
T14	550	340	160	800
T15	180	530	500	870
T16	660	780	670	220
T17	310	540	510	770
T18	650	340	330	680
T19	340	200	220	700
T20	860	640	740	730
T21	130	850	260	770
T22	550	860	250	900
T23	690	430	720	130
T24	430	980	110	910
T25	100	730	370	920
T26	420	290	590	260
T27	540	850	270	830
T28	760	630	540	420
T29	110	150	820	220
T30	830	570	170	130
T31	840	970	150	280
T32	200	330	360	520
