	A1	A2	A3	A4	A5	A6	A7
T1	890	380	270	900	130	560	820
T2	910	190	370	330	720	660	610
T3	560	450	710	210	570	820	980
T4	860	550	640	880	440	450	870
T5	190	250	490	980	380	480	710
T6	440	340	960	800	520	950	120
T7	210	980	290	790	770	570	240
T8	600	930	590	350	920	130	250
T9	770	650	460	940	700	560	980
T10	740	380	820	340	240	820	240
T11	770	970	860	850	810	370	290
T12	190	370	150	320	450	470	980
T13	560	590	770	990	850	140	290
T14	820	890	840	440	680	320	350
T15	510	120	130	560	920	790	310
T16	790	700	170	760	490	110	830
T17	270	200	690	720	570	330	140
T18	950	690	230	350	290	120	770
T19	880	320	980	210	600	340	880
T20	930	130	720	990	770	620	490
T21	610	550	970	120	560	130	480
T22	830	880	930	130	950	210	630
T23	630	710	360	550	150	150	340
T24	990	700	170	630	550	730	910
T25	490	180	990	690	280	310	310
T26	520	270	960	390	830	670	920
T27	110	530	650	990	230	780	110
T28	870	820	230	520	110	130	550
T29	960	150	530	130	650	100	460
T30	900	510	760	300	420	210	510
T31	130	160	660	770	130	650	980
T32	600	820	550	760	820	250	800
T33	600	460	780	280	990	940	370
T34	820	710	170	990	710	620	650
T35	210	120	210	810	210	130	150
T36	660	370	430	110	660	400	570
T37	190	750	780	790	740	610	630
T38	150	790	110	610	600	190	420
T39	360	300	220	670	560	920	550
T40	370	390	150	740	100	650	500
T41	780	120	100	700	420	320	940
T42	510	920	340	790	950	730	520
T43	780	890	500	900	740	510	170
T44	690	250	120	780	330	900	440
T45	970	900	420	410	530	720	100
T46	670	840	120	290	380	540	820
T47	410	600	960	510	470	650	880
T48	140	420	450	530	710	790	150
T49	900	940	960	190	900	380	840
T50	550	180	940	410	810	840	500
T51	270	680	990	310	510	690	500
T52	730	260	480	260	630	210	960
T53	170	540	270	530	640	100	730
T54	360	230	160	130	750	250	650
T55	800	500	110	650	340	480	910
T56	130	300	160	210	520	210	390
T57	470	730	420	150	200	700	890
T58	230	930	490	260	770	370	660
T59	220	600	360	440	830	860	990
T60	150	590	980	500	120	750	450
T61	730	740	330	110	440	740	170
T62	960	770	660	710	920	170	910
T63	850	260	780	690	920	860	910
T64	230	990	890	170	710	570	600
T65	930	760	260	250	130	740	790
T66	840	480	820	380	160	280	760
T67	360	540	380	860	280	280	380
T68	120	400	800	120	920	520	720
T69	460	440	650	720	490	950	360
T70	510	550	520	970	440	740	190
T71	480	340	100	460	730	950	130
T72	430	680	910	420	530	160	460
T73	910	400	820	520	840	760	620
T74	830	120	220	870	900	150	530
T75	340	770	330	840	560	280	710
T76	540	350	320	470	430	840	790
T77	530	190	980	390	700	600	880
T78	970	590	600	470	230	550	480
T79	940	430	250	790	190	380	120
T80	660	860	840	580	120	280	390
T81	560	600	240	540	540	340	500
T82	630	100	140	970	630	720	820
T83	250	770	540	230	300	960	480
T84	570	870	160	610	680	690	430
T85	920	200	960	780	470	720	740
T86	540	920	870	360	870	690	890
T87	960	550	920	770	480	630	990
T88	470	140	120	690	610	190	830
T89	260	670	840	250	110	650	580
T90	520	920	110	690	920	320	820
T91	640	680	920	370	350	460	520
T92	800	810	480	920	550	700	740
T93	760	880	140	270	720	380	170
T94	220	490	100	560	860	970	230
T95	610	540	390	440	860	400	140
T96	680	330	270	790	150	400	650
T97	640	410	970	850	580	650	490
T98	320	710	470	960	710	670	740
T99	150	560	510	560	190	910	350
T100	250	700	810	730	880	540	760
T101	500	290	870	420	400	670	740
T102	850	940	120	900	970	480	820
T103	680	200	590	190	770	230	360
T104	100	370	350	100	440	910	860
T105	820	740	580	460	770	450	620
T106	920	680	680	470	130	710	260
T107	550	880	420	240	330	750	900
T108	770	780	540	500	240	270	220
T109	780	730	470	710	890	260	360
T110	630	120	210	610	250	990	890
T111	790	950	180	180	590	880	880
T112	500	970	160	500	980	110	960
T113	800	560	720	870	510	870	470
T114	130	960	730	300	540	250	700
T115	720	590	290	890	660	800	100
T116	750	820	860	250	580	200	850
T117	710	920	130	770	430	710	950
T118	680	110	970	690	470	210	170
T119	800	750	150	710	450	220	750
T120	720	660	790	560	830	640	200
T121	270	350	770	800	280	680	840
T122	430	110	570	270	850	880	540
T123	470	270	850	530	800	530	300
T124	640	570	160	430	150	220	520
T125	330	840	330	150	670	690	760
T126	570	470	160	110	300	530	160
T127	680	730	920	880	970	560	570
T128	800	370	290	280	210	970	220
T129	290	820	260	760	780	160	430
T130	950	710	720	670	420	360	740
T131	360	210	190	590	920	140	680
T132	970	570	520	670	270	640	940
T133	780	180	900	920	950	820	260
T134	570	500	160	560	920	570	610
T135	300	850	980	770	660	300	410
T136	830	270	250	490	750	790	570
T137	680	780	900	890	520	380	570
T138	800	680	390	970	800	410	700
T139	620	160	190	620	550	970	770
T140	570	760	110	760	580	180	210
T141	480	620	110	400	250	630	400
T142	990	780	910	320	380	740	470
T143	390	260	310	940	690	590	140
T144	460	160	850	270	270	710	920
T145	660	270	850	780	330	890	240
T146	210	260	660	910	490	380	280
T147	690	570	410	700	960	390	360
T148	370	620	320	340	490	790	680
T149	550	430	910	410	560	330	990
T150	680	370	210	340	170	980	210
T151	370	410	640	910	810	920	660
T152	890	190	480	360	330	490	300
T153	850	180	240	350	830	680	900
T154	920	120	390	340	440	150	600
T155	710	960	290	910	150	520	290
T156	310	540	980	630	840	600	880
T157	580	900	620	180	450	420	330
T158	660	570	700	190	420	790	320
T159	340	870	110	980	250	250	750
T160	430	270	990	130	510	820	550
T161	350	900	640	100	630	190	330
T162	210	900	240	160	720	380	400
T163	350	420	600	180	680	110	760
T164	690	540	270	210	240	430	110
T165	170	990	500	150	150	370	810
T166	460	700	310	990	260	880	570
T167	120	610	470	780	570	230	630
T168	240	790	500	350	570	190	830
T169	720	350	760	990	620	220	120
T170	500	190	640	540	990	160	910
T171	560	850	340	220	160	380	160
T172	880	930	410	420	110	460	800
T173	980	840	180	440	280	910	930
T174	300	930	370	810	540	790	330
T175	610	800	830	360	230	900	680
T176	700	890	230	820	550	310	260
T177	780	800	840	210	350	990	450
T178	590	220	100	270	970	160	250
T179	300	770	730	300	690	820	380
T180	300	210	960	900	560	840	390
T181	570	970	930	120	410	320	240
T182	720	250	280	230	370	600	330
T183	460	900	840	500	970	310	580
T184	670	330	810	420	630	650	430
T185	340	400	860	400	800	900	110
T186	820	950	200	890	690	920	350
T187	900	700	600	770	790	590	630
T188	310	730	560	830	610	400	620
T189	930	980	640	450	530	640	130
T190	520	270	230	810	890	240	180
T191	430	420	430	760	860	120	410
T192	610	520	970	540	860	160	160
T193	630	690	260	600	430	510	520
T194	740	680	170	390	800	910	720
T195	910	820	850	960	420	420	200
T196	670	420	520	400	210	260	270
T197	220	990	660	450	700	280	350
T198	940	630	390	860	370	890	380
T199	880	700	890	600	290	980	120
T200	500	110	450	150	210	510	970
T201	820	560	730	690	960	670	150
T202	440	470	230	690	390	100	580
T203	880	950	610	630	860	450	990
T204	490	660	920	470	690	170	560
T205	970	710	430	740	240	520	800
T206	470	770	890	620	490	190	460
T207	600	630	210	450	920	520	240
T208	750	890	520	680	160	300	750
T209	450	810	990	280	370	620	150
T210	630	640	220	900	950	670	290
T211	880	590	950	580	260	490	470
T212	500	610	760	610	470	940	410
T213	440	820	690	360	380	220	810
T214	150	270	550	920	710	720	550
T215	720	180	370	700	710	150	980
T216	290	700	190	210	950	210	320
T217	860	180	260	830	660	270	590
T218	630	820	700	540	860	140	130
T219	130	960	740	460	800	550	530
