	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	580	640	360	250	650	210	250	960	150	180
T2	630	430	400	500	230	400	580	610	500	310
T3	810	240	490	760	340	610	670	610	890	840
T4	240	540	370	740	750	170	350	760	680	870
T5	360	850	830	360	800	140	180	690	140	450
T6	530	530	710	180	230	910	950	280	130	470
T7	470	140	360	910	160	450	960	950	420	650
T8	610	320	700	110	860	430	500	730	260	360
T9	430	540	920	270	610	900	160	480	890	910
T10	360	940	100	640	700	890	110	860	140	210
T11	990	510	800	280	640	820	330	410	230	710
T12	970	220	880	220	240	610	620	300	790	720
T13	860	970	330	220	330	520	110	570	770	480
T14	990	910	290	130	930	530	710	900	110	680
T15	540	310	670	980	650	300	880	490	190	640
T16	630	460	220	970	350	490	510	110	590	110
T17	950	170	500	300	800	550	150	160	960	550
T18	160	850	690	400	220	770	650	680	660	880
T19	130	840	460	220	540	360	390	850	130	900
T20	550	270	760	600	360	340	570	890	800	650
T21	400	840	960	710	540	730	250	210	910	650
T22	260	710	320	810	580	420	310	700	340	820
T23	770	920	940	380	810	330	590	290	940	190
T24	500	600	460	830	410	420	720	280	220	940
T25	790	840	160	130	430	760	150	740	510	480
T26	230	330	190	720	680	340	330	590	830	140
T27	430	650	970	540	870	180	190	980	710	680
T28	540	290	790	430	260	640	320	810	390	550
T29	170	280	390	630	420	790	510	380	130	470
T30	500	250	570	360	370	170	840	970	630	500
T31	640	150	240	330	970	190	660	590	810	870
T32	310	110	120	440	630	450	590	260	150	590
T33	640	360	240	690	340	190	200	820	100	900
T34	190	560	610	920	700	590	130	390	800	580
T35	460	680	630	540	450	400	170	120	630	970
T36	450	600	970	110	840	300	420	500	800	670
T37	130	570	650	270	390	540	450	400	370	370
T38	740	510	450	770	180	930	380	780	430	150
T39	630	120	620	440	770	630	690	770	710	720
T40	650	920	920	340	780	710	770	230	830	150
T41	920	850	540	290	250	820	490	100	840	860
T42	490	150	690	600	260	390	350	930	650	400
T43	960	300	130	950	230	930	650	440	130	740
T44	650	470	350	180	470	620	540	830	850	790
T45	270	710	820	270	650	390	370	450	430	830
T46	570	450	960	670	460	700	190	160	850	590
T47	940	190	470	570	450	470	210	530	380	370
T48	240	580	370	240	330	220	860	530	740	320
T49	920	800	260	760	310	940	420	290	450	750
T50	150	170	720	350	900	750	600	700	990	250
T51	630	560	600	520	970	250	190	500	780	810
T52	100	650	390	840	200	350	730	200	260	380
T53	890	820	610	480	530	180	760	440	950	490
T54	600	560	340	290	560	780	580	190	440	950
T55	990	880	960	960	240	520	920	540	500	570
T56	240	810	520	450	890	460	680	340	970	770
T57	130	970	710	880	170	840	670	510	930	290
T58	930	540	820	550	830	410	200	570	960	520
T59	340	870	220	680	660	110	890	970	260	660
T60	410	260	360	480	390	100	750	950	250	370
T61	960	930	240	780	140	470	250	990	130	960
T62	660	940	200	340	990	450	470	910	730	760
T63	810	860	660	640	790	720	280	790	370	810
T64	900	470	110	190	460	570	830	390	950	550
T65	710	370	590	720	850	810	170	860	310	920
T66	410	200	250	970	950	610	430	510	220	920
T67	680	570	180	330	170	260	580	920	920	250
T68	830	570	120	770	750	380	570	730	360	690
T69	370	820	790	380	800	510	720	730	150	740
T70	700	980	900	710	680	970	570	240	520	330
T71	100	450	890	240	330	600	850	350	860	660
T72	990	880	290	170	590	730	350	770	820	600
T73	780	680	890	390	840	420	840	830	300	390
T74	500	840	680	950	820	100	300	170	560	230
T75	570	740	840	340	900	710	280	700	910	500
T76	450	390	410	350	510	300	640	790	470	290
T77	130	150	830	460	180	240	900	790	170	780
T78	760	310	800	390	820	300	490	120	280	430
