	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	950	550	580	120	140	590	740	870	510	740
T2	190	670	640	900	850	700	730	610	890	400
T3	990	950	980	420	820	510	670	570	440	260
T4	610	210	140	250	780	520	960	450	970	560
T5	230	240	280	940	650	490	680	790	500	660
T6	100	980	770	380	500	130	860	910	370	930
T7	790	500	120	550	270	600	680	790	610	690
T8	890	350	270	410	870	280	840	460	580	960
T9	190	630	440	880	260	590	460	290	970	320
T10	290	500	730	270	670	460	160	800	750	540
T11	480	360	290	830	830	790	560	390	430	550
T12	270	870	630	680	270	190	140	670	260	830
T13	370	400	150	740	160	150	810	180	360	570
T14	490	620	150	450	110	670	300	370	870	980
T15	480	890	740	650	420	480	400	960	570	170
T16	470	970	580	190	590	870	390	610	830	430
T17	360	710	920	580	760	290	490	770	780	350
T18	190	650	830	930	560	930	660	830	380	290
T19	950	530	120	850	970	220	140	660	240	710
T20	560	930	580	610	390	930	770	800	380	470
T21	130	510	260	420	250	300	500	380	280	790
T22	810	200	260	820	260	340	940	230	430	680
T23	950	290	510	880	830	430	100	690	940	880
T24	210	720	740	820	220	610	330	750	140	170
T25	510	890	460	650	280	390	970	840	700	410
T26	920	820	790	930	900	800	980	130	300	950
T27	200	810	100	370	840	950	860	510	670	740
T28	210	790	310	300	170	830	160	670	670	580
T29	810	850	900	940	570	510	210	350	350	490
T30	930	170	740	210	590	860	100	450	340	890
T31	500	200	370	860	120	440	480	360	320	360
T32	420	570	830	940	140	240	850	610	170	380
T33	120	780	890	710	400	680	600	830	410	630
T34	950	970	480	110	630	330	530	860	610	160
T35	440	370	450	450	900	310	620	800	800	460
T36	370	320	420	460	620	690	250	170	540	530
T37	430	280	390	200	930	290	700	560	260	440
T38	370	320	120	550	560	760	750	730	110	490
T39	190	620	240	740	200	100	950	390	830	680
T40	270	480	120	880	780	660	750	530	990	480
T41	940	290	630	440	570	380	300	200	900	150
T42	190	720	260	710	950	510	560	770	820	940
T43	350	780	820	280	930	750	870	500	190	830
T44	220	930	900	710	990	820	250	340	770	690
