	A1	A2	A3	A4	A5	A6
T1	180	250	290	360	150	590
T2	660	870	180	150	810	960
T3	840	580	310	520	870	160
T4	520	470	630	170	270	560
T5	900	820	130	530	740	320
T6	350	950	670	360	600	950
T7	300	730	270	380	830	850
T8	570	270	840	620	620	150
T9	480	830	930	130	580	390
T10	160	570	240	110	760	710
T11	200	440	150	780	470	980
T12	290	430	710	410	840	690
T13	670	500	450	260	300	800
T14	460	590	810	900	750	490
T15	110	860	780	140	620	660
T16	860	500	500	950	280	300
T17	100	610	680	910	480	830
T18	190	470	700	240	610	370
T19	280	580	430	630	990	610
T20	740	620	190	580	610	220
T21	560	970	790	280	900	920
T22	340	600	590	950	910	660
T23	720	570	340	330	270	660
T24	280	340	880	750	440	230
T25	270	550	280	880	870	220
T26	920	100	860	880	660	700
T27	940	420	950	310	420	650
T28	690	500	750	650	840	170
T29	280	600	920	730	510	210
T30	940	890	280	580	230	680
T31	400	510	690	500	690	140
T32	700	950	700	370	670	600
T33	890	410	150	720	920	510
T34	790	370	120	480	420	800
T35	860	640	180	270	990	450
T36	330	180	710	760	800	710
T37	160	610	130	990	520	790
T38	380	950	720	290	900	480
T39	760	740	290	280	220	770
T40	800	330	410	720	390	750
T41	900	700	850	590	670	600
T42	770	390	130	420	600	440
T43	590	930	950	150	890	600
T44	630	460	300	710	410	230
T45	460	610	940	780	220	720
T46	840	580	240	410	410	410
T47	450	720	430	910	480	110
T48	820	370	520	470	200	340
