	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	760	250	150	220	820	570	110	130	400	590	410	990	880	840
T2	120	500	800	150	210	870	390	460	170	370	500	820	670	410
T3	610	710	930	640	250	160	820	220	270	690	550	240	350	290
T4	800	690	120	410	950	700	490	320	630	200	420	180	880	710
T5	490	540	380	160	730	970	100	760	650	910	690	300	250	620
T6	910	780	400	680	390	300	210	170	130	490	800	580	630	760
T7	330	600	240	410	190	320	270	540	620	200	530	220	630	890
T8	320	580	370	900	190	370	600	210	590	270	590	900	330	190
T9	870	600	170	770	810	170	570	240	590	300	910	910	320	710
T10	540	240	500	640	950	240	550	690	790	780	940	510	810	310
T11	270	200	700	950	280	930	720	160	310	230	110	540	120	280
T12	470	820	140	650	290	640	110	470	360	290	250	560	850	510
T13	730	470	740	480	850	460	280	480	440	980	770	330	290	730
T14	160	590	680	330	470	900	330	670	690	930	100	230	860	320
T15	670	960	420	850	530	180	890	980	660	470	480	860	900	820
T16	270	790	380	160	330	530	150	710	460	600	710	970	760	240
T17	540	730	150	380	330	120	470	100	930	740	930	690	750	950
T18	950	660	830	260	680	220	990	370	770	970	870	390	890	830
T19	500	900	270	410	370	100	590	310	980	920	190	980	990	270
T20	240	970	380	520	330	550	310	640	150	510	570	110	700	820
T21	240	170	140	900	270	430	300	280	350	180	370	190	390	580
T22	110	700	810	390	820	470	790	800	450	260	320	650	270	240
T23	600	980	490	350	950	400	770	750	910	790	400	230	420	280
T24	480	900	440	710	380	850	700	490	820	310	570	920	850	970
T25	850	690	160	470	960	360	800	510	920	240	950	510	290	200
T26	770	840	750	250	750	870	130	370	250	100	670	510	540	980
T27	790	780	390	660	780	740	460	270	290	650	190	710	630	100
T28	490	790	240	560	670	100	330	550	890	980	970	560	810	750
T29	520	500	710	920	560	430	170	760	400	810	690	160	230	260
T30	870	840	780	270	640	870	620	190	150	270	250	370	930	360
T31	460	480	560	630	550	770	780	920	190	860	580	430	360	360
T32	710	190	180	260	980	110	870	340	770	340	970	660	680	470
T33	450	130	660	320	340	120	140	140	110	730	800	720	340	570
T34	520	470	710	810	720	430	810	460	390	830	340	120	500	340
T35	350	400	180	960	820	640	900	850	670	180	870	720	700	900
T36	640	410	580	400	980	290	140	430	130	460	780	190	520	580
T37	660	160	720	110	200	480	950	520	780	930	640	600	680	470
T38	540	870	810	930	140	630	370	420	760	440	450	900	930	470
T39	830	260	360	220	550	160	610	390	280	270	660	540	930	920
T40	680	950	350	760	290	780	750	190	320	460	680	880	780	490
T41	870	990	990	580	370	900	780	580	860	580	460	370	110	260
T42	150	200	900	260	710	100	520	300	230	410	600	350	520	520
T43	530	320	650	250	360	620	800	770	890	540	950	130	660	930
T44	560	990	280	500	310	230	450	100	500	800	140	720	850	470
T45	720	190	400	230	460	420	680	620	930	490	590	390	890	490
T46	570	910	190	570	400	240	270	640	810	400	720	310	620	910
T47	740	570	390	460	920	720	810	330	240	960	940	560	860	180
T48	520	320	640	870	940	960	310	900	860	580	770	900	640	380
T49	130	150	830	520	150	630	870	130	490	720	720	340	270	680
T50	610	700	520	840	560	660	960	940	550	900	830	160	600	890
T51	840	250	930	130	620	640	700	540	690	740	460	500	530	200
T52	370	310	340	200	570	280	650	780	700	750	900	250	120	590
T53	400	220	990	330	140	120	200	110	900	590	910	530	380	220
T54	820	280	670	360	210	580	560	390	890	260	940	410	500	860
T55	910	550	970	520	170	470	410	570	840	550	610	420	940	650
T56	800	990	560	700	970	170	930	440	660	790	360	110	440	550
T57	270	190	360	440	180	120	230	680	720	150	630	430	190	240
T58	630	800	850	690	430	670	150	250	220	690	160	180	100	680
T59	290	670	860	610	170	350	990	180	780	140	630	420	420	810
T60	560	220	260	950	930	900	590	970	850	420	750	420	350	100
T61	850	200	430	970	580	230	160	250	190	640	940	290	770	110
T62	460	880	580	370	140	700	140	500	330	150	490	810	980	510
T63	390	550	440	430	670	560	950	230	910	850	830	810	430	330
T64	740	370	760	440	750	450	340	100	760	580	430	670	260	250
T65	340	710	270	530	100	930	740	760	230	100	120	170	930	660
T66	690	810	160	800	190	240	150	650	720	290	980	510	960	440
T67	910	310	240	970	470	470	790	760	790	650	590	560	610	760
T68	430	510	270	890	280	540	400	990	950	860	550	710	110	180
T69	640	160	360	360	900	610	140	170	590	400	720	420	100	650
T70	870	490	280	530	130	700	240	360	940	330	210	780	720	840
T71	580	840	740	540	760	930	350	520	420	170	750	410	520	650
T72	360	460	550	170	350	820	510	980	920	750	400	290	870	220
T73	590	570	330	940	890	460	540	830	700	750	440	560	690	690
T74	700	990	980	310	400	750	690	860	280	250	130	820	410	800
T75	320	710	960	510	370	530	120	690	630	190	450	840	900	370
T76	670	330	380	700	860	160	690	810	210	320	480	620	510	210
T77	890	630	990	190	900	580	390	290	480	830	100	160	400	120
T78	730	880	590	750	750	420	610	900	230	550	550	510	730	380
T79	570	250	250	140	830	570	880	650	220	490	250	950	830	760
T80	450	240	400	230	230	620	290	840	870	750	380	530	290	780
T81	880	100	490	100	890	110	390	860	620	640	840	660	780	610
T82	910	890	520	510	520	510	500	130	360	560	670	510	360	120
T83	520	770	130	300	710	600	200	320	250	980	910	260	790	540
T84	300	170	250	330	340	550	310	990	200	560	240	140	730	490
T85	560	980	290	270	320	220	780	960	170	530	360	170	430	460
T86	410	400	460	840	850	350	770	520	640	840	110	530	170	760
T87	610	680	260	870	820	710	680	370	790	820	480	220	150	160
T88	150	360	840	560	660	930	440	210	850	510	620	830	530	960
T89	350	220	240	750	410	270	170	210	680	280	370	600	210	720
