	A1	A2	A3	A4	A5	A6
T1	600	790	760	900	410	150
T2	940	750	340	970	510	580
T3	480	150	820	660	930	780
T4	340	490	920	650	630	510
T5	870	520	340	410	210	110
T6	620	110	860	220	920	320
T7	100	720	970	190	710	310
T8	500	370	260	170	630	120
T9	930	140	740	390	420	550
T10	110	950	210	340	610	790
T11	160	430	560	710	630	890
T12	690	210	460	680	970	830
T13	310	130	430	610	160	840
T14	680	140	540	570	180	970
T15	970	520	870	680	260	920
T16	770	670	200	440	220	350
T17	580	970	270	140	980	540
T18	480	270	890	150	700	330
T19	730	620	430	920	490	430
T20	640	120	540	460	170	670
T21	880	750	860	350	850	930
T22	580	200	460	100	540	760
T23	460	580	600	500	530	510
T24	300	870	410	280	220	790
