	A1	A2	A3	A4	A5	A6
T1	540	200	270	270	790	430
T2	850	340	100	230	780	200
T3	440	660	540	330	480	800
T4	890	820	530	200	310	520
T5	970	950	660	400	160	120
T6	390	560	730	700	540	800
T7	570	270	400	880	650	430
T8	450	570	200	150	770	650
T9	920	620	220	650	930	840
T10	280	280	830	710	360	630
T11	520	720	780	620	340	240
T12	760	220	380	980	720	170
T13	500	650	410	930	330	770
T14	460	750	570	890	480	290
T15	150	620	560	310	570	790
T16	320	310	380	220	220	220
T17	360	100	360	460	580	280
T18	200	520	130	300	890	970
T19	790	290	160	740	140	240
T20	450	820	160	210	890	850
T21	230	190	910	530	650	140
T22	390	520	810	260	730	330
T23	470	560	600	140	700	880
T24	310	430	940	170	700	400
