	A1	A2	A3	A4	A5
T1	320	450	310	890	580
T2	880	180	650	340	390
T3	250	750	750	460	900
T4	810	400	720	430	980
T5	470	640	930	130	410
T6	980	820	150	200	150
T7	550	550	370	120	740
T8	820	830	930	130	540
T9	430	570	300	940	620
T10	220	330	240	200	180
T11	140	280	110	500	670
T12	710	770	630	130	810
T13	200	230	550	640	370
T14	880	650	190	140	670
T15	870	620	910	430	730
T16	730	660	420	480	370
T17	430	370	780	570	810
T18	810	210	690	370	600
T19	500	840	320	300	110
T20	450	370	790	890	390
T21	400	130	910	610	680
T22	550	390	740	940	660
T23	110	770	740	900	580
T24	330	870	680	520	470
T25	120	190	810	380	340
T26	660	440	650	950	480
T27	550	140	260	640	950
T28	990	330	230	900	530
T29	410	840	700	500	290
T30	260	550	950	500	110
T31	460	820	430	510	400
T32	380	820	540	380	120
T33	170	770	690	840	400
T34	970	850	340	450	170
T35	730	730	840	640	830
T36	790	190	350	730	590
T37	320	520	950	250	840
T38	590	430	940	460	810
T39	840	940	670	310	390
T40	930	720	650	500	280
T41	820	490	320	980	480
T42	230	910	650	560	370
T43	150	950	290	540	280
T44	950	330	520	690	520
T45	740	430	430	440	910
T46	260	990	880	710	660
T47	790	530	760	150	780
T48	950	200	960	940	900
T49	430	300	650	760	240
T50	280	120	210	680	150
T51	630	520	810	190	950
T52	180	820	390	390	350
T53	660	940	860	760	560
T54	420	870	590	400	940
T55	690	220	750	440	270
T56	710	450	290	910	110
T57	230	470	880	860	470
T58	890	880	790	190	500
T59	710	940	470	800	290
T60	530	290	160	810	180
T61	250	810	610	940	560
T62	630	910	190	810	760
T63	960	700	420	450	200
T64	590	690	140	110	210
T65	250	720	300	760	100
T66	990	260	660	660	140
T67	990	320	260	210	310
T68	460	680	410	300	820
T69	990	890	790	310	840
T70	300	450	530	980	550
T71	560	190	620	620	460
T72	250	300	660	990	310
T73	680	680	860	420	520
T74	140	720	110	460	640
T75	140	700	300	900	540
T76	700	210	550	100	380
T77	180	610	600	340	410
T78	190	710	750	710	390
T79	550	430	180	550	440
T80	310	580	860	270	390
T81	270	350	360	260	820
T82	690	400	410	120	980
T83	140	120	240	320	930
T84	320	460	930	980	510
T85	400	370	930	320	630
T86	420	960	200	790	920
T87	360	100	880	660	650
T88	380	630	710	190	940
T89	220	880	810	100	820
T90	990	430	870	170	320
T91	910	930	800	300	660
T92	540	400	750	790	220
T93	590	380	480	360	570
T94	330	420	480	700	630
T95	140	630	860	980	490
T96	330	720	490	170	630
T97	960	100	650	780	240
T98	700	570	110	140	850
T99	650	330	290	780	400
T100	630	570	350	620	230
T101	150	870	840	600	430
T102	940	780	420	590	200
T103	780	750	680	860	500
T104	490	750	950	230	670
T105	700	560	750	570	170
T106	550	970	330	950	350
T107	450	210	150	570	950
T108	650	790	170	890	620
T109	390	680	160	220	880
T110	570	500	150	770	870
T111	760	480	180	410	140
T112	810	280	870	630	870
T113	610	740	820	860	560
T114	740	740	650	760	310
T115	860	490	670	720	780
T116	940	590	760	470	780
T117	950	620	980	350	170
T118	510	820	390	460	350
T119	250	790	600	840	400
T120	960	380	120	750	770
T121	350	130	720	790	820
T122	470	580	260	900	160
T123	440	610	620	720	690
T124	670	940	150	120	190
T125	900	190	330	100	230
T126	940	350	130	770	930
T127	750	150	600	540	200
T128	180	560	760	510	970
T129	590	280	520	430	740
T130	240	520	940	350	330
T131	190	330	240	440	110
T132	450	290	540	470	360
T133	340	190	800	140	950
T134	100	400	660	870	230
T135	820	170	150	790	130
T136	690	890	410	930	160
T137	730	330	600	390	940
T138	280	140	150	740	280
T139	430	570	530	130	240
T140	340	700	400	830	150
T141	710	770	640	800	540
T142	230	810	840	760	160
T143	130	700	500	590	950
T144	880	900	580	500	980
T145	280	940	930	900	110
T146	720	670	690	850	810
T147	970	480	110	320	140
T148	330	600	430	990	300
T149	770	400	790	370	220
T150	830	970	460	880	200
T151	800	400	520	790	810
T152	550	590	420	900	200
T153	500	280	780	520	360
T154	980	730	350	880	600
T155	910	130	700	690	360
T156	890	120	900	680	150
T157	740	220	160	720	270
T158	880	720	410	940	130
T159	380	200	980	940	580
T160	920	100	930	730	360
T161	690	820	760	610	730
T162	490	190	840	860	740
T163	600	920	560	740	120
T164	610	260	350	190	940
T165	520	700	590	450	880
T166	380	200	720	510	360
T167	380	210	990	580	120
T168	540	570	620	250	440
T169	860	620	950	110	490
T170	690	510	930	720	880
T171	180	950	250	410	660
T172	150	500	760	500	770
T173	810	250	220	900	190
T174	730	650	630	340	810
T175	940	280	190	920	130
T176	710	570	960	180	540
T177	600	810	410	490	990
T178	480	350	270	360	170
T179	990	180	610	530	220
T180	530	760	190	700	210
T181	900	180	380	400	190
T182	860	840	100	320	810
T183	870	180	490	960	360
T184	790	770	210	220	990
T185	920	680	410	360	360
T186	220	110	420	600	340
T187	760	950	980	410	640
T188	900	330	240	980	520
T189	320	170	360	430	860
T190	970	320	680	570	250
T191	970	470	130	970	640
T192	610	160	800	430	970
T193	360	980	740	910	960
T194	230	610	110	440	150
T195	470	570	360	210	400
T196	710	230	360	230	870
T197	230	900	840	930	470
T198	450	940	320	400	800
T199	850	750	710	470	220
T200	200	670	320	210	630
T201	840	340	460	740	530
T202	890	960	710	160	720
T203	300	320	640	340	700
T204	610	300	310	790	400
T205	460	500	510	900	980
T206	860	780	730	210	830
T207	190	170	360	130	590
T208	250	160	460	830	830
T209	310	350	500	460	770
T210	880	360	430	620	330
T211	670	380	620	970	960
T212	720	480	750	720	560
T213	430	850	260	970	470
T214	590	190	110	440	350
T215	390	990	540	150	260
T216	230	950	160	790	390
T217	700	910	760	410	920
T218	130	920	190	840	990
T219	790	220	170	750	170
T220	440	190	450	200	450
T221	370	800	530	270	230
T222	560	120	350	940	610
T223	520	540	490	260	740
T224	650	920	600	440	360
T225	920	380	140	780	700
T226	370	880	340	210	910
T227	600	390	890	640	900
T228	610	360	680	940	110
T229	680	510	890	930	590
T230	180	120	300	740	180
T231	780	170	370	540	200
T232	860	970	340	200	680
T233	710	160	670	570	400
T234	610	330	680	650	210
T235	840	270	210	110	630
T236	860	860	300	900	160
T237	460	420	900	690	440
T238	240	790	250	360	530
T239	500	940	440	710	500
T240	600	740	260	810	630
T241	360	590	400	900	950
T242	960	500	350	950	160
T243	830	140	650	430	250
T244	610	280	340	330	220
T245	540	830	360	650	210
T246	490	440	950	410	680
T247	360	470	420	930	480
T248	380	330	500	920	540
T249	880	500	700	270	150
T250	980	300	140	570	370
T251	970	510	530	660	460
T252	850	840	930	420	460
T253	300	110	740	100	850
T254	100	320	830	170	890
T255	900	260	300	720	560
T256	140	250	870	300	410
T257	150	630	160	560	960
T258	340	260	210	330	780
T259	520	650	900	540	500
T260	140	260	490	960	640
T261	430	650	770	780	520
T262	790	960	130	360	780
T263	380	640	110	510	510
T264	210	840	140	700	550
T265	430	340	560	630	970
T266	560	700	600	460	770
T267	570	940	610	310	140
T268	790	110	770	330	980
T269	790	740	920	760	130
T270	280	730	680	300	260
T271	360	450	300	680	980
T272	700	720	200	460	340
T273	540	680	810	950	440
T274	830	200	400	670	840
T275	660	510	380	690	540
T276	960	380	980	740	420
T277	920	250	860	990	120
T278	160	590	120	890	130
T279	290	130	350	220	620
T280	250	120	630	150	660
T281	870	940	790	210	420
T282	670	670	290	180	410
T283	720	630	510	270	650
T284	780	260	610	550	850
T285	560	180	270	780	270
T286	510	560	600	160	620
T287	830	680	590	440	740
T288	460	630	420	630	540
T289	580	910	480	430	430
