	A1	A2	A3	A4	A5	A6
T1	330	380	100	480	480	130
T2	940	840	580	120	840	270
T3	160	130	340	740	490	690
T4	800	230	570	290	990	910
T5	390	760	230	580	100	650
T6	520	150	500	290	370	960
T7	380	370	610	630	670	720
T8	120	740	190	790	580	380
T9	110	820	430	920	780	840
T10	880	760	890	110	430	660
T11	500	210	750	750	610	390
T12	700	840	750	320	600	680
T13	550	200	720	240	420	900
T14	340	880	260	130	530	860
T15	290	920	920	910	600	940
T16	430	640	690	720	190	890
T17	250	910	520	660	880	910
T18	210	990	610	160	230	440
T19	520	460	620	390	450	230
T20	480	970	890	250	730	980
T21	450	760	740	890	310	590
T22	310	410	900	880	460	460
T23	560	330	750	810	700	410
T24	750	920	830	220	140	170
T25	180	510	320	960	580	310
T26	540	180	960	590	780	480
T27	530	420	850	380	200	630
T28	860	600	520	760	670	150
T29	990	860	550	880	240	130
T30	200	550	880	470	110	560
T31	930	990	640	920	550	140
T32	110	570	620	340	610	470
T33	280	270	530	910	750	610
T34	180	350	890	750	720	230
T35	260	640	790	860	470	410
T36	910	780	950	280	180	700
T37	710	190	240	870	780	990
T38	670	680	440	650	560	710
T39	870	960	700	740	120	840
T40	910	250	980	990	920	820
T41	110	220	900	430	240	340
T42	450	850	320	940	460	160
T43	240	390	650	330	790	260
T44	830	730	320	100	720	800
T45	690	980	250	700	260	390
T46	370	360	310	840	820	650
T47	610	530	970	630	830	980
T48	750	520	170	320	140	420
T49	420	850	660	360	390	810
T50	370	150	320	830	420	560
T51	140	990	620	980	260	140
T52	930	940	370	120	490	600
T53	920	220	460	820	870	810
T54	920	340	380	620	700	940
T55	260	270	130	670	710	470
T56	750	500	400	280	160	870
T57	140	120	700	550	700	170
T58	880	200	450	360	990	780
T59	710	380	610	710	810	970
T60	630	420	480	490	850	350
T61	580	450	380	880	480	200
T62	770	520	240	680	660	870
T63	830	170	860	820	930	100
T64	650	690	770	650	900	960
T65	560	300	910	590	960	940
T66	330	450	150	950	300	830
T67	760	110	300	440	880	870
T68	990	160	540	420	290	380
T69	200	840	460	840	360	180
T70	200	880	110	280	610	120
T71	180	750	940	860	760	390
T72	560	830	990	640	220	880
T73	410	250	860	920	510	290
T74	770	750	250	610	800	850
T75	100	150	530	790	890	500
T76	410	290	320	730	680	360
T77	470	170	180	390	180	900
T78	700	380	500	230	540	490
T79	300	250	990	240	810	580
T80	770	980	440	460	620	580
T81	420	540	720	520	240	780
T82	970	470	520	560	280	510
T83	920	740	620	100	430	550
T84	200	980	970	940	730	620
T85	900	560	720	800	240	520
T86	710	580	310	970	150	790
T87	100	180	500	980	230	690
T88	680	190	290	740	800	410
T89	310	490	740	340	240	100
T90	510	670	230	150	430	650
T91	570	960	110	680	750	120
T92	900	800	390	810	120	160
T93	500	790	500	740	520	760
T94	410	600	490	760	420	340
T95	190	410	660	310	820	270
T96	860	480	820	480	350	250
