	A1	A2	A3	A4	A5	A6
T1	890	760	240	760	800	410
T2	190	510	540	920	910	660
T3	940	430	560	800	590	510
T4	920	580	920	600	440	360
T5	430	700	950	840	210	210
T6	730	890	670	710	900	290
T7	900	390	160	560	640	840
T8	380	730	120	280	170	910
T9	600	720	610	590	340	120
T10	130	540	950	740	430	970
T11	790	330	770	640	320	390
T12	820	350	530	430	970	530
T13	810	680	460	830	620	740
T14	640	430	370	270	930	900
T15	920	270	150	560	620	120
T16	210	880	620	740	960	400
T17	820	120	140	350	590	730
T18	830	350	660	230	410	930
T19	510	120	410	300	250	820
T20	350	210	160	470	220	470
T21	140	240	630	260	690	220
T22	590	910	160	650	790	900
T23	670	780	460	710	160	900
T24	800	680	790	380	640	420
T25	760	410	860	430	250	860
T26	550	480	890	380	700	440
T27	820	930	140	520	420	510
T28	950	940	920	900	590	900
T29	500	750	900	840	100	360
T30	770	890	130	300	240	640
T31	910	730	500	370	250	270
T32	600	770	110	900	810	890
T33	140	580	120	120	290	140
T34	480	590	450	300	590	190
T35	950	180	680	910	600	200
T36	890	490	280	660	870	710
T37	470	290	690	350	960	740
T38	860	430	280	700	190	370
T39	600	980	510	670	690	910
T40	430	340	870	270	190	500
T41	430	470	620	820	810	830
T42	870	440	950	850	700	320
T43	690	430	650	280	390	610
T44	920	880	450	520	950	420
T45	840	720	670	690	200	700
T46	850	370	180	120	940	470
T47	650	310	440	170	910	870
T48	330	480	250	250	490	280
T49	290	390	620	210	820	790
T50	500	440	810	120	730	420
T51	600	180	720	560	520	480
T52	590	330	740	420	470	740
T53	780	100	580	550	840	810
T54	350	340	180	130	300	380
T55	450	520	270	190	160	570
T56	600	960	260	890	940	500
T57	210	600	140	790	860	510
T58	660	330	850	920	350	280
T59	930	150	500	220	570	250
T60	140	850	330	920	600	670
T61	960	870	390	760	950	280
T62	350	420	910	230	350	170
T63	430	640	600	560	760	130
T64	380	920	810	460	560	100
T65	140	460	710	760	560	630
T66	240	490	880	580	100	920
T67	300	420	890	760	730	690
T68	960	440	420	550	800	950
T69	450	860	180	180	150	420
T70	840	290	350	570	840	210
T71	850	420	930	570	370	330
T72	540	130	210	120	860	430
T73	560	660	700	840	880	310
T74	820	820	870	350	430	410
T75	630	430	650	240	160	170
T76	490	350	710	970	710	280
T77	310	670	310	210	190	770
T78	570	400	900	280	370	340
T79	580	930	990	980	890	520
T80	740	120	100	510	630	380
T81	280	770	390	730	690	100
T82	950	500	220	980	480	800
T83	280	690	830	860	160	540
T84	730	240	560	440	460	150
T85	130	780	140	710	610	410
T86	200	750	760	110	100	340
T87	630	780	540	720	960	180
T88	150	830	570	360	520	100
T89	990	910	670	680	500	820
T90	220	570	650	690	680	220
T91	420	120	220	470	950	580
T92	260	270	420	320	840	690
T93	380	520	910	850	720	510
T94	410	450	140	970	790	610
T95	600	720	770	530	570	120
T96	720	170	350	890	250	780
T97	370	840	470	870	390	530
T98	850	610	170	190	300	500
T99	120	180	770	160	410	860
T100	460	540	250	690	560	770
T101	300	260	890	420	880	170
T102	120	770	100	280	880	360
T103	860	280	830	380	420	800
T104	320	360	130	170	350	580
T105	690	960	500	550	640	930
T106	430	130	410	720	560	820
T107	290	520	570	870	100	660
T108	550	610	140	130	890	450
T109	820	670	860	750	240	200
T110	980	100	610	810	990	780
T111	990	730	650	460	310	390
T112	160	480	390	110	900	760
T113	580	320	260	460	920	450
T114	430	220	780	330	960	570
T115	890	890	290	390	490	340
T116	420	380	330	780	470	250
T117	370	760	760	490	170	720
T118	180	320	150	700	980	870
T119	350	170	320	490	680	700
T120	100	930	430	230	540	940
T121	820	100	770	550	280	690
T122	690	790	610	820	560	250
T123	730	620	100	460	640	160
T124	930	980	820	740	540	540
T125	480	550	860	770	360	410
T126	120	140	940	900	200	280
T127	960	780	330	520	700	830
T128	120	680	190	960	860	810
