	A1	A2	A3	A4	A5	A6
T1	880	890	120	170	110	200
T2	610	800	400	120	350	140
T3	640	270	780	570	280	920
T4	120	250	140	110	580	590
T5	600	420	100	480	980	480
T6	660	680	100	250	880	930
T7	140	290	680	560	310	200
T8	530	820	570	240	790	210
T9	430	960	380	270	660	320
T10	960	300	410	320	390	880
T11	760	190	500	330	230	570
T12	740	960	920	150	150	140
T13	690	200	590	750	350	450
T14	360	650	790	220	930	960
T15	300	700	590	820	350	740
T16	530	560	550	500	920	170
T17	580	520	180	740	550	600
T18	640	300	280	850	620	760
T19	270	200	570	210	220	790
T20	990	990	200	870	860	660
T21	470	870	370	780	910	540
T22	370	680	100	890	630	580
T23	390	430	920	250	560	310
T24	180	480	580	260	110	640
T25	630	190	160	280	110	480
T26	660	410	830	110	680	450
T27	110	300	300	680	670	510
T28	610	530	700	100	930	960
T29	680	570	910	340	120	160
T30	560	380	150	360	920	750
T31	660	730	730	270	270	130
T32	370	950	340	560	850	150
T33	700	220	310	940	480	600
T34	220	620	660	290	680	240
T35	210	800	770	750	370	220
T36	680	320	870	100	930	950
T37	990	790	710	720	430	310
T38	370	370	550	610	790	550
T39	280	340	660	610	250	930
T40	370	800	990	700	330	940
T41	140	800	610	720	960	890
T42	200	390	280	730	440	720
T43	780	580	990	490	180	830
T44	580	170	860	100	640	110
T45	660	790	840	650	940	380
T46	240	350	710	320	710	910
T47	730	810	140	830	860	780
T48	470	390	600	380	720	500
T49	110	930	120	310	750	930
T50	920	170	380	410	120	200
T51	890	860	500	810	540	660
T52	510	180	930	160	750	860
T53	690	470	100	700	400	520
T54	470	810	110	700	100	890
T55	140	100	970	960	980	370
T56	560	110	100	880	210	800
T57	930	150	190	960	310	320
T58	890	920	900	310	140	370
T59	390	800	870	610	650	650
T60	130	850	690	580	930	220
T61	730	590	490	760	140	710
T62	820	590	610	520	380	180
T63	500	700	850	520	820	910
T64	900	900	480	620	490	530
