	A1	A2	A3	A4
T1	950	370	830	110
T2	490	260	380	860
T3	230	680	780	840
T4	430	190	440	800
T5	810	290	240	540
T6	290	110	490	820
T7	370	220	600	290
T8	750	460	120	180
T9	810	970	510	680
T10	240	430	340	350
T11	490	490	260	320
T12	720	460	780	860
T13	690	240	510	890
T14	190	840	170	460
T15	350	220	180	190
T16	820	340	540	140
T17	510	660	160	800
T18	330	670	550	640
T19	950	740	830	220
T20	520	440	610	720
T21	990	850	900	210
T22	750	740	880	180
T23	520	230	430	300
T24	390	610	780	310
