	A1	A2	A3	A4	A5	A6	A7	A8	A9
T1	490	590	480	650	920	900	710	340	190
T2	970	550	800	220	780	880	990	800	370
T3	680	650	620	910	690	720	860	620	360
T4	500	320	820	640	820	960	230	710	970
T5	710	770	210	950	180	870	880	960	340
T6	270	550	940	320	350	700	440	720	450
T7	390	800	220	280	200	470	530	420	520
T8	150	200	970	990	180	170	970	520	240
T9	570	290	730	560	390	150	600	170	990
T10	430	290	700	870	630	730	720	950	260
T11	280	750	500	700	360	180	440	300	230
T12	590	640	770	620	160	530	280	740	280
T13	820	840	450	110	420	920	380	840	510
T14	330	260	190	600	280	200	600	180	660
T15	130	530	480	210	980	720	540	230	110
T16	530	210	950	500	720	450	260	210	120
T17	850	700	830	220	130	660	750	450	360
T18	670	930	680	230	110	150	820	680	300
T19	950	680	540	730	720	700	720	410	390
T20	230	300	260	780	490	750	140	250	850
T21	110	730	310	420	830	840	310	610	360
T22	830	560	240	940	280	830	720	440	460
T23	290	370	960	720	500	150	230	710	940
T24	850	190	540	650	620	420	560	860	410
T25	950	540	630	120	290	180	410	120	880
T26	500	470	330	460	200	390	930	100	670
T27	160	140	620	790	370	400	610	240	540
T28	710	430	940	640	270	760	660	200	120
T29	140	370	810	710	780	220	860	170	780
T30	120	620	750	870	780	640	820	900	770
T31	780	200	700	230	320	210	270	480	210
T32	690	140	180	870	970	210	320	840	450
T33	400	560	890	110	620	640	460	810	300
T34	490	270	460	850	950	580	600	930	950
T35	610	180	530	560	460	800	720	630	810
T36	520	140	370	660	770	240	210	950	910
T37	510	650	740	280	590	190	260	290	110
T38	160	720	430	430	430	630	770	220	100
T39	820	640	480	660	640	460	660	750	640
T40	730	280	670	880	550	490	490	440	890
T41	160	530	530	110	520	990	100	100	580
T42	830	930	250	260	300	750	240	590	860
T43	230	610	450	240	160	110	700	340	480
T44	870	290	560	170	790	630	510	140	480
T45	410	700	930	190	210	720	640	360	920
T46	630	410	540	360	450	130	800	180	640
T47	200	500	550	780	730	110	360	320	440
T48	660	670	610	200	280	610	810	830	690
T49	920	930	830	740	510	400	660	190	860
T50	210	800	650	420	550	530	880	900	270
T51	940	450	730	300	960	880	760	890	180
T52	460	970	710	620	620	720	440	530	910
T53	200	670	470	610	940	950	520	510	670
T54	700	530	820	360	500	290	310	140	600
T55	530	460	670	650	890	860	600	560	140
T56	160	340	150	420	220	460	750	110	520
T57	440	400	670	950	930	230	160	290	450
T58	810	370	550	770	580	820	440	940	360
T59	460	740	530	390	900	570	160	640	220
T60	340	340	210	330	980	780	710	570	970
T61	970	330	840	220	360	260	440	820	450
T62	640	270	170	270	160	870	640	380	450
T63	910	710	790	850	300	550	640	660	530
T64	180	980	830	600	570	440	990	590	490
T65	670	240	750	940	150	750	260	770	210
T66	950	210	980	520	600	520	810	560	500
T67	360	410	910	760	280	620	100	510	940
T68	610	310	930	800	540	610	430	340	750
T69	990	790	360	910	130	130	420	550	250
T70	460	940	480	120	460	490	800	140	110
T71	330	210	710	290	520	760	710	780	570
T72	290	450	630	840	310	890	340	400	650
T73	210	230	880	900	510	410	960	130	300
T74	630	170	370	910	740	960	370	830	330
T75	240	350	620	360	310	490	920	840	240
T76	350	200	610	830	270	970	620	310	430
T77	890	840	820	710	950	860	750	470	610
T78	350	830	730	520	370	400	660	180	270
T79	960	130	430	480	780	510	950	710	550
T80	330	230	860	640	440	390	510	470	750
T81	700	660	400	910	800	810	810	880	700
T82	980	620	670	750	130	670	360	920	130
T83	860	960	280	900	780	170	710	470	920
T84	280	390	760	260	660	220	700	190	120
T85	470	870	620	250	810	430	130	930	180
T86	800	300	610	760	150	510	690	890	160
T87	910	880	650	210	470	730	360	610	430
T88	290	200	730	420	970	880	670	730	980
T89	300	420	860	160	670	620	320	410	920
T90	590	470	370	990	120	730	470	820	220
T91	510	350	170	460	650	230	340	490	820
T92	100	900	490	420	290	500	550	390	210
T93	680	360	140	100	670	740	530	870	690
T94	330	370	440	300	710	420	910	320	290
T95	470	730	220	420	980	200	310	990	190
T96	760	510	460	750	460	980	440	330	710
T97	570	180	880	950	640	480	570	170	380
T98	810	720	370	530	840	110	220	540	440
T99	900	710	150	600	780	490	240	800	890
T100	620	620	420	440	130	620	550	530	740
T101	420	350	380	740	780	500	250	660	970
T102	230	480	740	540	860	750	190	460	770
T103	140	460	190	640	670	420	680	300	620
T104	200	600	330	120	580	250	880	870	730
T105	170	380	200	900	240	950	310	660	350
T106	490	300	700	540	520	950	920	470	910
T107	990	230	510	280	230	560	490	140	500
T108	450	690	260	300	960	500	760	850	770
T109	320	390	690	130	820	460	620	940	400
T110	310	670	680	590	900	560	360	970	780
T111	620	340	330	670	820	550	870	610	820
T112	650	760	610	230	200	970	470	640	390
T113	630	300	970	560	560	160	330	940	960
T114	820	910	160	530	530	100	680	250	380
T115	120	770	340	340	990	210	340	480	910
T116	840	710	400	670	350	720	910	500	800
T117	960	120	650	740	100	990	810	980	780
T118	840	490	660	810	510	400	780	260	880
T119	360	950	580	890	370	910	760	160	470
T120	790	330	130	460	600	400	150	310	280
T121	620	210	580	730	900	610	320	410	670
T122	480	330	670	440	580	700	110	790	850
T123	160	320	700	460	710	650	670	130	340
T124	750	350	540	620	710	650	110	320	370
T125	440	490	870	360	590	580	780	770	910
T126	400	540	540	130	690	920	580	660	120
T127	800	820	710	620	510	830	430	860	240
T128	860	340	680	480	280	850	160	890	830
T129	590	970	460	350	430	750	830	310	420
T130	360	840	470	900	250	460	520	270	200
T131	780	480	700	960	750	420	400	330	880
T132	270	310	390	950	580	720	520	780	840
T133	430	390	600	380	970	910	580	420	830
T134	710	160	280	130	430	170	620	230	100
T135	160	290	700	800	930	340	370	800	240
T136	320	850	340	610	970	380	220	720	540
T137	800	400	480	150	300	200	940	470	800
T138	810	680	390	730	400	680	890	140	280
T139	400	840	330	180	340	530	210	150	310
T140	200	760	430	350	220	790	470	910	500
T141	820	180	810	540	440	930	680	990	130
T142	270	670	630	100	410	830	890	670	820
T143	850	610	830	110	490	100	140	940	190
T144	690	160	980	210	410	650	430	880	310
T145	780	490	270	280	340	480	220	510	820
T146	380	330	430	920	850	230	740	180	360
T147	380	370	510	940	770	460	950	800	690
T148	440	770	910	310	170	500	670	240	970
T149	230	670	580	600	520	350	930	480	150
T150	160	640	950	450	160	780	290	160	860
T151	620	480	790	420	360	620	660	250	100
T152	330	450	730	400	700	450	680	780	690
T153	600	640	600	690	120	980	910	250	140
T154	930	280	310	980	220	260	940	600	810
T155	660	480	810	380	880	380	400	860	640
T156	900	590	900	960	990	550	510	770	150
T157	420	420	190	140	540	520	630	870	790
T158	770	940	630	210	830	270	760	710	490
T159	820	340	910	790	670	160	680	830	670
T160	100	860	540	210	680	200	140	640	150
T161	950	700	700	650	510	910	270	560	760
T162	780	930	560	240	850	340	650	240	920
T163	490	510	880	360	150	710	630	150	530
T164	770	820	860	890	600	400	990	170	900
T165	580	750	480	960	280	640	980	570	800
T166	150	260	360	830	870	430	930	190	890
T167	910	630	760	680	170	890	460	740	900
T168	350	220	310	340	190	120	990	370	140
T169	350	620	730	210	840	880	920	310	210
T170	770	480	160	560	530	330	150	490	360
T171	470	430	160	720	120	650	710	720	810
T172	540	840	330	370	930	820	600	430	310
T173	110	820	650	150	790	290	130	900	950
T174	480	580	420	430	580	390	850	520	210
T175	280	910	210	910	230	140	210	270	310
T176	560	930	310	150	620	310	760	680	450
T177	130	820	430	480	330	310	610	940	370
T178	190	970	170	180	180	150	530	370	450
T179	120	600	990	650	510	720	510	650	730
T180	300	720	130	560	720	190	110	370	440
T181	260	230	640	520	210	240	230	190	120
T182	820	190	110	340	300	510	840	200	310
T183	420	180	720	720	830	990	260	210	880
T184	110	860	200	680	190	580	600	640	520
T185	450	270	630	770	920	430	360	710	300
T186	740	370	960	410	740	940	770	370	120
T187	610	610	970	930	420	790	860	460	190
T188	620	630	950	460	420	460	680	340	940
T189	960	520	410	100	800	460	380	970	840
T190	320	270	160	210	600	100	310	880	720
T191	920	220	970	460	980	840	780	730	790
T192	210	780	150	400	900	810	350	650	460
T193	140	160	970	940	180	520	790	150	920
T194	390	130	520	250	450	270	810	540	900
T195	230	720	150	880	100	610	890	100	890
T196	330	930	160	430	740	590	480	580	310
T197	550	310	450	310	410	440	920	570	800
T198	160	710	890	490	170	520	810	640	160
T199	550	930	770	330	700	620	980	710	420
T200	800	450	270	840	810	870	330	550	990
T201	220	590	800	370	100	990	610	750	710
T202	950	560	650	500	710	650	270	280	910
T203	470	120	220	960	830	330	910	290	570
T204	110	600	570	260	980	610	310	460	260
T205	770	360	650	830	580	700	670	300	520
T206	930	150	810	650	470	800	350	200	370
T207	460	770	340	190	130	980	800	890	460
T208	410	780	230	840	390	470	170	580	180
T209	400	650	980	100	290	650	710	450	310
T210	580	920	750	480	710	300	130	390	910
T211	880	780	430	920	980	570	830	850	990
T212	980	350	800	780	950	540	390	110	450
T213	190	430	170	330	550	880	550	570	880
T214	250	810	960	750	470	330	160	870	920
T215	290	130	430	540	120	970	900	920	960
T216	990	740	330	780	250	920	890	280	880
T217	160	120	730	890	200	140	540	480	500
T218	860	250	210	200	710	480	360	590	590
T219	160	250	450	820	410	120	700	280	340
T220	800	340	720	740	620	140	710	240	580
T221	270	570	740	890	440	590	840	770	880
T222	310	880	120	150	850	900	240	220	880
T223	440	630	150	420	750	810	910	160	560
T224	760	420	210	290	990	190	350	750	500
T225	430	190	240	320	590	680	910	710	390
T226	200	130	930	380	400	300	520	240	730
T227	840	490	310	260	740	670	240	460	870
T228	240	550	490	350	110	350	810	740	610
T229	970	800	190	720	770	410	390	960	490
T230	140	520	450	670	560	970	290	890	610
T231	740	790	730	200	590	650	410	260	130
T232	160	370	710	710	470	340	690	230	650
T233	410	490	590	900	700	570	930	220	530
T234	220	330	740	260	540	670	490	390	240
T235	510	570	130	840	280	420	190	730	880
T236	560	960	300	240	370	920	420	270	790
T237	240	710	980	790	890	730	980	520	310
T238	960	990	350	690	570	320	330	600	540
T239	470	480	880	400	540	440	140	680	560
T240	790	610	560	290	450	710	800	670	760
T241	300	930	410	830	900	810	580	450	140
T242	160	240	230	340	140	250	400	500	510
T243	110	710	720	370	160	280	540	970	400
T244	690	970	760	290	740	690	220	120	640
T245	280	190	920	740	480	810	920	890	610
T246	590	800	440	170	990	410	780	480	850
T247	460	350	820	420	300	170	150	320	400
T248	670	550	820	570	240	820	870	890	320
T249	740	610	350	590	900	750	640	190	420
T250	520	990	290	960	950	530	650	520	120
T251	740	860	160	810	560	330	200	270	720
T252	540	450	990	690	270	740	970	210	360
T253	730	420	630	160	690	320	150	100	980
T254	260	450	930	610	330	480	370	970	300
T255	300	120	190	830	390	970	350	870	310
T256	610	470	150	310	890	770	990	740	760
T257	730	770	480	420	720	780	290	730	960
T258	820	830	390	270	470	340	620	680	130
T259	360	750	470	300	610	840	350	110	860
T260	280	120	120	770	770	290	500	450	930
T261	360	790	590	540	550	860	130	930	390
T262	560	530	390	380	910	810	780	210	900
T263	850	830	880	220	210	920	690	530	520
T264	440	680	660	360	590	390	860	340	980
T265	450	610	150	920	820	680	940	280	870
T266	600	450	130	440	960	820	520	820	280
T267	910	150	880	280	540	450	210	900	140
T268	110	500	590	720	520	830	660	720	230
T269	530	190	610	290	490	740	790	800	420
T270	510	820	460	470	220	530	420	180	430
T271	770	310	360	680	840	160	190	250	670
T272	810	150	100	980	930	340	260	560	190
T273	960	800	120	650	230	370	150	610	820
T274	350	420	130	160	690	290	530	730	740
T275	170	780	210	120	210	480	930	470	170
T276	420	970	880	920	960	560	200	250	320
T277	450	510	750	300	510	970	780	440	330
T278	410	620	260	710	770	610	700	700	750
T279	240	640	410	250	760	480	380	810	860
T280	970	640	490	140	610	940	950	160	800
T281	580	200	980	170	520	330	690	970	550
T282	720	510	750	990	490	490	610	810	110
T283	890	720	110	640	410	860	580	880	880
T284	150	890	740	600	810	180	550	400	400
T285	560	260	330	820	540	980	210	350	380
T286	840	540	710	140	740	610	780	890	940
T287	240	970	500	680	730	550	590	830	590
T288	430	750	930	750	330	390	830	200	610
T289	420	420	750	970	540	290	510	420	740
T290	220	780	990	800	240	690	730	250	660
T291	590	360	910	950	690	280	370	540	480
T292	520	590	280	570	220	690	230	380	340
T293	710	790	330	710	200	110	440	560	810
T294	800	510	500	800	580	590	790	930	110
T295	880	930	110	200	410	530	210	780	650
T296	380	520	450	270	330	690	620	590	460
T297	560	590	170	860	430	100	880	500	490
T298	940	770	310	420	250	470	880	110	870
T299	980	470	550	340	410	390	480	300	590
T300	300	560	880	750	400	350	290	240	440
T301	510	430	370	690	750	680	360	650	120
T302	930	570	100	960	250	280	490	170	130
T303	310	120	260	450	960	890	120	470	530
T304	590	700	190	320	180	530	920	750	730
T305	200	210	930	440	960	960	430	410	790
T306	460	410	980	890	750	290	240	390	250
T307	620	380	780	820	170	980	700	190	960
T308	770	350	260	360	770	390	820	920	260
T309	920	710	360	620	520	410	150	130	950
T310	970	410	270	340	200	610	400	400	240
T311	120	320	420	490	890	650	320	240	990
T312	130	880	390	200	910	280	260	640	210
T313	620	810	320	730	380	820	560	670	270
T314	160	370	250	510	140	270	750	760	950
T315	770	560	940	490	430	630	220	570	380
T316	540	140	480	840	880	810	800	650	720
T317	710	500	430	440	800	200	220	450	630
T318	130	250	650	190	990	300	650	760	450
T319	450	420	820	190	410	920	840	850	220
T320	630	550	650	800	880	830	340	640	400
T321	780	200	720	990	960	410	920	730	240
T322	280	730	230	480	740	840	160	560	550
T323	790	160	120	340	830	230	890	670	410
T324	780	430	790	270	340	570	110	560	160
T325	600	700	150	500	970	480	780	330	250
T326	200	570	530	850	660	520	670	700	950
T327	250	430	420	520	610	490	280	310	210
T328	860	590	850	230	440	280	430	170	200
T329	150	290	120	260	850	110	160	600	670
T330	660	900	310	170	850	970	540	880	570
T331	140	990	150	880	970	190	240	350	650
T332	620	510	170	720	370	860	200	650	950
T333	140	410	620	350	100	350	880	720	240
T334	150	140	380	950	300	320	950	810	140
T335	620	600	740	780	170	680	120	690	560
T336	560	500	840	100	240	660	530	440	500
T337	690	770	950	310	180	640	390	430	130
T338	440	210	950	540	140	360	310	220	780
T339	700	510	380	270	730	730	650	620	520
T340	710	250	230	390	530	420	650	470	710
T341	410	350	130	520	430	840	710	410	670
T342	870	910	260	250	390	860	820	880	370
T343	730	880	350	690	630	720	130	990	470
T344	530	360	760	810	380	360	520	440	600
T345	980	880	860	800	540	390	750	230	840
T346	820	420	720	230	630	110	320	790	350
T347	990	880	100	470	180	820	120	270	570
T348	490	720	310	160	170	530	270	390	880
T349	130	910	400	570	960	210	470	180	900
T350	160	750	350	260	960	400	370	260	100
T351	680	560	760	620	400	450	260	460	900
T352	680	930	460	490	700	640	260	870	790
T353	340	500	560	860	330	840	130	230	180
T354	860	600	650	250	850	160	140	690	140
T355	340	100	360	580	280	250	280	910	150
T356	810	890	380	820	880	890	250	860	400
T357	310	110	330	700	330	100	860	940	180
