	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	380	960	210	500	100	530	290	110	660	800
T2	660	400	500	890	820	650	400	970	610	390
T3	670	800	610	340	540	980	960	110	370	740
T4	930	990	380	990	130	220	240	970	250	630
T5	810	280	950	760	270	690	240	370	470	470
T6	540	460	880	560	580	590	510	520	820	960
T7	860	320	470	200	140	200	860	490	750	980
T8	440	600	760	440	470	340	640	730	740	940
T9	740	590	790	340	860	250	510	970	240	360
T10	780	690	960	860	360	520	330	300	830	730
T11	180	180	420	780	560	400	320	360	190	470
T12	730	850	120	250	700	380	730	650	110	850
T13	950	220	470	210	490	200	840	450	100	220
T14	360	330	620	360	330	830	930	230	750	170
T15	410	180	600	820	950	820	410	960	900	790
T16	890	560	550	860	740	680	310	890	220	560
T17	120	920	600	530	230	610	470	380	770	270
T18	950	300	870	840	130	190	270	900	340	740
T19	410	270	590	930	370	400	220	760	280	840
T20	930	530	720	310	540	480	110	750	670	200
T21	790	990	150	770	950	210	380	590	610	210
T22	190	900	730	370	120	630	440	490	890	810
T23	190	450	840	630	690	700	640	530	750	760
T24	230	370	190	700	990	300	360	810	850	720
T25	890	420	220	960	680	620	990	410	970	950
T26	770	240	870	120	730	300	180	420	370	430
T27	490	540	140	910	590	870	430	510	210	800
T28	170	600	560	550	700	550	830	490	760	960
T29	590	640	970	150	590	540	770	870	200	690
T30	660	690	690	760	690	470	410	210	250	860
T31	410	380	720	110	190	730	540	310	500	480
T32	840	860	870	290	190	910	920	180	360	150
T33	180	100	320	920	150	140	900	620	890	980
T34	100	560	820	670	500	700	320	560	870	790
T35	290	270	790	400	340	240	360	630	400	940
T36	990	790	640	740	310	180	970	870	920	570
T37	180	170	440	120	970	360	670	790	650	520
T38	290	860	920	470	320	340	770	370	890	510
T39	570	330	770	470	400	420	540	480	370	600
T40	710	870	320	940	150	160	630	300	730	870
T41	780	780	440	350	300	720	810	470	270	550
T42	130	990	780	230	500	990	220	910	650	640
T43	100	970	640	540	840	950	160	950	530	870
T44	910	580	720	700	200	260	710	270	410	630
T45	260	280	340	680	880	760	530	970	750	450
T46	240	160	420	490	110	270	150	570	590	760
T47	250	330	730	710	720	980	240	570	940	610
T48	190	540	490	670	230	810	730	890	250	240
