	A1	A2	A3	A4
T1	280	730	600	590
T2	580	390	630	260
T3	820	990	700	700
T4	710	370	270	330
T5	740	580	520	660
T6	850	430	380	450
T7	150	690	730	330
T8	320	690	240	570
T9	660	460	900	600
T10	690	560	170	960
T11	120	190	410	690
T12	510	730	660	430
T13	800	960	450	500
T14	510	580	910	340
T15	830	180	210	770
T16	310	990	840	150
T17	810	760	520	890
T18	300	910	560	110
T19	230	130	750	520
T20	520	190	780	850
T21	190	200	310	590
T22	380	820	620	920
T23	150	740	160	100
T24	300	840	890	560
