	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	400	840	490	500	340	920	730	650	850	860	670	160	390	880
T2	330	970	640	160	530	990	720	130	370	630	290	420	860	770
T3	460	540	480	580	490	960	840	710	460	870	440	600	730	530
T4	810	660	800	960	950	220	820	210	650	920	340	920	500	900
T5	260	950	260	210	550	180	260	770	700	380	750	560	620	730
T6	980	540	450	150	840	880	240	760	780	610	940	660	860	160
T7	400	640	140	250	470	950	270	350	370	300	210	620	260	570
T8	710	700	950	890	630	630	960	860	680	650	940	200	450	310
T9	930	710	360	550	950	320	330	190	130	480	780	600	910	670
T10	760	170	440	170	400	880	980	140	500	320	680	960	980	230
T11	830	720	870	260	610	760	720	910	150	180	610	150	350	100
T12	520	180	270	890	430	100	670	650	890	370	490	440	530	810
T13	160	290	230	510	800	980	280	720	560	380	380	640	130	780
T14	700	430	910	810	450	230	910	120	990	360	640	390	930	120
T15	390	620	820	690	170	690	850	270	940	570	590	360	850	150
T16	650	810	430	400	270	880	700	400	320	660	580	690	510	610
T17	660	670	950	700	300	600	990	970	970	930	340	480	450	160
T18	620	840	740	690	730	410	660	870	390	330	470	340	160	190
T19	410	850	790	400	790	220	160	530	630	560	560	940	810	830
T20	260	710	330	610	860	540	240	190	750	930	430	280	980	470
T21	110	820	160	940	200	350	170	210	610	810	300	620	650	480
T22	150	900	340	910	620	490	660	350	260	210	200	650	690	870
T23	390	430	320	680	580	330	350	670	400	460	150	690	150	710
T24	830	370	410	970	980	370	280	120	890	150	100	260	180	250
T25	360	730	580	360	870	620	520	330	720	220	790	830	160	880
T26	460	860	200	410	730	340	470	890	850	900	910	400	730	930
T27	590	950	950	450	660	480	370	330	460	500	660	550	560	170
T28	760	500	500	550	510	740	980	750	690	430	640	940	630	320
T29	370	710	660	440	660	930	810	420	730	930	920	590	630	120
T30	530	600	110	670	420	640	390	930	670	490	220	390	330	940
T31	770	490	720	740	810	520	120	290	950	410	490	190	690	390
T32	810	820	540	510	190	380	690	550	630	930	580	580	200	120
T33	830	540	360	210	250	270	830	370	230	860	620	190	170	980
T34	480	950	800	780	110	910	660	840	810	840	660	160	700	430
T35	560	110	790	870	930	330	500	730	280	370	130	330	830	560
T36	110	960	140	670	160	440	190	990	960	490	790	190	150	390
T37	550	480	640	900	130	580	630	690	730	630	240	550	840	280
T38	980	750	630	840	320	750	130	870	860	770	680	420	300	280
T39	700	260	820	440	430	100	900	820	140	500	500	200	330	540
T40	870	310	340	110	240	990	210	290	780	320	130	980	990	120
T41	860	760	160	200	190	450	790	510	680	900	300	280	350	430
T42	410	170	570	270	910	770	430	740	770	280	850	560	500	200
T43	460	630	930	950	100	770	940	570	600	540	550	720	810	920
T44	710	270	300	240	120	960	440	730	700	720	480	530	740	810
T45	580	270	700	300	900	970	860	700	500	390	360	590	140	920
T46	350	310	230	680	670	330	640	220	640	510	260	300	660	370
T47	590	480	920	840	380	360	830	170	810	190	140	190	100	480
T48	970	130	190	590	550	190	790	900	940	460	730	490	510	530
T49	420	940	760	950	400	150	200	770	870	610	550	440	460	680
T50	600	620	660	190	900	460	940	820	340	860	710	500	640	820
T51	870	900	730	200	880	540	760	750	570	360	840	380	850	590
T52	410	390	810	970	790	390	420	290	680	700	830	130	610	330
T53	660	100	330	270	250	260	430	750	800	340	450	490	150	560
T54	790	850	710	160	820	760	170	190	590	570	890	180	460	580
T55	120	830	390	120	810	950	340	960	720	180	110	980	960	970
T56	990	330	410	420	140	280	220	850	830	970	590	910	700	590
T57	370	140	480	610	110	120	880	280	790	940	490	670	690	330
T58	980	730	490	350	580	670	480	690	720	430	300	160	470	910
T59	960	380	240	960	930	680	790	320	480	330	970	530	580	540
T60	800	850	630	610	130	450	900	940	880	180	510	270	120	250
T61	260	610	240	480	510	320	610	620	620	120	220	940	920	970
T62	940	840	420	430	820	120	480	890	940	870	770	490	380	450
T63	280	300	180	260	100	830	710	790	540	540	800	570	650	910
T64	210	430	260	280	890	150	570	760	200	420	750	110	610	360
T65	500	670	200	950	570	600	740	820	730	520	660	620	140	300
T66	700	900	440	720	890	480	170	500	340	550	430	420	980	920
T67	460	460	650	480	630	800	980	740	910	890	260	130	700	310
T68	970	490	430	190	330	760	520	210	420	770	850	920	120	430
T69	870	210	110	930	290	490	420	310	190	950	450	740	980	350
T70	810	890	810	360	340	910	500	960	370	640	560	990	570	840
T71	870	270	720	540	850	100	350	420	500	830	600	250	290	990
T72	220	980	340	300	470	900	600	810	740	220	730	740	680	370
T73	610	430	710	410	850	890	490	760	210	920	700	610	480	160
T74	120	860	900	260	510	890	250	530	640	930	100	890	880	330
T75	980	450	890	380	450	860	480	110	650	580	990	600	920	380
T76	850	670	950	830	380	530	680	640	250	370	760	500	100	340
T77	690	880	230	550	310	850	370	750	250	340	240	470	360	540
T78	940	330	800	270	840	250	190	340	390	870	830	830	630	940
T79	800	940	610	270	700	560	320	640	250	740	630	690	330	960
T80	920	450	160	160	610	490	690	510	900	610	520	340	350	420
T81	900	900	100	960	390	480	480	920	210	540	850	120	910	510
T82	600	240	150	300	210	340	520	610	940	530	220	670	670	650
T83	670	740	600	120	570	810	710	150	430	390	250	580	440	350
T84	240	460	270	790	880	880	790	760	160	430	730	120	180	760
T85	400	360	220	390	920	180	710	700	400	750	690	790	970	290
T86	850	710	680	480	790	660	130	950	890	670	780	660	470	330
T87	640	750	490	660	820	970	780	910	100	870	250	880	440	950
T88	980	220	670	550	320	820	290	750	300	730	590	170	930	160
T89	590	500	900	330	830	460	470	610	240	750	260	510	310	980
T90	140	370	610	210	340	490	140	930	500	140	250	950	760	880
T91	920	770	190	770	710	200	510	440	840	380	370	530	630	940
T92	450	760	930	190	530	580	670	940	750	170	230	320	360	790
T93	680	550	490	190	830	360	660	280	560	730	470	620	280	360
T94	810	690	270	470	470	150	620	860	180	530	860	670	360	460
T95	290	150	910	770	600	830	840	690	240	220	570	610	430	760
T96	270	670	130	330	980	370	140	370	600	550	810	880	360	560
T97	630	800	820	600	390	310	840	890	380	290	140	610	810	810
T98	140	280	240	450	200	270	590	880	720	790	980	380	360	290
T99	330	470	290	280	100	240	320	760	910	710	530	350	700	390
T100	200	680	990	190	460	950	340	570	260	840	930	600	480	230
T101	700	380	380	570	460	620	120	770	950	420	180	250	280	250
T102	550	290	930	740	250	430	680	910	440	590	380	160	490	450
T103	860	980	770	720	600	780	820	440	760	470	780	810	200	970
T104	110	910	460	640	590	950	520	100	260	660	530	550	680	150
T105	990	220	480	590	390	110	730	850	720	230	460	670	430	300
T106	950	580	970	170	100	110	310	390	200	680	780	310	320	430
T107	540	840	410	130	270	700	440	310	940	360	990	810	450	530
T108	620	460	670	410	430	610	890	640	290	170	230	540	830	640
T109	480	860	740	740	820	990	450	730	980	980	340	960	570	990
T110	700	930	260	680	710	210	430	610	910	370	650	920	780	260
T111	550	330	260	810	970	680	240	780	900	660	690	290	520	280
T112	120	420	140	490	450	760	890	400	930	550	580	960	990	520
T113	410	930	700	730	710	550	580	180	510	820	550	280	600	300
T114	340	630	850	920	290	680	160	650	970	870	250	450	720	400
T115	340	420	600	630	680	720	990	210	750	400	490	300	650	750
T116	930	820	890	620	980	460	710	720	290	640	160	820	220	180
T117	350	340	520	820	680	680	280	720	910	690	410	720	280	480
T118	130	480	300	200	900	710	330	860	440	250	770	390	590	560
T119	870	890	960	930	640	900	720	710	150	390	750	370	780	310
T120	800	610	530	400	460	270	120	260	970	510	340	840	440	660
T121	650	870	590	910	120	980	440	690	780	640	700	460	770	770
T122	300	540	900	360	530	170	660	420	950	710	820	360	690	460
T123	630	990	950	810	950	430	100	230	730	110	780	650	420	920
T124	750	770	900	450	720	260	640	970	650	950	450	540	620	860
T125	790	260	780	840	720	700	370	790	170	870	350	560	680	500
T126	500	950	240	510	100	290	390	210	740	380	470	160	110	320
T127	850	920	360	570	190	750	530	390	580	470	940	450	140	420
T128	600	340	630	340	570	150	540	220	560	160	400	970	470	530
T129	800	630	990	260	710	950	980	910	290	380	700	830	760	600
T130	450	280	560	810	720	960	890	750	840	570	660	450	960	680
T131	690	640	970	910	680	720	850	220	550	480	400	640	140	140
T132	860	830	620	300	640	870	220	850	140	630	850	400	100	150
T133	490	990	610	610	740	130	100	120	630	880	810	230	920	680
T134	710	930	410	920	710	700	150	200	390	970	540	700	260	510
T135	680	470	640	680	100	100	810	330	730	740	320	890	260	530
T136	200	950	920	420	240	780	610	950	850	110	820	260	920	210
T137	880	300	690	790	280	530	670	360	910	610	400	160	500	360
T138	150	210	900	630	870	310	930	310	530	260	280	140	480	180
T139	800	460	770	360	460	170	700	330	910	790	460	780	400	760
T140	190	150	680	420	530	500	890	460	830	740	690	760	380	970
T141	120	520	160	100	170	130	620	220	480	460	290	150	450	730
T142	770	820	920	370	580	940	140	400	890	530	190	650	470	330
T143	840	210	640	690	870	430	480	990	820	820	170	430	180	940
T144	820	560	690	600	550	990	470	920	770	930	910	910	370	290
