	A1	A2	A3	A4	A5	A6
T1	240	680	790	540	970	190
T2	440	240	340	500	480	940
T3	220	590	170	230	790	260
T4	800	620	630	790	620	720
T5	160	680	250	350	780	980
T6	570	340	620	430	870	910
T7	460	380	570	660	710	990
T8	920	770	260	870	110	860
T9	990	530	280	900	460	840
T10	580	160	110	550	880	920
T11	210	230	180	560	260	170
T12	370	480	910	850	170	480
T13	790	640	470	590	380	580
T14	610	240	110	180	160	500
T15	870	420	320	930	690	150
T16	440	900	760	230	570	950
T17	760	420	160	530	280	430
T18	630	790	220	400	790	410
T19	700	320	520	300	100	800
T20	320	230	820	170	740	800
T21	250	520	300	350	800	950
T22	170	800	130	480	300	470
T23	590	560	890	310	700	550
T24	380	840	740	710	900	720
T25	790	850	400	610	740	680
T26	280	670	860	910	510	950
T27	500	610	360	100	940	220
T28	210	820	900	830	980	260
T29	550	270	430	390	850	500
T30	630	600	250	180	690	690
T31	910	950	190	190	880	160
T32	870	750	160	230	470	390
