	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	100	470	800	490	430	990	830	180	730	190
T2	950	720	490	220	640	880	330	630	250	590
T3	760	320	120	340	880	660	470	720	680	590
T4	120	720	930	900	190	520	420	240	480	360
T5	480	160	980	450	100	610	580	400	400	900
T6	660	780	290	980	210	770	260	780	270	650
T7	430	690	510	960	340	320	160	700	170	960
T8	720	160	420	590	720	980	250	670	110	730
T9	890	150	940	440	700	740	830	310	660	170
T10	140	270	250	410	220	700	340	520	360	810
T11	370	180	570	490	780	770	620	970	910	390
T12	220	110	540	790	950	820	430	310	770	310
T13	340	440	810	790	860	870	670	110	890	770
T14	840	690	570	910	770	570	430	640	780	570
T15	500	930	440	190	820	660	720	300	740	650
T16	390	960	560	410	250	150	980	690	170	150
T17	530	980	830	390	140	440	260	860	320	350
T18	810	250	800	320	890	380	680	440	280	700
T19	810	610	590	950	610	760	540	280	850	700
T20	990	720	860	330	170	530	780	510	670	550
T21	520	350	630	250	860	570	450	800	350	730
T22	970	250	750	420	960	370	200	140	290	720
T23	870	380	640	280	700	790	620	220	890	140
T24	510	220	500	750	380	980	370	980	990	930
T25	690	680	860	840	770	920	930	420	210	520
T26	700	450	310	500	720	770	830	190	850	550
T27	590	640	580	360	760	970	620	410	920	200
T28	850	340	710	990	280	110	980	940	590	330
T29	510	430	720	710	100	130	490	540	420	330
T30	580	300	290	310	780	440	250	100	740	750
T31	820	220	450	160	990	520	580	610	550	860
T32	260	670	860	430	690	730	660	220	420	230
T33	530	750	850	160	840	900	120	630	930	310
T34	450	550	640	800	130	790	680	350	270	330
T35	610	560	130	320	390	280	410	360	570	650
T36	740	850	410	530	850	720	330	110	810	680
T37	290	330	480	480	130	780	400	470	960	720
T38	800	500	950	120	950	530	810	290	420	100
T39	110	540	200	660	840	810	670	650	230	290
T40	230	530	410	960	840	560	750	830	100	540
T41	580	620	550	720	240	770	670	780	300	420
T42	260	900	670	100	510	440	230	840	680	670
T43	570	960	590	540	430	460	860	970	330	830
T44	360	810	810	750	820	150	910	210	470	100
T45	460	220	530	140	690	790	850	170	300	860
T46	210	220	320	540	150	330	150	530	570	590
T47	540	840	440	440	850	620	350	910	550	630
T48	740	840	170	360	500	530	230	640	690	710
T49	740	260	840	390	330	120	960	880	680	860
T50	330	760	480	900	450	110	480	560	870	140
T51	420	760	520	890	370	110	250	240	840	300
T52	750	450	270	870	360	850	190	110	310	590
T53	250	160	250	570	440	280	860	660	310	750
T54	170	980	110	820	950	160	470	380	510	280
T55	170	360	870	160	710	190	490	120	380	330
T56	200	960	150	320	440	350	480	400	890	160
T57	910	660	600	260	820	310	590	860	640	650
T58	110	480	950	470	370	220	620	310	600	540
T59	510	880	930	110	210	470	610	570	740	480
T60	300	620	950	940	960	170	390	680	140	150
T61	440	820	720	640	170	310	240	710	830	930
T62	810	140	150	530	110	690	800	670	790	780
T63	540	400	540	550	120	550	420	670	390	800
T64	230	890	360	230	180	580	230	720	530	180
T65	190	320	520	550	850	630	680	810	860	230
T66	420	210	750	990	510	770	830	730	540	540
T67	560	420	550	900	110	510	430	870	250	470
T68	230	400	570	540	190	640	780	930	610	210
T69	230	390	140	440	760	790	550	730	550	720
T70	820	850	350	960	670	810	100	650	360	440
T71	760	640	990	580	680	830	430	410	810	920
T72	220	550	110	830	880	320	790	240	130	290
T73	590	750	950	490	760	810	580	150	710	610
T74	620	650	130	940	870	810	930	130	430	590
T75	190	740	920	740	390	170	880	710	690	800
T76	610	470	140	870	530	340	360	950	130	780
T77	930	530	160	130	240	620	290	300	930	770
T78	170	220	830	930	270	900	790	840	410	430
T79	290	840	850	800	550	410	150	990	230	150
T80	750	230	740	270	800	640	730	270	430	700
T81	970	820	110	580	400	290	810	580	180	160
T82	490	990	490	250	810	760	470	980	190	810
T83	740	940	720	420	280	560	710	820	980	730
T84	120	900	380	400	220	510	180	730	630	420
T85	280	630	730	170	990	350	840	800	180	930
T86	850	820	890	930	130	400	840	880	740	750
T87	860	700	920	550	530	330	460	640	630	590
T88	120	750	790	140	720	730	650	130	470	920
T89	640	410	580	140	640	560	770	260	840	700
T90	900	320	350	360	480	970	450	230	950	970
T91	950	790	790	640	110	100	140	350	950	640
T92	100	850	260	660	640	280	600	380	230	210
T93	220	430	380	410	890	390	640	620	700	920
T94	730	460	370	920	260	250	920	940	170	540
T95	720	870	760	690	400	430	500	430	440	170
T96	310	280	880	990	960	770	910	380	480	130
T97	600	410	930	640	300	460	710	630	870	640
T98	350	190	280	400	720	820	990	140	430	490
T99	470	590	740	310	760	410	130	500	340	810
T100	170	130	120	360	420	780	420	150	130	320
T101	360	140	750	700	270	160	400	150	140	380
T102	820	830	180	830	530	480	290	330	430	250
T103	180	460	600	420	790	230	390	480	430	130
T104	600	340	510	530	260	490	210	880	510	770
T105	810	610	830	870	770	990	900	890	680	990
T106	640	780	610	310	220	160	600	890	270	780
T107	370	160	570	360	760	670	160	970	170	590
T108	130	200	740	830	330	170	340	410	240	980
T109	980	190	820	200	220	290	400	790	580	830
T110	410	140	700	960	260	810	360	840	110	780
T111	310	400	890	420	620	890	550	700	420	490
T112	690	870	100	980	510	370	370	820	820	640
T113	710	260	150	310	760	400	980	370	870	780
T114	960	340	860	780	100	740	160	240	630	360
T115	970	110	420	990	780	390	730	560	790	730
T116	200	120	450	520	740	780	670	350	810	360
T117	160	900	140	540	830	700	590	730	400	350
T118	190	520	850	150	550	770	520	590	390	780
T119	200	460	230	660	550	670	120	530	840	600
T120	750	300	820	120	280	870	250	960	650	220
T121	630	710	110	340	380	860	930	840	670	210
T122	260	400	270	910	830	420	550	150	720	980
T123	490	680	670	300	640	630	210	540	770	410
T124	270	950	340	130	470	620	850	450	250	830
T125	670	510	720	270	750	760	850	890	980	770
T126	900	380	180	730	970	540	970	250	480	890
T127	690	810	820	260	270	890	960	520	550	570
T128	460	440	360	240	260	660	240	140	870	270
T129	320	250	490	970	520	290	550	400	250	370
T130	980	210	400	850	390	560	750	560	820	230
T131	110	210	850	380	700	130	380	440	660	650
T132	830	650	910	250	270	420	640	900	760	900
T133	860	840	200	660	580	120	190	920	470	770
T134	160	200	740	910	290	210	420	670	170	950
T135	360	370	240	350	200	150	200	280	590	770
T136	750	220	990	680	180	380	130	890	690	540
T137	750	950	450	460	720	180	840	860	280	410
T138	900	920	390	260	690	200	750	400	400	920
T139	610	830	830	730	740	100	990	610	910	910
T140	220	360	170	620	180	740	390	930	970	980
T141	710	820	710	470	480	330	660	670	160	290
T142	450	890	500	860	340	450	970	420	290	630
T143	410	950	880	220	550	340	240	580	840	720
T144	170	280	320	680	420	570	820	260	110	440
T145	550	460	970	480	470	790	640	560	680	950
T146	740	170	660	190	140	860	730	120	680	630
T147	480	490	170	670	540	450	500	300	310	360
