	A1	A2	A3	A4	A5
T1	930	320	380	420	630
T2	340	240	790	700	240
T3	210	630	390	490	920
T4	740	390	450	780	500
T5	360	850	520	210	750
T6	820	290	130	910	550
T7	130	870	590	890	680
T8	340	480	280	890	910
T9	610	730	960	860	450
T10	870	870	320	930	250
T11	470	490	120	890	240
T12	990	520	460	750	320
T13	760	250	410	130	310
T14	910	690	880	660	670
T15	620	620	570	670	250
T16	190	790	210	990	600
T17	550	170	950	140	640
T18	410	370	310	670	650
T19	500	690	180	120	390
T20	350	570	360	110	300
T21	680	210	340	660	250
T22	470	360	830	730	600
T23	860	620	100	530	710
T24	690	400	540	570	410
T25	700	880	710	400	600
T26	380	120	930	330	880
T27	320	920	850	430	720
T28	660	130	870	600	200
T29	580	660	540	990	380
T30	180	510	130	660	880
T31	190	460	650	350	850
T32	200	160	570	690	200
T33	920	400	420	810	980
T34	450	270	310	470	750
T35	200	340	180	880	120
T36	340	590	940	980	750
T37	270	570	480	520	420
T38	240	140	460	390	840
T39	730	660	870	230	580
T40	860	620	200	990	810
T41	290	130	900	280	820
T42	630	110	330	600	940
T43	170	530	570	510	450
T44	780	230	650	980	590
T45	320	350	150	290	540
T46	640	160	500	450	990
T47	730	410	950	310	870
T48	660	730	520	830	630
T49	330	190	730	410	390
T50	420	830	850	410	160
T51	830	360	580	500	500
T52	740	450	150	900	910
T53	420	110	150	340	250
T54	380	220	750	940	620
T55	780	840	710	960	920
T56	130	900	600	660	950
T57	390	350	390	220	630
T58	460	370	310	190	230
T59	740	270	150	180	420
T60	120	360	340	700	650
T61	500	240	640	210	450
T62	630	120	850	680	480
T63	560	690	970	210	930
T64	430	790	760	990	360
T65	370	150	290	860	780
T66	710	150	740	970	660
T67	620	700	460	480	770
T68	220	260	670	290	680
T69	740	720	870	150	840
T70	590	770	580	720	340
T71	420	220	310	770	930
T72	410	730	800	260	510
T73	500	760	470	260	330
T74	250	510	260	470	640
T75	570	890	390	100	830
T76	150	780	290	700	780
T77	380	490	890	920	880
T78	160	410	870	690	490
T79	800	800	290	490	410
T80	590	130	180	110	600
T81	650	710	770	210	130
T82	150	810	180	830	690
T83	460	900	110	870	100
T84	390	930	260	190	610
T85	880	390	820	400	700
T86	110	290	970	540	750
T87	510	410	740	880	960
T88	530	270	710	300	230
T89	340	700	180	390	650
T90	820	810	420	720	900
T91	790	680	580	230	750
T92	950	160	920	470	700
T93	600	900	690	740	880
T94	810	290	940	480	430
T95	810	410	730	840	950
T96	360	420	560	540	620
T97	880	300	170	220	380
T98	810	840	250	130	390
T99	960	960	570	740	240
T100	220	110	970	450	550
T101	330	280	530	790	360
T102	170	650	590	140	100
T103	440	430	690	700	380
T104	100	370	910	980	570
T105	840	330	940	550	420
T106	880	930	300	120	280
T107	220	360	840	170	160
T108	600	340	610	110	270
T109	710	580	760	210	540
T110	230	390	240	910	690
T111	150	900	850	290	480
T112	450	760	260	660	370
T113	210	220	280	440	270
T114	570	390	780	910	510
T115	170	300	390	280	600
T116	460	650	680	100	620
T117	510	530	540	480	280
T118	370	500	820	450	630
T119	160	500	460	960	640
T120	840	590	670	790	350
T121	330	790	840	610	900
T122	640	310	940	820	300
T123	310	830	970	370	120
T124	500	280	500	300	330
T125	880	950	730	200	530
T126	230	880	410	240	120
T127	190	990	320	210	370
T128	280	900	360	530	630
T129	940	210	130	440	700
T130	580	210	640	990	960
T131	890	980	190	880	490
T132	600	910	720	830	440
T133	660	270	710	770	700
T134	430	340	330	120	940
T135	670	160	250	240	450
T136	530	890	390	160	350
T137	380	340	440	750	460
T138	500	870	410	590	290
T139	350	400	780	430	130
T140	480	760	640	760	420
T141	170	740	450	470	780
T142	810	310	340	900	160
T143	980	770	700	490	650
T144	950	440	270	580	720
T145	200	250	260	450	590
T146	840	560	230	620	880
T147	470	740	560	480	600
T148	990	150	620	240	480
T149	450	650	960	340	910
T150	230	650	220	900	940
T151	240	660	770	200	500
T152	360	630	440	620	560
T153	220	920	250	900	280
T154	920	850	990	850	730
T155	520	210	740	420	600
T156	310	820	400	700	790
T157	420	700	150	770	900
T158	980	780	940	340	800
T159	590	900	450	350	910
T160	840	830	100	290	260
T161	180	600	550	570	130
T162	790	810	280	330	420
T163	420	660	150	850	160
T164	630	160	230	880	370
T165	860	260	440	510	640
T166	870	810	330	100	150
T167	460	160	830	670	820
T168	910	110	900	450	680
T169	160	550	890	170	390
T170	920	740	500	650	400
T171	390	650	640	520	720
T172	280	910	680	540	150
T173	740	860	900	980	450
T174	780	830	800	220	440
T175	960	520	890	370	560
T176	680	820	910	500	520
T177	410	950	510	920	750
T178	260	750	100	270	100
T179	760	260	120	450	310
T180	910	490	930	410	630
T181	330	390	350	420	460
T182	880	220	830	850	260
T183	680	430	460	850	610
T184	850	780	110	910	610
T185	820	970	600	450	940
T186	270	990	490	150	740
T187	200	470	100	120	520
T188	700	760	170	880	360
T189	420	320	260	550	540
T190	890	320	290	430	960
T191	840	420	230	730	250
T192	620	100	520	800	630
T193	620	310	130	680	280
T194	850	650	930	270	860
T195	500	650	740	180	250
T196	960	210	680	300	300
T197	250	350	190	970	470
T198	960	120	640	110	950
T199	930	540	450	650	170
T200	430	350	350	390	410
T201	600	180	960	640	890
T202	960	760	190	670	480
T203	150	320	530	770	240
T204	520	980	110	780	540
T205	620	670	990	520	870
T206	980	330	550	890	710
T207	740	290	620	780	190
T208	150	390	210	310	570
T209	950	110	360	280	650
T210	950	550	710	390	360
T211	100	570	260	510	360
T212	290	510	450	850	290
T213	120	330	140	220	520
T214	990	120	130	780	310
T215	300	730	700	190	300
T216	670	150	740	500	270
T217	780	340	700	210	640
T218	520	960	260	660	420
T219	790	130	420	230	310
T220	800	940	730	340	180
T221	470	700	290	380	470
T222	300	370	700	550	180
T223	440	240	610	680	460
T224	110	920	140	390	660
T225	360	710	240	210	730
T226	650	220	640	750	900
T227	120	700	680	660	540
T228	290	230	690	510	410
T229	600	290	220	140	540
T230	860	760	320	230	880
T231	950	760	140	350	670
T232	680	350	200	250	650
T233	180	490	570	330	950
T234	970	550	960	630	200
T235	600	660	120	300	660
T236	820	240	420	610	440
T237	800	280	140	370	770
T238	570	590	330	350	160
T239	180	260	270	940	200
T240	410	410	240	810	270
T241	600	450	730	590	450
T242	850	300	490	630	520
T243	180	280	820	460	890
T244	380	420	430	490	390
T245	840	580	270	630	520
T246	530	100	660	760	130
T247	360	470	640	680	210
T248	470	970	460	600	770
T249	600	540	180	740	730
T250	420	820	840	550	120
T251	190	760	910	580	350
T252	680	370	830	970	580
T253	890	690	980	720	590
T254	840	610	660	740	680
T255	770	890	960	660	840
T256	420	130	810	150	540
T257	650	940	510	280	520
T258	340	770	710	660	810
T259	970	510	400	690	650
T260	920	660	740	790	570
T261	480	450	700	660	690
T262	880	750	580	280	130
T263	240	330	800	100	830
T264	650	510	540	290	660
T265	280	260	770	480	300
T266	390	380	980	820	140
T267	990	510	360	460	820
T268	210	420	820	620	940
T269	400	220	400	270	430
T270	460	640	970	930	180
T271	480	710	460	270	930
T272	370	860	630	910	340
T273	140	210	140	990	900
T274	770	770	330	470	160
T275	710	120	460	400	830
T276	170	630	490	610	770
T277	750	550	410	410	920
T278	520	460	670	800	340
T279	380	640	360	160	840
T280	120	470	820	330	190
T281	260	250	720	390	420
T282	770	200	570	560	810
T283	780	480	970	320	330
T284	360	390	510	270	180
T285	330	270	510	450	460
T286	410	150	930	980	910
T287	510	440	500	800	320
T288	190	800	550	190	620
T289	940	680	260	470	880
T290	680	210	350	660	710
T291	810	430	830	100	620
T292	110	870	740	910	190
T293	700	210	740	810	920
T294	100	840	460	440	930
T295	390	340	930	720	640
T296	250	580	950	480	190
T297	830	690	540	660	200
T298	300	300	870	980	950
T299	420	910	750	800	350
T300	700	550	730	480	670
T301	300	230	990	950	600
T302	200	130	630	880	460
T303	770	860	810	370	580
T304	720	470	980	760	550
T305	410	950	220	150	630
T306	660	870	300	140	780
T307	210	700	720	360	940
T308	380	720	260	670	410
T309	670	400	630	260	240
T310	900	290	980	360	860
T311	920	680	890	280	370
T312	680	880	580	660	740
T313	180	780	940	500	320
T314	650	170	510	960	250
T315	700	560	570	840	650
T316	840	870	500	920	280
T317	650	840	710	250	150
T318	840	900	830	580	340
T319	900	490	960	850	310
T320	330	970	680	270	300
T321	950	640	390	600	450
T322	170	220	660	930	310
T323	830	330	120	370	690
T324	400	450	840	330	990
T325	780	510	160	640	520
T326	140	760	900	360	900
T327	860	920	230	560	340
T328	340	180	360	110	660
T329	250	150	480	670	180
T330	950	800	660	240	770
T331	760	630	650	850	640
T332	840	140	180	160	320
T333	310	470	830	830	480
T334	730	320	480	960	330
T335	330	580	210	300	680
T336	710	360	560	270	910
T337	740	960	590	110	370
T338	970	560	260	210	400
T339	690	530	430	620	780
T340	900	150	390	580	840
T341	180	540	620	810	480
T342	730	880	630	750	530
T343	950	800	370	980	290
T344	310	500	750	320	430
T345	100	900	160	250	280
T346	720	740	150	100	830
T347	230	750	240	720	950
T348	690	780	110	720	730
T349	260	500	700	550	730
T350	100	620	160	730	900
T351	110	740	320	960	580
T352	430	340	320	900	750
T353	730	330	630	230	920
T354	200	690	890	330	200
T355	130	410	290	530	310
T356	470	490	970	610	310
T357	440	990	750	850	310
T358	230	530	520	210	900
T359	110	680	510	710	310
T360	640	240	430	170	510
T361	700	490	110	230	710
T362	380	130	240	980	950
