	A1	A2	A3	A4	A5	A6
T1	330	150	430	900	850	350
T2	340	600	480	250	790	500
T3	590	100	900	450	610	660
T4	660	930	830	460	250	390
T5	510	230	130	190	330	450
T6	510	170	320	120	700	360
T7	900	470	130	770	460	340
T8	310	130	840	200	150	340
T9	380	660	190	290	430	790
T10	750	480	230	740	210	170
T11	570	720	170	140	140	830
T12	920	140	600	170	250	620
T13	170	720	780	750	500	950
T14	730	800	320	990	450	350
T15	880	350	320	250	260	970
T16	640	800	940	500	480	220
T17	810	100	360	520	710	970
T18	450	500	990	220	360	640
T19	880	540	910	730	230	330
T20	260	100	750	900	690	260
T21	680	510	360	170	330	990
T22	970	370	170	250	310	390
T23	860	610	520	250	760	840
T24	480	140	640	940	490	930
T25	660	490	420	340	110	200
T26	580	900	970	100	450	680
T27	890	980	120	890	340	930
T28	490	790	570	180	190	600
T29	580	450	540	740	350	830
T30	810	490	380	820	800	570
T31	200	450	330	710	830	800
T32	340	430	750	590	800	980
T33	830	650	700	670	140	870
T34	930	880	210	530	550	610
T35	810	970	310	630	930	870
T36	710	450	120	160	950	630
T37	320	800	910	980	520	760
T38	880	890	900	510	400	630
T39	460	970	150	740	310	370
T40	880	900	650	990	780	920
T41	400	900	240	300	320	390
T42	240	410	220	600	110	330
T43	490	400	180	230	820	820
T44	810	760	550	540	200	170
T45	730	440	770	160	610	570
T46	880	280	480	840	250	900
T47	760	450	320	270	580	260
T48	920	630	820	120	170	430
T49	440	750	500	750	480	720
T50	470	500	160	130	680	240
T51	630	460	460	760	860	220
T52	970	590	960	530	920	500
T53	110	660	760	900	510	280
T54	180	210	630	640	690	990
T55	610	320	840	360	410	690
T56	260	570	790	640	140	260
T57	690	570	770	740	880	660
T58	840	750	870	930	850	200
T59	600	120	240	870	760	990
T60	850	390	420	670	730	260
T61	410	110	800	180	890	820
T62	550	190	130	100	500	630
T63	120	190	800	130	530	280
T64	710	910	890	450	490	820
T65	630	580	710	590	130	170
T66	650	310	650	900	240	210
T67	190	750	670	590	140	150
T68	220	610	520	820	200	110
T69	690	800	730	290	570	850
T70	100	770	210	750	820	120
T71	140	570	810	100	360	430
T72	460	800	390	740	700	960
T73	840	840	870	100	750	890
T74	920	140	320	590	730	990
T75	620	320	120	660	290	850
T76	170	410	740	100	190	530
T77	770	710	490	690	490	570
T78	740	570	690	950	850	160
T79	550	680	320	710	720	910
T80	990	460	630	110	700	320
T81	450	620	260	620	460	780
T82	810	670	110	740	620	690
T83	450	950	510	400	150	420
T84	650	100	550	860	350	350
T85	390	390	660	990	480	850
T86	200	350	120	560	870	480
T87	400	300	290	980	110	650
T88	890	980	820	730	890	230
T89	330	780	240	600	270	320
T90	310	760	150	520	150	620
T91	250	600	570	100	890	610
T92	700	900	890	940	180	290
T93	480	490	210	350	620	860
T94	270	150	700	680	950	440
T95	220	280	970	460	610	100
T96	940	120	610	270	970	960
